Sat Aug 29 11:53:04 PDT 2015 --  اللهم صل و سلم على نبينا محمد
Sat Aug 29 11:31:55 PDT 2015 --  اللهم ارزقنا خشيتك في السر والعلن
Sat Aug 29 11:18:29 PDT 2015 --  ربي اني مقبل على اشياء كثيره فأجعل اولها و اخرها تساهيل و فرح ، اللهم اني وكلتك امري و انت خير وكيل و دبر لي امري فأني لا احسن التدبير ..
Sat Aug 29 07:56:44 PDT 2015 --  يارب أعوذ بك أن أذكُرك مُتألماً وأنساك متُنعماً ..
Sat Aug 29 07:30:31 PDT 2015 --  اللهم اني استودعتك اسرتي فلا تريني فيهم باس و مكروه
Sat Aug 29 07:26:35 PDT 2015 --  من دُنيا فانية إلى جنّة دائمة يا الله ..
Sat Aug 29 06:51:09 PDT 2015 --  أربعة أشياء إذا ذهبت لا تعود, الكلمة إذا إنطلقت، و السهم إذا رمي، و الزمن إذا مضى، و الثقة إذا ضاعت!
Sat Aug 29 03:45:06 PDT 2015 --  فنان 🏼 pic.twitter.com/QVPpJN5wNe
Sat Aug 29 03:35:15 PDT 2015 --  اللهم إني انتظرُ منك فرحاً قريباً يُريح قلبي فبشرني ياربّ العالمين
Sat Aug 29 03:14:49 PDT 2015 --  متبرعون يجمعون45 ألف دولار في ساعات للاجئ سوري أنتشرت صورته ع مواقع التواصل يبيع أقلام وهوحامل طفلته 4 سنوات. pic.twitter.com/W2kB0aLDX4
Sat Aug 29 01:39:44 PDT 2015 --  واجعل لي من بعد موتي أهلاً وأصحاباً وأحبة لا يهجرون وصليّ بالدعاء يالله.
Sat Aug 29 01:37:11 PDT 2015 --  اللهم اشرح خاطري وازِل همّي اللهم ابدل ضيقتي راحه يارب العالمين
Sat Aug 29 01:31:59 PDT 2015 --  ربي أجعلني بار في والديني هم جنتي وناري هم سعادتي ورزقي اللهم احفظهم لي وطول بعمارهم
Fri Aug 28 13:41:47 PDT 2015 --  تغافلوا واعفوا وتسامحوا وتصافحوا وابتسموا فالدنيا دار ممر وليست مقر ولاتنسوا ان الجزاء من جنس العمل ومن عفى وأصلح فأجره على الله.
Fri Aug 28 13:12:18 PDT 2015 --  ذنوب البشر بينهم و بين ربّهم ،وليس بينك وبين ذنوبهم أي أمر شخصي فأعتق لسانك عنهم ليعتقك الله من الإبتلاء!
Fri Aug 28 13:07:29 PDT 2015 --  اللهم إجعل أمي قريرة العينين.. لاتشكي هماً ولا حزناً ولا مرضاً واسعدها يارب سعادة الدنيا والاخرة
Fri Aug 28 13:05:28 PDT 2015 --  اللهم وان مسّ الضيق نفسي، فأجعل لي من رحمتك سعة وراحه تغنيني بها عمن سواك..
Fri Aug 28 11:43:56 PDT 2015 --  يكفينا الله شرّ الزمان واصحاب المصلحه واحباب وقت الفراغ!
Fri Aug 28 09:44:28 PDT 2015 --  إن وجدت صعُوبة إبتسم، من رحل لن يرجع، ومن ضرك سيُضر ذات يوم، من أبكاك سيجد من يبكيه، وإن ضاقت بك اسجد لربك وسيعوضك الكثير..
Fri Aug 28 08:20:29 PDT 2015 --  اللهم اشرح لي صدري و يسر لي أمري
Fri Aug 28 08:18:32 PDT 2015 --  اللهم سدد رميهم وثبت أقدامهم وأيدهم بنصرك، اللهم إني استودعتك جنودنا ووطننا وشعبه والمسلمين أجمعين #الوطن_غالي pic.twitter.com/0Pl11lmO8u
Fri Aug 28 08:02:00 PDT 2015 --  اللهـم استودعتك مبسم عائلتي وقلوبهم وصحتهم فلا تريني فيهم بأساً يبكيني
Fri Aug 28 07:57:16 PDT 2015 --  يا حي يا قيوم برحمتك استغيث اصلح لي شأني كله ولا تكلني إلى نفسي طرفة عين
Fri Aug 28 07:36:37 PDT 2015 --  ربنا إن تعددتّ شكوانا إليك أنثُر في قلوبِنا راحة وذكرنا بالصبر الجميل
Fri Aug 28 06:15:02 PDT 2015 --  يـا خالق الراحة.. وكلتك أمري .. واستودعتك يومي .. فبشرني بما يفتح مداخل السعادة في قلبي
Fri Aug 28 06:13:16 PDT 2015 --  اللهم ادم علينا نعمتك و عافيتك و سترك واجعلنا ممن رضيت عنهم فارضيتهم ورزقتهم جنتك .
Thu Aug 27 13:43:40 PDT 2015 --  الرحمة المُبكية : يا أبن أدم لو بلغت ذنوبك عنّان السماء ثم أستغفرتني لغفرت لك استغفرالله العظيم من كل ذنب عظيم ..
Thu Aug 27 13:37:24 PDT 2015 --  اللهم أصلح لنا ديننا الذي هو عصمة أمرنا وأصلح لنا دنيانا التي فيها معاشنا واصلح لنا آخرتنا التي اليها معادنا
Thu Aug 27 13:32:31 PDT 2015 --  اللهم إني أعوذ بك من أي ضيق يمس والدتي و والدي و أسألك يارب أن ترزقهم رغد العيش و حياة مليئة بالسعادة يا كريم.
Thu Aug 27 06:48:32 PDT 2015 --  اللهُم اني أخشى ان أموت فجأة دون ان ارتب توبة في صدري، يارب اغفر لي إذا مت وسخر لي من يدعوا لي دون ملل واجعل ما يبقى مني اثراً طيبا .
Thu Aug 27 06:27:45 PDT 2015 --  وتبدوا بعض الأيام صعبة وثقيلة علينا لكنها حتمًا ستمضي، سوف يرزقنا الله ايامًا اخرى تُنسينا كل ما استصعبناه واستثقلناه، تلك هي الثقة بالله
Thu Aug 27 06:24:38 PDT 2015 --  اللهم يا مغير الأحوال غير حالي الى احسن حال، و سخر لي من حظوظ الدنيا ما تعلم انه خير لي و إصرف عني كل ما هو شر لي و اغنني بفضلك عمن سواك.
Thu Aug 27 06:21:38 PDT 2015 --  اللهم اني أستغفرك من كل ذنب أذنبته بقصد أو غير قصد فإنه لا يغفر الذنوب إلا أنت
Wed Aug 26 22:26:38 PDT 2015 --  ربنا إن تعددتّ شكوانا إليك أنثُر في قلوبِنا راحة وذكرنا بالصبر الجميل
Wed Aug 26 22:18:33 PDT 2015 --  يارب أنت تدرك ما أنتظره وما يتمناه قلبي وتعرف أسرار مستقبلي وما يحمله القدر لي فسهل أمري وحقق مطلبيّ وسخر لي ماهو خير لي
Wed Aug 26 22:15:56 PDT 2015 --  اللهم انا نسألك ادعية مستجابه وذنوب تغفر وحاجات تقضى اللهم اغفر لنا ماتقدم من ذنوبنا وما تأخر
Wed Aug 26 11:33:29 PDT 2015 --  "وبشر الصابرين"هي أكبر أمل في إنتظار ما نريد
Wed Aug 26 11:32:53 PDT 2015 --  الحمدلله على كل نعمة اعتدنا وجودها فنسينا شكرها
Wed Aug 26 11:27:54 PDT 2015 --  عامل الناس بثلاث : - إن لم تنفعه فلا تضره. - وإن لم تُفرحه فلا تُحزنه. - وإن لم تمدحه فلا تذمه.
Wed Aug 26 11:24:41 PDT 2015 --  عندما تعيش لتسعد الاخرين سيبعث الله لك من يعيش ليُسعدك فما جزاء الإحسان إلا الإحسان. "كن جميل الخلق تهواك القلوب"
Wed Aug 26 11:19:57 PDT 2015 --  مافيه احد احسن من احد pic.twitter.com/EqZmMefWK5
Wed Aug 26 10:10:00 PDT 2015 --  before and after Messi. pic.twitter.com/Js2HJuiw0C
Wed Aug 26 09:59:50 PDT 2015 --  هدف قوانزو الصيني امس عن طريق البرازيلي باولينهو🏼 pic.twitter.com/WFis0FOJiL
Wed Aug 26 09:33:23 PDT 2015 --  اللهم ؛ لا تجعلني كبيراً في أعينهم .. صغيراً في عينك .. واجعلني خيراً مما يظنون.
Wed Aug 26 09:15:22 PDT 2015 --  مايلعب الشايب ...! 🏻 #pt
Wed Aug 26 09:11:16 PDT 2015 --  ألماني عمره 104 عام أكثر الرجال أناقة بالعالم. pic.twitter.com/Qnh4JOEgzh
Wed Aug 26 08:59:37 PDT 2015 --  الصين تضع اللمسات الأخيرة في بناء أكبر ممر زجاجي بالعالم. pic.twitter.com/b7kYNUiJzV
Wed Aug 26 05:41:48 PDT 2015 --  إلى اليوم لم يتغيّر مسار الشمس وما زالت تشرق وتغرب وقت المغرب، ما زال الله يُمهلنا يوم آخر لنعرف خطايانا ونستغفر عن ذنوبنا ونتوب
Wed Aug 26 02:50:15 PDT 2015 --  اجعلني يا الله الصُدفة الحسنة والصديق الوفي والظن الحسن والثقة .. وخير الأمور وأطيبها
Tue Aug 25 22:04:16 PDT 2015 --  اللهم من كان له أم متوفية فأرحمها واغفرلها ومن كان له أم مريضه فإشفها وهون عليها، ومن كان له أم بعافيتها فأحفظها يارب
Tue Aug 25 13:27:03 PDT 2015 --  يا رب لا تجعل في قلبي إنتظاراً لمن لا يأتي، ولا حزناً للأشياء الراحلة، لا تملأني يا الله حباً لما ليس لي وأغنني بك عن العالمين.
Tue Aug 25 13:23:25 PDT 2015 --  اتمنى من الاعبين عدم التهاون في الإياب حتى لا يتكرر سيناريو الغرافة !
