Thu Aug 27 14:31:26 PDT 2015 --  Good companions pic.twitter.com/cWczPBHYYn
Fri Feb 20 22:13:47 PST 2015 --  RT if you one day wanna be here pic.twitter.com/VKnqWloiL9
Fri Aug 21 20:35:38 PDT 2015 --  Rindu sebenarnya
Fri Aug 21 20:34:59 PDT 2015 --  Tak tau kenapa emosinya macam tak stabil sejak dua menjak ni...asyik kena marah je..
Thu Aug 13 00:38:00 PDT 2015 --  Tanam pokok ni depan future house nanti. Kalau merajuk boleh sembunyi dalam tu. Hehe pic.twitter.com/bX3fn5tv0w
Wed Jul 08 14:18:03 PDT 2015 --  The saddest thing in life is to lose people closest to you.
Fri Aug 14 20:10:59 PDT 2015 --  Ok laaa...rasa mcm kepala nii dh ringan sikit lepas main..even pancit pon.... # thanksDcs
Sat Aug 08 07:09:08 PDT 2015 --  MasyaAllah cantiknyaaa Airies pic.twitter.com/HARF73Irus
Mon Aug 10 21:57:32 PDT 2015 --  always remember why you started and dont give up to finish it. be strong eventhough its gonna be hard. #TipMasukU
Mon Aug 10 01:07:12 PDT 2015 --  Event : DCS Grand Dinner Date : 5th September 2015 Venue : Dewan Sri Temenggung Theme : P. Ramlee & Saloma Save the date guys!
Sun Aug 09 18:37:41 PDT 2015 --  Perhatian buat pelajar FSKM. Ambil perhatian. Borang borang tersebut ada di pjbat Koordinator Kursus FSKM. Sebarkan pic.twitter.com/gRxmL3oTrA
Sat Aug 08 08:35:08 PDT 2015 --  And that's how some story ends..
Sat Aug 08 07:54:32 PDT 2015 --  Jika kau merinduiku, lihatlah bulan. Kerana sesungguhnya kita melihat bulan yang sama :)
Thu Aug 06 19:26:50 PDT 2015 --  bukan senang nak redha. tapi lagi payah kalau tak redha.
Thu Aug 06 18:36:05 PDT 2015 --  "You might not write well every day, but you can always edit a bad page. You can't edit a blank page." - Jodi Picoult
Thu Aug 06 05:35:48 PDT 2015 --  UiTM muncul juara Karnival Sukan MASUM 2015 dengan pungutan 60 emas, 33 perak dan 26 gangsa.Tahniah UiTM! http://fb.me/2kdqdM6wB 
Wed Aug 05 23:37:53 PDT 2015 --  Whatever challenges you're going through, remember they're temporary and won't last. But once you give up, that's the end. So keep at it.
Wed Aug 05 00:46:19 PDT 2015 --  takde sesuatu pun yang Allah susun tu sia-sia.
Tue Aug 04 23:23:50 PDT 2015 --  
Tue Aug 04 07:42:51 PDT 2015 --  Just too concerned abt you ~~~ lalala
Mon Aug 03 19:02:43 PDT 2015 --  sir : "Jangan panic panic..rilex je..lambat lagi" us : *senyum, tapi kami ade kelas sekarang #thankyou ;)
Mon Aug 03 18:41:35 PDT 2015 --  Sungguh mulia hatimu...terharu gilaaa... tskkk :')...thanks sir... @AmalynaSulaiman #its
Thu Jul 30 16:47:03 PDT 2015 --  Terima kasih sahabatku atas kenangan terindah. Walaupun singkat. Ia amat bermakna buat diriku.
Thu Jul 30 16:15:23 PDT 2015 --  "We didn't lose the game; we just ran out of time." - Vince Lombardi
Thu Jul 30 07:32:31 PDT 2015 --  Terkadang, biarlah lambat meniti kejayaan. Rasulullah membina batu asas yg kukuh selama 13 tahun. Baginda menjadi Rasul usia 40 tahun
Sun Jul 05 19:30:09 PDT 2015 --  pic.twitter.com/zc90LZRfTG
Tue Jul 28 05:43:42 PDT 2015 --  I miss you and it hurts
Mon Jul 27 20:23:00 PDT 2015 --  pic.twitter.com/zLPK2mLn0x
Mon Jul 27 02:23:56 PDT 2015 --  Ya Allah, light us the way to straight path!
Mon Jul 20 12:04:40 PDT 2015 --  Yummy pic.twitter.com/HMSYs7kIMT
Mon Jul 20 05:21:09 PDT 2015 --  Fall in love with someone who will love you as you are, and somehow still inspire you to be a better person. Unknown
Thu Jul 16 06:41:25 PDT 2015 --  Selamat hari raya kepada semua warga UiTM. Pedulikan segala test, quiz, project, assigment bla bla.. Raya is raya!
Thu Jul 16 09:50:43 PDT 2015 --  "Dari jauh Ku pohonkan ampun maaf"
Thu Jul 16 03:43:57 PDT 2015 --  "Kemas bawah katil tu, esok nak raya." "Ya mak, memang orang datang beraya tengok bawah katil." "Haaa kau menjawab menjawab ,.
Wed Jul 15 04:27:15 PDT 2015 --  Saya rasa...rasa...rasa...haiiisshhhhhh !!!
Mon Jul 13 21:15:07 PDT 2015 --  Bukan saja-saja Allah izinkan kita kenal.
Wed Jul 08 05:00:21 PDT 2015 --  ZULIN AZIZ IS THE BEST #videozulin pic.twitter.com/q7IAt5iJMg
Wed Jun 24 23:11:16 PDT 2015 --  Hahahahaha sumpah la do aku tak tahan tengok #videozulin ni pic.twitter.com/Wl0yXZJlTD
Mon Feb 23 00:35:17 PST 2015 --  Tawar hati is the worst. It makes you feel nothing- neither sad nor disappointed, not even angry. You're just tired you don't feel anything
Fri May 08 07:13:17 PDT 2015 --  Beautiful Sunset Through a Glass pic.twitter.com/TePzHxaUAT
Wed Jun 17 23:47:45 PDT 2015 --  Asalamualaikum. Kami dari Compass mengucapkan Selamat Berpuasa kepada seluruh umat islam terutama di UiTMJ Kampus Segamat.
Tue Jun 16 17:09:19 PDT 2015 --  Before you see the rainbow, you see the rain. If you want to reach your goals, you have to be able to put up with the pain.
Wed Jun 17 01:00:08 PDT 2015 --  . pic.twitter.com/O3PJUVRV25
Tue Jun 16 23:09:24 PDT 2015 --  Salam Ramadhan waktu imsak dan berbuka daerah Segamat @mppuitmsegamat pic.twitter.com/NxjUViOYzm
Sat Jun 06 08:52:38 PDT 2015 --  more than half a decade and you're still on my mind.
Wed Jun 03 04:21:35 PDT 2015 --  Patutnya drama pkul 7 kt tv 3 ni ganti je dgn cite anak anak sidek.
Thu May 28 07:07:19 PDT 2015 --  Aku sedar diri aku sape, takyah sesusah nak ingatkan.
Thu May 28 21:38:22 PDT 2015 --  Memilih untuk tidak merasakan apa apa...
Wed May 27 15:00:10 PDT 2015 --  me "studying" for finals. . pic.twitter.com/TJoAotHwix
Wed May 27 19:32:50 PDT 2015 --  Thank you for ur advice of what i have to do in my situation right now and make me feel more comfort
Thu May 28 03:05:16 PDT 2015 --  memang tengah sakit sangat dah ni
Thu May 28 02:17:46 PDT 2015 --  From now on you're nothing. NOTHING! Got it?
Mon May 25 09:18:48 PDT 2015 --  lama tak jumpa utaridians
Wed Jan 07 23:01:03 PST 2015 --  Macam tidur kat kolej pic.twitter.com/jO7GeETHrr
Sat Jan 31 06:04:07 PST 2015 --  That moment bila kau dah landing atas katil pastu lupa pula nak tutup pintu bilik. Jarak dia umpama dari Malaysia nak ke Vietnam.
Sun May 17 07:51:34 PDT 2015 --  " Jangan nangis kalau sedih, tapi senyumlah. Sebab bila senyum, kau akan cuba jadi kuat. Walaupun sebenarnya kau lemah."
Mon May 18 23:51:20 PDT 2015 --  " pernah tak rasa "malas nak kenal sesiapa dah" sebab dah penat? "
