Wed Aug 26 14:47:35 PDT 2015 --  لا تترك مسافة بين الاشياء المهمة عندك ، فالعابثون لا يعبثون إلا من خلالها .
Wed Aug 26 11:52:12 PDT 2015 --  المشاعر أحياناً تصنعها الأماكن .
Tue Aug 25 06:58:10 PDT 2015 --  صحيح أني غير قادر على المقاومة ولكن لن أصبح كما تريدون .. ! #عبدالرحمن_منيف
Sun Aug 23 09:29:29 PDT 2015 --  الصبر .. الجرعات التي نحتاجها حين نتعثر .
Sun Aug 23 09:26:08 PDT 2015 --  هذي الأيام ثقيلة جداً، ياليت لو تجي على نفسها شوي وتعديني .
Sat Aug 22 16:54:44 PDT 2015 --  يا لهوان أمتنا! 15ألف لاجئ فلسطيني وسوري ماتزال الحدود المقدونية اليونانية مغلقة في وجههم لمنعهم من الوصول لأوروبا pic.twitter.com/UW641fXVZu
Sat Aug 22 08:56:38 PDT 2015 --  يكون المواطن شريف حتى يصبح “وزير” ثم يصاب بحساسية مفرطة من الشرف .
Sat Aug 22 08:52:18 PDT 2015 --  “ الحياة ليست رجل ” لكن في بلدي لن تكون لك حياة بلا رجل .
Fri Aug 21 14:46:24 PDT 2015 --  Fitch revises Saudi Arabia's outlook to negative http://www.reuters.com/article/idUSL3N10W5A820150821 … وكالة فيتش تخفض نظرتها المستقبلية للسعودية من مستقر الى سلبي
Fri Aug 21 10:56:31 PDT 2015 --  وضعنا الغريب جعلنا نتقبل كل شيء .
Fri Aug 21 10:55:56 PDT 2015 --  لو كنا شعب و حكومة متدينين و دستورنا “القرآن” لما وجد الفساد ، السرقات ، الواسطات، المحسوبيات ، القبلية ( أين الدين في كل هذا ؟) .
Fri Mar 01 05:35:51 PST 2013 --  قبل ثلاثين عاما كان في جدة ٣ مستشفيات لوزارة الصحة واليوم في جدة ٣ مستشفيات لوزارة الصحة - الحمد لله على الثبات والاستقرار
Thu Aug 20 13:43:04 PDT 2015 --  شاهد الفرق في بداية الاستعداد للعام الدراسي بين مدارس الجبيل البلد ومدارس تعليم الهيئة الملكية والتي يفصل بينهم 20كم pic.twitter.com/GUMc8w4jE1
Thu Aug 20 18:30:34 PDT 2015 --  يقولون، أنك إن أضاءت الأنوار ليلا، فإنها كفيلة بإبقاء الوحوش بعيدا، أما أنا فأقول، أنني أحرص على إطفائها حتى لا اراهم حولي طوال الوقت #ق_ق_ج
Thu Aug 20 14:26:52 PDT 2015 --  لهم لفلوس ولنا البنية التحتية المضروبة #الشكوى لله
Thu Aug 20 04:52:48 PDT 2015 --  أصبحت موضة ( انتظروا أوامر ملكية ) حتى عند بعض المسؤولين مثل خبر مدير الصندوق العقاري وتبدأ آمال المواطنين يعلو سقفها وآخرتها شيء لا يهمهم
Mon Aug 17 09:26:17 PDT 2015 --  من أراد كل شيء ، سيفقد كل شيء ويرحل .
Sun Aug 16 09:36:48 PDT 2015 --  يا كثر ما خانتني الظروف ، ويا كثر ما قسى زماني ، ولكن ألجأ للصمود لآخر نفس فيني .
Fri Aug 14 09:08:18 PDT 2015 --  أحياناً اترك شراعك للرياح ، وغالباً كن انت الريح .
