Sat Aug 29 09:25:52 PDT 2015 --  When the NBA starts >>> https://twitter.com/flyer_thanu2/status/637662201160069120 …
Sat Aug 29 09:39:58 PDT 2015 --  You can have a 10 inch dick and you kick the girl out cause her pussy funky and she gon tell all the world yo dick little.
Sat Aug 29 08:09:19 PDT 2015 --  Yall will suck dick and throw dirt on us too like yall wasnt gagging on the dick yall terrible https://twitter.com/TamaraaBaeee/status/637411986687422464 …
Sat Aug 29 09:38:19 PDT 2015 --  Ain't nothing worse than thinking you about to kill the pussy, then you find out the pussy smell like it's been dead for years.
Sat Aug 29 09:37:20 PDT 2015 --  It's always a toss up when you bout to fuck a girl for the first time. That box could be right or stale. You'll never know.
Sat Aug 29 09:29:17 PDT 2015 --  Sprint swear I owe them money like you actually suppose to pay your phone bill or something
Sat Aug 29 09:30:20 PDT 2015 --  When white girls start catchin on it dies https://twitter.com/now_thats_fresh/status/637646229728591872 …
Mon Aug 24 18:32:20 PDT 2015 --  "Marriage is one of the most difficult things you'll ever do. It's about two selfish people joining to become one selfless person"
Sat Aug 29 09:07:26 PDT 2015 --  This might not last much longer.
Sat Aug 29 08:16:13 PDT 2015 --  Your methodical approach to life often empowers you to develop... More for Capricorn http://bit.ly/A5KmeJ 
Fri Aug 28 20:40:36 PDT 2015 --  "We're not children we're teens" jokes really write themselves.
Fri Aug 28 20:38:37 PDT 2015 --  It's past your bedtime RT @heythereimafagg: @__OutKast__ @babydanielle_ and did anyone asked you to Retweet? For fuck sake get a lif3
Fri Aug 28 20:38:19 PDT 2015 --  LMFAO. go to bed. RT @babydanielle_: @__OutKast__ children? dude we ain't 10 year olds LOL we are teens
Fri Aug 28 20:21:38 PDT 2015 --  LMFAO. Get these children out my mentions.
Fri Aug 28 20:21:19 PDT 2015 --  I don't club actually. Try again. RT @heythereimafagg: @__OutKast__ @babydanielle_ stop clubbing and probably get a life lol.
Fri Aug 28 20:21:04 PDT 2015 --  Your parents? LMFAO RT @babydanielle_: @__OutKast__ @heythereimafagg My parents said I'm clever and same goes to my friend. You dumb :)
Fri Aug 28 20:19:28 PDT 2015 --  K. Bye. You're being dumb now. RT @heythereimafagg: @__OutKast__ @babydanielle_ that's what you assume
Fri Aug 28 20:19:04 PDT 2015 --  Crying is a hyperbole RT @heythereimafagg: @__OutKast__ @babydanielle_ did I say you had to cry over a cat? Since when lmao?
Fri Aug 28 20:18:32 PDT 2015 --  You're saying since I don't care about a cat that died which animals do, that I don't have values. https://twitter.com/heythereimafagg/status/637464127594565632 …
Fri Aug 28 20:17:52 PDT 2015 --  Some of you females really can't argue. . . Like at all.
