Fri Aug 28 06:23:42 PDT 2015 --  Gonna know what to do, Gotta find out the truth, Gonna see the reason why.
Fri Aug 28 04:52:45 PDT 2015 --  mhm. pic.twitter.com/K9IvgqS0lb
Fri Aug 28 01:02:13 PDT 2015 --  Dami mong alam na kalandian pwe
Thu Aug 27 11:13:46 PDT 2015 --  Salamat RTU!!! Sobrang lupit nyo! Mula umpisa, hanggang matapos, kahit umulan, di nyo kami pinabayaan. Yun ang tunay na rakenrol. Salamat!
Thu Aug 27 23:44:16 PDT 2015 --  "I'm not Big Sean's ex. I'm not Niall's possible new girl. I'm Ariana Grande and if that's not interesting enough, don't talk to me"
Thu Aug 27 08:24:01 PDT 2015 --  Jgh from Up Dharma Down and Parokya ni Edgar's concert in our school wooo soo fun
Thu Aug 27 08:22:57 PDT 2015 --  atm @ rtu to hear the president's speech and to see him #luckyday Happy birthday Nicole
Tue Jul 29 05:39:19 PDT 2014 --  Pretty girls who are unaware of their looks are more attractive than gorgeous girls who flaunt it.
Sat Aug 09 21:19:29 PDT 2014 --  You can’t go back and change the past, so look to the future and don’t make the same mistake twice.
Sat Oct 04 05:34:05 PDT 2014 --  Love is isn't about finding the perfect person,But choosing an imperfect person perfectly.
Sat Oct 04 05:37:39 PDT 2014 --  We may love the wrong person,Cry for the wrong reason,but one thing for sure that mistakes help us find the right person.
Wed Aug 26 04:07:52 PDT 2015 --  Di pa rin ako maka move on. Ang sakit kasi Team Bahay ako nung concert ni Ariana awts. #HoneymoonTourManila
Mon Aug 24 03:50:19 PDT 2015 --  KARMA HAS NO MENU, YOU WILL BE SERVED WHAT YOU DESERVE. REVENGE IS COMING. pic.twitter.com/ntYzQYk2aK
Tue Aug 25 06:43:06 PDT 2015 --  DON'T JUDGE ME, HINDI KA JUDGE! HUNG HANG!
Sun Aug 23 01:38:58 PDT 2015 --  Want followback from jekoy, leslie, patrick and almer? Follow niyo to @ScevenDCN rt when done tapos wait niyo sila mag followspree go.
Wed Aug 26 01:50:30 PDT 2015 --  'Di tayo close, wag fc.
Sun Apr 12 20:23:48 PDT 2015 --  Omfg you're so sobrang arte and sana your deads nalang or pugutan ka ng head kasi your languange is so nakakaputangina! ./. #PabebeTweets
Wed Apr 22 05:17:40 PDT 2015 --  PITUMPU'T PITONG PUTING PUTANGINA MONG PUTA KA, MAMATAY KA NA SANA DAHIL MALANDI ANG IYONG KALULUWA!! #PabebeTweets
Wed May 06 00:37:22 PDT 2015 --  Ang mga babae iniintidi, hindi isinasantabi! Pero pag malandi, sinusunog sa tabi-tabi. Haliparot kasi!! LANDI PA TANGINA #PabebeTweets
