Fri Aug 28 11:00:39 PDT 2015 --  Yesss finally!!!! @jlo pic.twitter.com/tL4ACwDhkz
Wed Aug 26 20:19:11 PDT 2015 --  Another shooting and other stuff near my house time to switch states lol I wish #prayforlafayette & #prayforsunset
Wed Aug 26 13:23:01 PDT 2015 --  Wow. pic.twitter.com/6j2PMKIz6Q
Sun Aug 23 15:52:48 PDT 2015 --  This is why I love @jlo pic.twitter.com/1K0SfQpGB5
Sun Aug 23 09:50:52 PDT 2015 --  #StraightOuttaCompton was amazing!!! pic.twitter.com/SUsQcWmK9K
Sat Aug 22 15:02:22 PDT 2015 --  Straight Outta Compton!!!! #movienight pic.twitter.com/mu4jzJXnHC
Sun Aug 16 18:38:11 PDT 2015 --  pic.twitter.com/DL6aVEHK2d
Sat Aug 15 20:25:17 PDT 2015 --  I'm in heaven!!!! Saw this at Sams Club and was happy!!! @jlo @LOrealParisUSA pic.twitter.com/HAOcW9j14P
Fri Aug 14 19:57:41 PDT 2015 --  Congratulations @jlo pic.twitter.com/mGZaig9eb2
Fri Aug 14 19:52:04 PDT 2015 --  Got my magazine pic.twitter.com/4Be4heTIEA
Thu Aug 13 18:59:10 PDT 2015 --  IM DYING pic.twitter.com/O1cWykVVxm
Fri Aug 14 09:12:22 PDT 2015 --  Having a bad/rough day/week? Put your hand on your chest, you feel that thing beating? That's called your heart, you're alive for a reason!!
Thu Aug 13 22:11:38 PDT 2015 --  #tbt with our Gorgeous girl @jlo MTV Movie awards pic.twitter.com/u8UNhklaoN
Thu Aug 13 18:47:23 PDT 2015 --  And it's just the saddest thing and we all ask why that person or why now but we all we get our turn that's just how life goes and I dnt knw
Thu Aug 13 18:38:44 PDT 2015 --  Just got home from orientation....had a funeral and orientation in one day....not happy
Thu Aug 13 13:23:59 PDT 2015 --  Cried my eyes out today @ a funeral R.I.P "Maw"
Thu Aug 13 13:22:50 PDT 2015 --  Lost a very loved one this week during heart surgery #loveyouMaw Ps you can see my grandfather's grave in the bckgrnd pic.twitter.com/GU82r0Ir07
Thu Aug 13 12:04:12 PDT 2015 --  @JLo can you do a dvd for the Bronx concert too just like the dance again tour!!!!
Tue Aug 11 07:17:25 PDT 2015 --  Meet the new 3-String Bracelet designed by inspired by our Brand Ambassador @JLo #EndlessJewelry #AW15 pic.twitter.com/qf67Oy7o60
