Fri Aug 28 18:34:19 PDT 2015 --  I love that Harry Potter is also trending worldwide on Liam's birthday. This is pefect
Fri Aug 28 19:05:03 PDT 2015 --  HAPPY BIRTHDAY LIAM PAYNE HAPPY BIRTHDAY LIAM PAYNE HAPPY BIRTHDAY LIAM PAYNE HAPPY BIRTHDAY LIAM PAYNE HAPPY BIRTHDAY LIAM PAYNE
Fri Aug 28 19:37:38 PDT 2015 --  MY DAD JUST TEXT ME SAYING "IT'S LIAM PAYNE'S BIRTHDAY TODAY!" I AM LAUGHING SO HARD OMGG
Fri Aug 28 19:51:08 PDT 2015 --  NOW MY DAD IS SENDING ME FETUS PICUTES OF LIAM PAYNE FROM 2010 BC HE KNOWS I CAN'T HANDLE THIS. STOP DAD
Fri Aug 28 20:07:23 PDT 2015 --  WHAT'S THE DIFFERENCE BETWEEN LIAM PAYNE AND SUPERHEROES? LIAM HAS SAVED MORE LIVES
Fri Aug 28 20:18:22 PDT 2015 --  "21 YEARS AND 9 MONTHS AGO, LIAM'S PARENTS DID THE DIRTY, AND WHAT DID YOU GET? WE GOT THIS BALL OF SUNSHINE!" - Harry Styles
Fri Aug 28 20:28:11 PDT 2015 --  ZAYN IS IN THE PROMO VIDEO FOR THE VMAs HOLY SHIT https://vine.co/v/ej0emtnnLnZ 
Sat Aug 29 06:28:24 PDT 2015 --  this is huge wow https://twitter.com/OTRADaily/status/637468398536884224 …
Sat Aug 29 00:48:11 PDT 2015 --  NIALL, HARRY AND LIAM ALL WENT TO TOPGOLF TO CELEBRATE LIAM'S 22ND BIRTHDAY TONIGHT!
Sat Aug 29 00:51:07 PDT 2015 --  LOUIS ISN'T THERE BC HE PROBABLY HATES GOLF AND DOESN'T WANT TO HEAR NIALL BRAG ABOUT WINNING AHAHA
Sat Aug 29 00:53:03 PDT 2015 --  CURRENT LOCATION UPDATE: LOUIS - Detroit HARRY, LIAM AND NIALL - Chicago ZAYN - LA
Sat Aug 29 00:58:21 PDT 2015 --  DRAG ME DOWN GOT 1 MILLION LIKES MEANING WE BROKE THE VEVO RECORD FOR MOST LIKES IN 24 HOURS!
Sat Aug 29 01:00:54 PDT 2015 --  ZAYN MALIK'S JAWLINE HAS MORE STRUCTURE THAN MY LIFE pic.twitter.com/BMWrIWM7UR
Sat Aug 29 01:23:00 PDT 2015 --  Who defended us after the documentary? Liam Who takes the time to tweet & follow us? Liam Who gets hate even when he doesnt deserve it? Liam
Sat Aug 29 01:31:48 PDT 2015 --  I CAN'T WAIT TO SEE LIAM SMILING ONSTAGE TONIGHT WHEN THE WHOLE STADIUM + THE BOYS SING HIM HAPPY BIRTHDAY
Sat Aug 29 01:55:22 PDT 2015 --  MY TEACHER ASKED IF ANYONE WAS A ONE DIRECTION FAN BC THEN SHE SAID ITS LIAM PAYNE'S BIRTHDAY AND WE TALKFD ABOUT LIAM FOR THE WHOLE LESSON
Sat Aug 29 02:17:59 PDT 2015 --  FAV IF HARRY STYLES, LIAM PAYNE, LOUIS TOMLINSON OR NIALL HORAN ISN'T FOLLOWING YOU BC I WILL HELP YOU.
Sat Aug 29 05:50:26 PDT 2015 --  LIAM IS NOW OFFICIALLY 22 YEARS OLD EVERYWHERE IN THE WORLD HOLY SHIT
Sat Aug 29 06:06:36 PDT 2015 --  HARRY NIALL AND LIAM ARE ALL IN CHICAGO AND LOUIS IS ALREADY IN DETROIT FOR THEIR OTRA CONCERT TONIGHT
Sat Aug 29 06:08:02 PDT 2015 --  I'M IN TEARS HOLY SHIT pic.twitter.com/W5dnt2g76N
Tue Mar 24 11:08:07 PDT 2015 --  This romper pic.twitter.com/cXYBBDB0r3
Sat Aug 29 05:41:30 PDT 2015 --  " #hastag" baka magtrend bhe hahahaha
Sat Aug 29 05:40:50 PDT 2015 --  ang pabebe jusko hahaha
Sat Aug 29 05:16:36 PDT 2015 --  rak ka haha leggo john michael
Mon Aug 24 11:47:18 PDT 2015 --  Loved Chicago last night .. top quality crowd. Soldier field is a great stadium too .. Thanks for having us
Mon Aug 24 16:33:37 PDT 2015 --  Unbelievable Jeff ! That would be insane ! Less of that shit from you Tommo https://twitter.com/chris_kammy/status/635952665558695937 …
Fri Aug 28 12:37:07 PDT 2015 --  Thinking about my little friend Chloe tonight who is poorly ;( @ChloeBalloqui #SaveChloe #WeCanBeatThis pic.twitter.com/jJpbeINnXf
Thu Aug 27 04:32:26 PDT 2015 --  STUDENTS BE LIKE: "DI AKO SURE SA SAGOT KO, PERO BAHALA NA."
Sat Aug 29 04:53:53 PDT 2015 --  Drag Me Down debuted at #1 on M.I.T 20!! Woo hoo!! pic.twitter.com/0sgTLsWCy9
Sat Aug 29 04:42:26 PDT 2015 --  REAL TALK: Wagas ang saya, KAPAG BAKLA ANG KASAMA
Sat Aug 29 04:01:09 PDT 2015 --  Matte G pic.twitter.com/qeWFM3wOw5
Sat Aug 29 03:51:16 PDT 2015 --  Oraaaaayt https://twitter.com/BobOngTalk/status/637578098402271232 …
Fri Aug 28 16:00:22 PDT 2015 --  PEOPLE SHOULD UNDERSTAND HOW STRESSFUL IT IS TO EXPLAIN WHAT'S GOING IN UR MIND WHEN U DON'T EVEN UNDERSTAND IT YOURSELF
Sat Jun 27 13:35:34 PDT 2015 --  Miss my weirdo so much, come home soon need a cuddle again xxx pic.twitter.com/0f7C4cJqbI
Sun Jul 19 07:25:31 PDT 2015 --  #LouisAppreciationDay x pic.twitter.com/5TJbNj8XBQ
Sat Jul 18 15:51:01 PDT 2015 --  NIALL SLAYING ZAYN'S SOLO IN NO CONTROL AGAIN pic.twitter.com/8lQpcqkQVO
Mon Jul 20 05:55:12 PDT 2015 --  pic.twitter.com/qAq9HBQmBQ
Mon Jul 20 09:14:48 PDT 2015 --  My top 4 boyos pic.twitter.com/wYHZqYiHf9
Mon Jul 20 11:14:39 PDT 2015 --  Don't pretend to be someone's friend and use them instead https://twitter.com/naughtyboymusic/status/621785997857193984 …
