Sat Aug 22 23:02:06 PDT 2015 --  hi im a human id like to vent too, it'd be cool for a friend to honestly care what im thinking
Sat Aug 22 23:00:10 PDT 2015 --  people only want to talk about themselves, so i let them
Tue Aug 18 19:18:55 PDT 2015 --  It's official.. I'm nocturnal.
Sat Aug 15 12:46:07 PDT 2015 --  Coming soon to a Disney Park not so far, far away: #StarWarsLand. pic.twitter.com/hkdYooAqLU
Thu Aug 13 21:10:57 PDT 2015 --  “ @KardashianReact: When you told yourself you’ll be more positive but life keeps trying you pic.twitter.com/dg80Jeou8Z” @mandy_foxx
Thu Aug 13 17:54:18 PDT 2015 --  I feel like the media is brain washing everyone's brain so many different ways that just don't even align I'm so over it all
Tue Aug 04 21:48:19 PDT 2015 --  When someone asks you a dumb question......... pic.twitter.com/baYycHRXQc
Fri Aug 07 18:16:24 PDT 2015 --  don't shame others just because you're so terrified of being yourself
Sun Aug 09 11:48:38 PDT 2015 --  Waking up on the weekend like pic.twitter.com/FoyEM1daak
Fri Aug 07 17:54:46 PDT 2015 --  harsh realities I've faced: •alcohols not fruity it tastes like Lysol wipes •coffee tastes like river water •I'm never getting a boyfriend
Sun Aug 02 18:03:13 PDT 2015 --  #TodaysKidsWillNeverKnow one of the hardest decisions of my life pic.twitter.com/RqBYM5dyfM
Sun Jul 26 20:41:48 PDT 2015 --  As a #Gemini you always get stuck with: Cheering people up
Mon Aug 03 18:33:42 PDT 2015 --  No matter who they're with or what they're doing if the connection is strong a #Gemini will always keep in touch with you.
Sat Aug 08 19:50:53 PDT 2015 --  Being humble don't work as well as being aware
Mon Aug 03 20:07:26 PDT 2015 --  Getting sad again for no reason after you’ve been so happy for a long time is literally one of the worst feelings ever
Tue Jul 21 22:04:04 PDT 2015 --  Me at pretty much every social event pic.twitter.com/Dbgfx1qf9R
Fri Jul 10 23:51:24 PDT 2015 --  I'm sorry, did I break your concentration?
Fri Jul 10 17:21:31 PDT 2015 --  “ @KardashianReact: bathtime http://vine.co/v/O51nvXWm59P ” @mandy_foxx
Sun Jul 05 19:09:26 PDT 2015 --  Meet enough people who aren't like yourself that it makes you understand yourself even more
Wed Jul 01 16:28:50 PDT 2015 --  i need a shiba inu.
Tue Jun 30 20:37:42 PDT 2015 --  literally me when this song comes on http://twitter.com/FreddyAmazin/status/615994734784331780/video/1 …
Tue Jun 30 20:24:41 PDT 2015 --  “Even death is not to be feared by one who has lived wisely.”- Gautama Buddha
Mon Jun 29 19:17:20 PDT 2015 --  “ @KardashianReact: When one of your followers threatens to unfollow you pic.twitter.com/gB17x7lYpk” @mandy_foxx
Wed Jun 24 05:43:53 PDT 2015 --  i dont mean to alarm you but the gender binary is not real. everything youve been taught about what boys/girls should/shouldnt do is a lie.
Thu Jun 25 21:01:35 PDT 2015 --  Ordering at StarBucks be like pic.twitter.com/IyNwaia4Ek
Fri Jun 26 07:09:28 PDT 2015 --  "It's not a gay thing. It's not a straight thing. It's a human rights thing."
Fri Jun 26 07:32:33 PDT 2015 --  You either love Star Wars or you just haven't seen it
Tue Jun 23 05:35:05 PDT 2015 --  Harry Potter: the ultimate sass-master pic.twitter.com/YxuMe0aZKd
Sat Jun 20 09:35:11 PDT 2015 --  People who expect you to listen to all their problems but don't even give you the time of day are never worth your time.
Mon Jun 15 20:54:38 PDT 2015 --  I WOULD MOST LIKELY PEE MYSELF pic.twitter.com/6ZOAEdfYiW
Sun Feb 15 12:10:02 PST 2015 --  For every retweet this gets, Pedigree will donate one bowl of dog food to dogs in need! #tweetforbowls pic.twitter.com/z4rmc2HsGT
Wed Jun 03 11:40:28 PDT 2015 --  I think I think I think too much
Sun May 31 09:01:08 PDT 2015 --  pic.twitter.com/nw8KXEFIUO
Mon Jun 01 05:01:10 PDT 2015 --  pic.twitter.com/kuI2CrU9tM
Sat May 09 20:42:01 PDT 2015 --  Things a #Gemini won't tolerate: Being controlled.
Sat May 30 07:05:34 PDT 2015 --  Worry is formed by attaching negative emotions to an object, by understanding your emotions you start to lessen the worry.
Fri May 29 21:09:39 PDT 2015 --  Am i the only person who really likes when people use your name a lot when they talk to you
Fri Apr 24 13:47:27 PDT 2015 --  when men in the street tell me to cheer up I say "I'm sorry, I don't believe in happiness"
Wed Apr 22 07:38:41 PDT 2015 --  why insult someone when u can say something nice in a very sarcastic tone
Sun Apr 19 10:52:31 PDT 2015 --  32 days until #Gemini season
Sat Apr 18 18:13:11 PDT 2015 --  I’m exhausted from all this studying I haven’t done
Fri Apr 17 10:07:07 PDT 2015 --  theres no food like spanish food.
Sun Apr 05 22:46:37 PDT 2015 --  That Moment When You Can't Sleep Soo You Start Doing Math.
Sun Apr 12 18:55:16 PDT 2015 --  i say idk alot but trust me i be knowin
Sat Apr 11 19:53:14 PDT 2015 --  Looking for guys that aren't fuckboys pic.twitter.com/GwLqjrTbc4
Tue Apr 07 12:17:17 PDT 2015 --  the most accurate and well done thing i have ever come across pic.twitter.com/5xlB4Rzuh9
Mon Mar 30 19:59:01 PDT 2015 --  “ @KardashianReact: take me to a tim burton exhibit and ill die happy!!!! pic.twitter.com/GMWVOHgt2a” @mandy_foxx
Sun Mar 29 19:19:06 PDT 2015 --  Literally me pic.twitter.com/gYWNDreIWY
Sat Mar 28 14:52:24 PDT 2015 --  When someone you hate texts you pic.twitter.com/YzmVl6ePqa
Tue Nov 13 08:36:16 PST 2012 --  #Gemini are easily annoyed/ irritated by people who don't have any common sense.
Sun Mar 22 01:49:52 PDT 2015 --  for every person that RT's this, lifewateruk will give a person 100 gallons of clean water to someone… https://instagram.com/p/0hhzhnEpLK/ 
Wed Mar 18 06:33:40 PDT 2015 --  just drove past a church sign that said "R U His?" why can't everyone just understand that my relationship with alex turner is complicated
Mon Mar 16 19:55:18 PDT 2015 --  I now have an addiction to coconut water
Mon Mar 16 13:42:15 PDT 2015 --  Accurate pic.twitter.com/gLJUwJ28mS
Mon Mar 09 17:14:01 PDT 2015 --  I feel like I'm limping into spring break, bearing the wounds and scars of an entire semester
Sat Mar 07 00:14:02 PST 2015 --  “ @BabyAnimalPics: he lost his paw so they gave him a new one http://twitter.com/BabyAnimalPics/status/523307785963208705/photo/1pic.twitter.com/ID65ljHJaY ” @mandy_foxx
Fri Mar 06 10:46:37 PST 2015 --  WHY IS SMALL TALK NECESSARY? THE CASHIER THAT CHECKED ME OUT AT TRADER JOES JUST TOLD ME SHE GAVE BIRTH IN 1991. I JUST WANTED SOME APPLES.
