Sat Aug 29 09:37:57 PDT 2015 --  *̜ الجميلين أربعه , انت و عطرك وشفتك و نظرتك (=| pic.twitter.com/A0TWZ4cshd
Sat Aug 29 02:48:12 PDT 2015 --  #اسوء_انواع_البشر حاكم جاهل لأمور من يحكمهم.
Fri Aug 28 16:11:04 PDT 2015 --  pic.twitter.com/bWNtW1fD5j
Fri Aug 28 15:21:30 PDT 2015 --  قدّر الله أن أعرفك وَ شآء أن آحبـكߒܮ.!
Fri Aug 28 10:21:20 PDT 2015 --  أكبر نكبة ونكتة أقرأها عن اللي ينسبو أنفسهم للميلان.. إقالة غالياني
Fri Aug 28 10:19:02 PDT 2015 --  أدريانو غالياني خط احمر بالنسبة للميلانيين اقول للميلانيين مو المطبلين واسالوا بيرلسكوني عن عمل غالياني
Fri Aug 28 07:32:29 PDT 2015 --  عندما كنت رضيع وفي فمك المصاصه وكل من حولك يحاول اضحاكك و غالياني كان يتعاقد مع باستن وخوليت كبرت وطلع لك شنب قمت تسبه ! مايصير ياحجي
Thu Aug 27 11:14:25 PDT 2015 --  ـ جائزة لم تُلامس أعظم قفازين ،، لا تستحق أن نصفق لها . . ولم تذهب لـ أروع موسّيقار ،، لا ينبغي الا أن نُداس عليها !! pic.twitter.com/ic9xUT5vKy
Thu Aug 27 03:51:19 PDT 2015 --  حين لاتحب المكان استبدله ، حين يؤذيك الاشخاص غادرهم ، حين تملّ ابتكر فكرة جديدة ، حين تحبط أقرأ بشغف ، المهم في الحياة ألا تقف متفرجًا !
Tue Aug 25 16:01:46 PDT 2015 --  حين يختار القلب قُل لـ العقل سلاماً ..!
Tue Aug 25 15:14:15 PDT 2015 --  من ننعتهم بالكفار يصنعون درع بشري مع المسلمين لمنع هدم مسجد بالدنمارك بعد صدور قرار بهدمه أين من يدعي الإسلام من هذا pic.twitter.com/jZZQnW6vPL
Mon Aug 24 06:50:05 PDT 2015 --  pic.twitter.com/fbcVw1l5UX
Sun Aug 23 16:24:13 PDT 2015 --  ما ادري اللي شقتو كان ايه.. ميلان ضعيف أم فيورنتينا قوي؟؟؟
Sun Aug 23 08:36:31 PDT 2015 --  صفقات مثل إبرا و رونالدينيو و روبينيو و دي يونغ و لويز و أظن القائمة تطول...
Sun Aug 23 08:34:16 PDT 2015 --  سوق الانتقالات إما أن تستغل أحدهم أو أن يستغلك أحدهم.. ولا أعتقد أن أحدا أفضل من غالياني. « وحتى وإن لم تتم صفقة بالوتيللي
Sun Aug 23 07:31:20 PDT 2015 --  ميلان اليوم . ما اروع تلك الكلمه ، وما اجملها من عباره ، اللقاء بك يسر العين ، ويسعد العشاق!! (=| <3
Fri Aug 21 20:24:52 PDT 2015 --  My bbm I call u pic.twitter.com/Q9E9TbH5yI
