Mon Aug 24 05:55:56 PDT 2015 --  #EnforcedDisappearancesKE we strongly condemn this cowardly acts by the government of kenya
Sun Aug 23 20:57:12 PDT 2015 --  #kickdualeout2017
Sat Aug 15 05:28:24 PDT 2015 --  #reclaimingsomalinimo let's unite first and love each other ignoring our clan politics
Sat Aug 15 05:10:17 PDT 2015 --  Sugar deal?that's a deal for jap campaigns 2017
Thu Jul 30 20:30:06 PDT 2015 --  Polio vaccination campaign scheduled to begin in August as planned, says government http://goo.gl/G2FgGL  pic.twitter.com/J1c1OoaKmz
Thu Jul 02 15:40:04 PDT 2015 --  Stress makes you believe everything has to happen right now. Imaan reassures you that everything will all work out in Allah's timing.
Fri Jul 03 01:37:04 PDT 2015 --  The best president in Africa 2014-2015 is that sarcasm
Tue Jun 23 13:05:40 PDT 2015 --  Saw this post on mig, thought you'd be interested! http://mig.me/share/post/alawady.xp/159422256-1435010322311?source=android&referrer=asrani90&utm_medium=migshares&utm_campaign=post&utm_source=twitter …
Sun Jun 21 06:15:38 PDT 2015 --  @RailaOdinga #HappyFathersDay . pic.twitter.com/63fcVt0mKx
Mon Jun 15 05:08:59 PDT 2015 --  Hon @RailaOdinga @skmusyoka Wajir Gov Sen @HassanOmarH among Other leaders Walking on the 1st Tarmac Road in Wajir pic.twitter.com/Cd9k0IKx5a
Sun Jun 14 09:37:32 PDT 2015 --  3 to 4 days before the holy month of Ramadan sets in...inshaAllah ameenin and blessings. We now have our mosque in karen to pray taraweh.
