Tue Aug 25 03:07:22 PDT 2015 --  Recursively Iterating Towards Psychological Illnesss. #luvprogramming
Mon Aug 24 21:38:12 PDT 2015 --  OnePlus 2 International Giveaway in 12 hours. Follow and RT to win your invite.
Mon Aug 24 09:14:41 PDT 2015 --  Review @OnePlus 2 - Is it the Flagship Smartphone of 2016? Read on @PhoneRadarBlog http://phoneradar.com/oneplus-2-review/#.Vcf46pOqqko … #OnePlus2 #WinOP2Invites
Mon Aug 24 09:14:39 PDT 2015 --  Follow @PhoneRadarBlog & Get OnePlus 2 Invites at http://phoneradar.com/oneplus-2-invites-giveaway … #WinOP2Invites
Mon Aug 24 06:04:12 PDT 2015 --  I just reserved my OnePlus 2 invite! Sign up for yours today. https://oneplus.net/invites?kolid=44ZUP5 …
Mon Aug 24 00:47:00 PDT 2015 --  Good Morning to all @oneplus fans :)
Sun Aug 23 00:20:09 PDT 2015 --  Invite your friends to RT! This & join us to win @Oneplus 2 #SmartphoneLoversIND with #AboutContest https://twitter.com/About_Contest/status/635344119582224384 …
Sun Aug 23 09:05:20 PDT 2015 --  OnePlus 2 International Giveaway! https://wn.nr/TczcL 
Sun Aug 23 09:02:39 PDT 2015 --  OnePlus 2 International Giveaway @androidauth #oneplus2 https://wn.nr/TczcL 
Sun Aug 23 07:58:35 PDT 2015 --  OnePlus 2 International Giveaway @androidauth http://www.androidauthority.com/oneplus-2-international-giveaway-2-636289/ … #oneplus2
Fri Aug 21 01:12:36 PDT 2015 --  Here is ur chance to get @Oneplus invite in next 12 Hours . Follow & RT this tweet & reply why u need it.
Thu Aug 20 23:30:20 PDT 2015 --  We shall start giving away OnePlus 2 invites from tomorrow. We will select one lucky person, To enter contest Follow and RT.
Fri Aug 21 15:40:01 PDT 2015 --  Alright who's ready for another Twitter-exclusive giveaway? #math
Fri Aug 21 15:44:34 PDT 2015 --  I'm giving out 50 64GB @OnePlus 2 invites to people who retweet this tweet over the next 24 hours. Good luck! pic.twitter.com/y2nE7X9f2c
Wed Aug 19 21:35:57 PDT 2015 --  OnePlus 2 50 Invites giveaway! @androidauth http://www.androidauthority.com/oneplus-2-invites-giveaway-634169/ … #oneplus2
Wed Aug 19 20:22:01 PDT 2015 --  " @Qualcomm: You found it. Now retweet this for a chance to win a #OnePlus2 invite. http://bit.ly/1TTvHUW  pic.twitter.com/CwgUH2jGyO" #OnePlusQ
Sat Aug 15 21:43:19 PDT 2015 --  Can someone just give me a one plus 2 invite
Sat Aug 15 09:23:35 PDT 2015 --  I just reserved my OnePlus 2 invite! Sign up for yours today. https://oneplus.net/invites?kolid=44ZUP5 …
Fri Aug 14 21:59:14 PDT 2015 --  OnePlus 2 50 Invites giveaway! @androidauth http://www.androidauthority.com/oneplus-2-invites-giveaway-634169/ … #oneplus2
