Fri Aug 28 07:00:46 PDT 2015 --  فيديو | ( سيلفي ) مع ميسي وكريستيانو خلال حفل الـ UEFA يوم أمس . pic.twitter.com/7JgEvvJtwo
Fri Aug 28 07:19:22 PDT 2015 --  لويس أنريكي : المقارنة بين يوسين بولت وميسي .؟ مقارنة جميلة ، افضل عداء في التاريخ مع افضل لاعب في تاريخ كرة القدم . pic.twitter.com/NHhqEnmFmM
Fri Aug 28 08:04:26 PDT 2015 --  رسمياً | سوف يتم تقديم كأس السوبر الاوروبي وجائزة افضل لاعب في اوروبا للجماهير في الكامب نو قبل مباراة ملقا . pic.twitter.com/GiHiQQKkjq
Fri Aug 28 08:42:25 PDT 2015 --  * يذكر ان سوريانو لعب تحت إشراف إنريكي عندما كان لاعب في صفوف فريق بارسا B ما بين 2009 و 2011 ، pic.twitter.com/CpnlR2HOX3
Fri Aug 28 10:17:44 PDT 2015 --  عاجل | رافينيا يدخل لائحة المنتخب البرازيلي لتعويض اصابة راميريس أمام كوستاريكا و أمريكا وديا سبتمبر المقبل . pic.twitter.com/X8qkbNaGyS
Fri Aug 28 11:25:47 PDT 2015 --  فيديو | كواليس ميسي رفقة باقي البعثة في طريق العودة إلى برشلونة بعد تتويجه بـ جائزة أفضل لاعب في أوروبا . pic.twitter.com/LoJNKvhBYU
Fri Aug 28 12:10:41 PDT 2015 --  إستطلاع الـ MD | هل تعتقد أن ليونيل ميسي هو أفضل لاعب في تاريخ كرة القدم .؟ - نعم 96% . - لا 04% . pic.twitter.com/DdYWrh6EtP
Thu Aug 27 13:21:39 PDT 2015 --  SPORT | ميسي وكريستيانو أكثر اللاعبين المطلوبين من قبل المصورين أثناء حفل الـ UEFA . pic.twitter.com/HnUU9ooF93
Thu Aug 27 13:49:15 PDT 2015 --  صورة | زانيتي رفقة ميسي بعد تتويجه بجائزة أفضل لاعب في أوروبا 2015 . pic.twitter.com/0bYtO3gPZ9
Thu Aug 27 15:56:05 PDT 2015 --  توتي (روما) : كل مباراة في دوري الأبطال لها جو رائع ، لكن مواجهة برشلونة لها طعم خاص . pic.twitter.com/BRo8zLpl8Q
Thu Aug 27 10:03:41 PDT 2015 --  كريستيانو رونالدو يصفق لعمه ميسي ! pic.twitter.com/84eEc8BejL
Thu Aug 27 10:48:08 PDT 2015 --  صور : رئيس UEFA بلاتيني يسلم ميسي جائزة أفضل لاعب في أوروبا pic.twitter.com/rr9vHZiHLf
Thu Aug 27 11:00:24 PDT 2015 --  موجوع قلبي ! pic.twitter.com/ffP2EkMdOr
Thu Aug 27 11:04:14 PDT 2015 --  أقصر قصة حزينة ! pic.twitter.com/oWFXXhgtiF
Thu Aug 27 11:04:48 PDT 2015 --  @Seinfeldish ثقيلة على رونالدو ! pic.twitter.com/A7HiAonuZI
Thu Aug 27 12:44:58 PDT 2015 --  ذهب ذهب .. معدنك " يا ميسي " في عيني ويا عز الطلب ! pic.twitter.com/v3valpWzfa
Thu Aug 27 17:36:56 PDT 2015 --  pic.twitter.com/04fPtgodod
Thu Aug 27 16:18:11 PDT 2015 --  صورة : أفضل لاعب في أوروبا 2014-2015 " ليونيل ميسي " ، وأفضل لاعبة في أوروبا 2014-2015 " سيليا ساسيتش " pic.twitter.com/i8fnJmpelf
Thu Aug 27 17:07:03 PDT 2015 --  تويتر بارتوميو : تهانينا لـ لويس سواريز ، ثاني أفضل لاعب في أوروبا لعام 2015 ، أحسنت pic.twitter.com/DNKRlQhpAx
Thu Aug 27 17:26:40 PDT 2015 --  صورة : القائد انيستا ، أفضل لاعب في أوروبا ليونيل ميسي ، ثاني أفضل لاعب في أوروبا لويس سواريز pic.twitter.com/gNIO41Nsgt
Wed Aug 26 08:42:58 PDT 2015 --  نيمار في تصريح سابق : إنها تفاصيل لا يمكن نسيانها ، ميسي كان بإستطاعته تسجيل هاتريك لكنه ترك لي البلنتي لأسجله . pic.twitter.com/Q36Aj1RJUs
Wed Aug 26 10:34:02 PDT 2015 --  منذ موسم (1999/2000) برشلونة هو أكثر نادي في أوروبا تواجد كمصنف أول في بطولة دوري الأبطال. pic.twitter.com/9TtYjRUZDA
