Mon Aug 24 14:16:45 PDT 2015 --  Magandang Umaga
Mon Aug 24 05:01:38 PDT 2015 --  Thank you Lord for this wonderful day. Hoping na ganto ulit bukas or mas masaya. Keepsafe.
Mon Aug 24 05:00:55 PDT 2015 --  Good night everyone!
Mon Aug 24 05:00:17 PDT 2015 --  Sa pagmamahal, wag na wag kang manggagamit ng tao para lang maka move on.
Mon Aug 24 04:58:55 PDT 2015 --  Best part of loving is not wishing that the person loves u as much as u do but in feeling that u love the person more than u thought u could
Mon Aug 24 04:58:55 PDT 2015 --  Mahal na kita. May mahal ka ng iba. Kaibigan ko pa. Tangina, kung alam ko lang sanang mamahalin kita, edi sana sinagot na kita noon pa..
Mon Aug 24 04:55:30 PDT 2015 --  You may meet other friends better than me, funnier than me. But one thing i can say to you. Bugbog sarado ka sakin pag mas pinili mo sila
Mon Aug 24 04:55:30 PDT 2015 --  This is the last day i'll be wishing for u, cry and hurt myself. Bukas, pag nagkita tayo. I'll just whisper TAMANA MASYADO NA KITANG MINAHAL
Mon Aug 24 04:37:30 PDT 2015 --  Iniisip ko, andaya mo kasi nangako ka di moko iiwan. Pero minsan iniisip ko kung mas madaya yung iniwan moko o yung pinilit kitang mangako?
Mon Aug 24 04:36:09 PDT 2015 --  Bakit ganun? Lahat ginawa mo na. Pero wala kapa ring magawa para kalimutan niya yung mahal niyang hindi naman siya binigyang halaga.
Mon Aug 24 04:33:18 PDT 2015 --  Sabi nila gago, bobo, tanga daw ako. Bakit daw mahal pa kita? Sabi ko, akala ko kasi may pag-asa, wala pala. Nasaktan tuloy ako.
Mon Aug 24 04:27:39 PDT 2015 --  Minsan naitanong ko sa sarili ko naiisip mo kaya ako? Aba ewan ko. Di ko alam. Pero okay lang, sanay naman akong laging binabalewala.
Mon Aug 24 04:26:38 PDT 2015 --  Gusto kong malaman mo, happy ako. Kasi kahit minsan nakilala ko ang tulad mo.
