Fri Aug 21 13:01:06 PDT 2015 --  ¡RT si tu también estas hiper-mega-super feliz de que #ArianaGrande viene a Chile! http://bit.ly/17Z7tap  iTunes -> http://bit.ly/TDmur7 
Wed Aug 19 15:32:06 PDT 2015 --  @Ariana_Chile ZEDD AHH QUERÍA
Wed Aug 19 15:30:25 PDT 2015 --  quien les gustaría de Telonero/a ? telonero : es quien hace un pre-show no canta mas de 4 a 6 canciones http://fb.me/378ZmOxYx 
Wed Aug 19 13:08:51 PDT 2015 --  EN LA PRE - VENTA SOLO SE VENDIERON EL 10% DE LAS ENTRADAS. NADA MAS. EL RESTO SE EMPEZARAN A VENDER EL VIERNES.
Wed Aug 19 07:52:48 PDT 2015 --  NECESITO A UN ARIANATOR QUE QUIERA PARTICIPAR EN UNA ENTREVISTA, CON UNO DE SUS PAPÁS, PARA HOY <3
Wed Aug 19 06:00:43 PDT 2015 --  ¡Para celebrar que al fin nuestra querida y talentosa #ArianaGrande pisara nuestras tierras les… https://instagram.com/p/6kNwD0DmaM/ 
Wed Aug 19 06:00:19 PDT 2015 --  #ArianaEnChile ctm !!!!
Tue Aug 18 16:12:15 PDT 2015 --  Recuerden ver hoy a las 21:00 @T13 saldrá una nota sobre los fans club incluyendo la visita de Ari
Tue Aug 18 15:56:09 PDT 2015 --  Mexico, Chile, Argentina, Brazil & Puerto Rico!! coming to see you loves so soon.... presale http://fahlo.me/arianagrande  / http://arianagrande.com/tour 
Tue Aug 18 15:15:59 PDT 2015 --  everybody tune into my brother @FrankieJGrande's new show tonight on @Oxygen #WorstPostEver it's so funny. love u my big bro I'm so proud!
Tue Aug 18 15:18:22 PDT 2015 --  @puntoticket desde que hora es la venta de las entradas #ArianaGrandeEnChile ?
Sun Aug 16 09:13:30 PDT 2015 --  Son las 1313
Sun Aug 16 08:22:06 PDT 2015 --  La reina del pop es solo una y su nombre es @Madonna. ¡Celebremos los 57 de la Material Girl! http://smarturl.it/madonnabday  pic.twitter.com/qQSshEYH20
Sun Aug 16 03:37:09 PDT 2015 --  Meta de HOY 🏼50 Seguidores🏼 🏼 vamos sígueme y te sigo #DomingoDeGanarSeguidores pic.twitter.com/tC92dt9zxC
Sun Aug 16 08:38:26 PDT 2015 --  #DomingoDeGanarSeguidores siganme
Wed Aug 12 16:39:42 PDT 2015 --  #HaceMuchoQue no tengo 20 favoritos q pena
Sun Aug 09 09:55:23 PDT 2015 --  #UnMejorAmigoSiempre te hace reir cuando estas mal :')
Sat Aug 08 15:51:22 PDT 2015 --  Ariana colaborara, en el nuevo disco de David Foster (productor famoso por producir temas como "I Will Always... http://fb.me/7pIo2Hsv7 
Thu Aug 06 19:21:50 PDT 2015 --  "bro" @jonescrow
Fri Aug 07 11:50:41 PDT 2015 --  @ChrysantheTan if I'm sweet potato princess, you are queen.
Thu Aug 06 19:07:52 PDT 2015 --  #ChileWantsArianaGrande @dgmedios porfaaa traigan a arianaa el otro dia hicieron trending con los hashtag #ChileNeedsHoneymoonTour 🏼
Thu Aug 06 13:41:38 PDT 2015 --  #22days
Mon Aug 03 21:02:44 PDT 2015 --  #ChileWantsArianaGrande 🏼🏼🏼 plisss traigan a arianaa🏼🏼🏼🏼
Wed Jul 29 14:36:49 PDT 2015 --  First trick until last breath, Mama loves you little boy, always and forever in my heart... - Jaja http://kiw.im/126bkxFY2z2 
Tue Jul 28 20:44:45 PDT 2015 --  Escoge 4 las Que Quieras Saber 1.Mi segundo Apellido? 2.Mi ... - 4 ( a lo ariana) yy 5 http://kiw.im/1265DBjJdqB 
Tue Jul 28 20:44:12 PDT 2015 --  Mandalo a tus amigos y ve que pasa 1. Lindo 2. Rico 3. Feo 4. Horrible... - Pasable🏼 http://kiw.im/1265CHRTj2C 
Tue Jul 28 20:42:53 PDT 2015 --  Como consideras que soy: ()Fresa ()Divertido ()Guapo ... - http://kiw.im/1265A6gSsax 
Tue Jul 28 11:47:55 PDT 2015 --  https://kiwi.qa/agus_sannicolas  follow me pls🏼🏼🏼
Sun Jul 26 19:45:18 PDT 2015 --  Pregunten anon. Respondo TODO - Quien te gusta? http://kiw.im/124dTJAKCvm 
Sun Jul 26 19:44:46 PDT 2015 --  Mandaselo a todos tus seguidores para ver cuanto te dan 10% 20% 30% 40% 50% 60... - http://kiw.im/124dSRM7CPz 
Sun Jul 26 19:44:16 PDT 2015 --  Pasalo a ver que corazon te ponen: :te quiero conocer :estas guapa :me gustas :... - http://kiw.im/124dRavcQRQ 
Sat Jul 25 22:05:34 PDT 2015 --  Como crees que soy? divertido bromista amoroso llorón tímido vergonzoso ... - http://kiw.im/123zRHP9b1P 
Sat Jul 25 21:28:09 PDT 2015 --  Como me encuentras? Feo/a Pasable Lindo/a Hermoso/a Pololeable Rico/... - #kiwi http://kiw.im/123yMGpw86k 
Sat Jul 25 21:18:31 PDT 2015 --  ¿Qué cosa sabes que haces diferente a la mayoría de... - Comerme la hamburguesa y dps las papas http://kiw.im/123y5XHEYpP 
Fri Jul 24 07:35:13 PDT 2015 --  ¿Cuál es el invento con menos sentido de todos? - Fast pass+ http://kiw.im/122rb3PAj5u 
Fri Jul 24 07:34:53 PDT 2015 --  ¿En qué cosa no eres bueno pero disfrutas hacerlo de todos m... - Esperar en la cola de la space http://kiw.im/122raToP7uT 
Wed Jul 22 18:07:22 PDT 2015 --  ¿Has jugado tenis alguna vez? - Everyday http://kiw.im/121kY8s64KB 
Wed Jul 22 18:06:08 PDT 2015 --  ¿Cuál es tu número de la suerte? - 4 http://kiw.im/121kW6Room6 
Wed Jul 22 18:05:46 PDT 2015 --  ¿Cuál es tu frase favorita? - Mi nombre es khan y no soy terrorista http://kiw.im/121kVEuw3VH 
Wed Jul 22 18:02:51 PDT 2015 --  ¿Qué aprendiste hoy? - Que no es bueno estar al sol tanto rato http://kiw.im/121kQfAqXaM 
