Fri Aug 28 03:59:24 PDT 2015 --  My cousin selamat pengantin baru Congrate abg alep pic.twitter.com/M4FecSCK5Y
Wed Mar 25 04:45:44 PDT 2015 --  Manusia bila² masa dengan sekelip mata dia boleh berubah. "Trust me."
Thu Mar 26 23:13:51 PDT 2015 --  "Meninggal" is for human being. "Mati" is for animals. "Mampos" for cibai human yang suka buat orang broken heart.
Thu Mar 26 23:14:30 PDT 2015 --  Doa itu wireless, Dekat mana pun still available.
Mon Mar 30 06:36:33 PDT 2015 --  Tanpa sahabat kita jatuh. Tanpa sahabat kita susah. Tanpa sahabat kita berasa lemah. Sebab, Sahabat itu lah yg sentiasa menyokong kita.
Mon Mar 30 22:48:04 PDT 2015 --  *Cerita sedih* "Kau nak tahu sesuatu tak?" "Taknak!" "K" *Sedih kan?*
Tue Mar 31 06:21:03 PDT 2015 --  Rugilah jadi cantik, kalau belakang curang.
Thu Apr 02 04:26:25 PDT 2015 --  ''Bro pinjam duit.'' ''Nak berapa? aku bagi. Kau takyah bayar balik, aku halalkan.'' Indahnya kalau ada kawan yang baik hati macam ni.
Thu May 14 21:01:44 PDT 2015 --  Ada 2 jenis manusia di atas dunia. 1) Yang gembira melihat kau bahagia dan hadiahkan doa. 2) Yang dengki melihat kau bahagia dan menghina.
Sun May 10 22:45:50 PDT 2015 --  Sahabat ini terbahagi kepada dua : 1) Ada yang mengheret kita ke syurga. 2) Ada juga yang mengheret kita ke neraka.
Tue Aug 25 03:48:41 PDT 2015 --  Diam bukan tanda setuju je semua benda. Jangan ikut kepala sendiri kalau nak buat keputusan
Thu Aug 27 05:43:25 PDT 2015 --  Jenis manusia yang suka cari kesalahan orang, patut ignore je
Wed Aug 26 22:59:53 PDT 2015 --  Always hold positive thoughts in your mind. Things aren't always as bad as they appear to be. Just calm down, breathe & think rationally.
Wed Aug 26 05:58:10 PDT 2015 --  This ppl is come bck
Wed Aug 26 05:56:50 PDT 2015 --  I wanna to be like Alien
Wed Aug 26 05:56:01 PDT 2015 --  Aku tau kau lbih pilih dia dri aku...but is sokayh babe
Wed Aug 26 05:53:53 PDT 2015 --  Aku suka twitter sebab aku boleh tweet banyak2. Kalau wechat, aku post moments banyak2 nanti orang cakap aku gila & batak.
Wed Aug 26 05:54:56 PDT 2015 --  Wht ever u say i don't care
Sat Aug 15 23:29:58 PDT 2015 --  Study bruhh -,-
Fri May 15 03:35:15 PDT 2015 --  Revenge pic.twitter.com/iFz1QOL6QG
Fri May 15 03:21:25 PDT 2015 --  Sian @badroxen demam huhu....sabo k...
Fri May 15 03:19:17 PDT 2015 --  Mcm tu je dy clash nn aq...bodoh
Fri May 15 03:13:13 PDT 2015 --  Be good enough to forgive someone, but don't be stupid enough to trust them again.
Fri May 15 03:17:00 PDT 2015 --  Ada dua pantang lelaki dan perempuan: Pertama, jangan bergaduh kerap sangat. Kedua, jangan berkawan rapat sangat.
Fri May 15 02:44:00 PDT 2015 --  Holla rinduny twitter
Mon May 11 04:19:42 PDT 2015 --  Argghh kecoh gileer
Mon May 11 02:57:11 PDT 2015 --  Siapa mata dia masih suci dari contact lens ?
Mon May 11 00:53:40 PDT 2015 --  Kawan macam couple Ada datang, pergi Hadir, pergi Datang lagi, pergi Akhirnya hadir dan setia Cari kawan mudah Jumpa kawan baik susah.
Mon May 11 02:42:34 PDT 2015 --  Aku ni jenis tak reti cakap "love you ma". Well malu. Sbb i know mak akan kata "buang tebiat ke". Cukup hanya Allah tau whats inside my
Mon May 11 04:05:10 PDT 2015 --  #PerempuanTakSukaBilaLaki and #LakiTakSukaBilaPerempuan banyak same thing. Haha sebab dah lumrah yg both taknak mengalah. Padahal dua2 salah
Mon May 11 04:16:51 PDT 2015 --  Kecoh dgn #PerempuanTakSukaBilaLaki vs #LakiTakSukaBilaPerempuan
Mon May 11 04:06:13 PDT 2015 --  Smue org sebok dok layan drama #HatiPerempuan
Mon May 11 04:05:29 PDT 2015 --  Lps practice at tasek.... pic.twitter.com/g4vn2DNQsw
Mon May 11 03:53:57 PDT 2015 --  Sorry, tp aku backup lelaki #LakiTakSukaBilaPerempuan tak faham yg dia ada life. Dia nak futsal, main bola, dota, lepak dgn geng dia.
Mon May 11 03:54:53 PDT 2015 --  #LakiTakSukaBilaPerempuan pakai tudung tapi baju lengan pendek nak mampus.
Mon May 11 03:55:52 PDT 2015 --  #LakiTakSukaBilaPerempuan perangai macam Tengku Amalin . Jom layan hati perempuan macam depa je ada hati .
Sun May 10 07:52:15 PDT 2015 --  Okayy
Sun May 10 06:38:15 PDT 2015 --  Wuuu lapaq nyeee lahai
Fri May 02 04:58:05 PDT 2014 --  Kejayaan yang sebenar ialah kembali ke syurga. Kegagalan yang sebenar adalah masuk kedalam neraka.
Sun May 10 06:25:31 PDT 2015 --  Home Terobek nn adeq amirul Penat gilerrr Liff rosak plk tu haishhhhhhhhh Gdniteee Now tgh lyn #QuBintang pic.twitter.com/CsUl2u2GEN
Sun May 10 05:37:15 PDT 2015 --  Arggh pning arr dok dlm kete... #alwayspning
Sun May 10 05:34:57 PDT 2015 --  Otw Home
Tue Mar 03 22:40:06 PST 2015 --  Pergi kenduri kahwin Atok : Kau Bila Lagi? Cucu : •Malu Tersipu• Pergi Tanah Perkuburan Cucu : Atok bila lagi? Atok : Kau Nampak Cangkul ni?
Sun May 10 04:05:08 PDT 2015 --  Knp la nn dy nih...plik semcm aq tgk
Sun May 10 03:58:41 PDT 2015 --  Kalau tahu ada orang tak suka kita, baik diam dan senyum. Kucing yg Allah ciptakan comel gila tu pun ada orang tak suka, inikan pula kita.
Sun May 10 03:43:12 PDT 2015 --  Dua tiga kucing berjogging, berjogging bersama masyarakat majmuk, kalau cik adik nak pakai legging, pastikan diri tidak gemuk.
Sun May 10 02:32:17 PDT 2015 --  Disetiap titisan air mata, terdapat sekuntum doa. Dalam bisikan doa, ada segaris nama. Moga dalam jagaan Allah selalu.
Sun May 10 03:00:44 PDT 2015 --  Bestfriend gaduh banyak kali pun still bersama. Bercakap kasar sikit pun tak terasa. Dah kena bahan pun still ketawa. Itulah bestfriend.
Sun May 10 03:38:46 PDT 2015 --  Sebok dok fishing
Sun May 10 00:49:07 PDT 2015 --  Aq dh fed up #hurmm
Fri May 08 13:20:06 PDT 2015 --  I'm not perfect, I make mistakes, I'm sometimes a bad friend, but I'm really thankful for all I have, I promise.
Sun May 10 00:46:04 PDT 2015 --  I don't want to get my hops wif u
Sun May 10 00:40:53 PDT 2015 --  Ade je orang tak puas hati kat twitter cuba jangan kacau life org. kau , kau. aku , aku tak suka block je, jangan nak buat org panas
Sun May 10 00:40:23 PDT 2015 --  Haishhh cm bodo ckp sorg... pic.twitter.com/vtJUfmiage
Fri May 08 08:35:05 PDT 2015 --  In my life, I've lived, I've loved, I've lost, I've missed, I've hurt, I've trusted, I've made mistakes. But most of all, I've learned.
Sat May 10 21:12:22 PDT 2014 --  ya Allah, grant my mom a happiness as she give me happiness when i am sad & please forgive her sins.
