Fri Aug 28 20:39:03 PDT 2015 --  山中湖で開催中！ #ラブシャ のバックステージから #Twitterミラー をお届け！ indigo la End @indigo_la_End pic.twitter.com/OopSPbjljL
Fri Aug 28 06:45:06 PDT 2015 --  ラブシャありがとうございました！キラーボールラストダンスバージョンをやってるときに少しうるっときました。あと久しぶりにみんなとコポゥできた（＾ω＾）
Fri Aug 28 04:53:27 PDT 2015 --  ラブシャありがとうございましたでゲス！ pic.twitter.com/BqLZOGfT28
Fri Aug 28 04:17:09 PDT 2015 --  スウィートラブシャワー最高でした！ ゲスの極み乙女。さんありがとう
Thu Aug 27 22:03:43 PDT 2015 --  山中湖に来たでゲス！今日はSWEET LOVE SHOWERのトリを務めるでゲス。コポゥ！ pic.twitter.com/vTLHF1uke0
Thu Aug 27 21:09:00 PDT 2015 --  ほな いこか The Oral Cigarettes !
Thu Aug 27 19:23:53 PDT 2015 --  キュウソネコカミ乗りがサイコーやなwwww
Thu Aug 27 07:28:45 PDT 2015 --  まあ結局作る工程がどうであれ良い曲であれば関係がないんだけど。今年もまだまだ作ります。来年はたっくさんCD出すので楽しみに待ってて下さい。常に作ってないとダメな性格なもので。というかまずあと30分後にiTunesで無垢な季節配信なのでよろしくお願いします。
Thu Aug 27 16:29:00 PDT 2015 --  SLS2015 DAY1開場しました！ http://sstv.jp/sls  #ラブシャ pic.twitter.com/bKxjPaXkO0
Thu Aug 27 06:52:10 PDT 2015 --  無垢な季節フルオンエアどうでした？
Thu Aug 27 05:00:01 PDT 2015 --  【MV公開でゲス！】本日24時から配信される配信シングル「無垢な季節」のMV（Short.ver）を公開したでゲス！ゲスの極み乙女。史上初となる全編アニメーション映像のショートバージョン！是非チェックして下さいでゲス！コポゥ！https://www.youtube.com/watch?v=sxs1WeLJR0g …
Thu Aug 27 04:55:01 PDT 2015 --  あと5分でなにかが起きる…。そのまま待ってて！
Thu Aug 27 02:47:22 PDT 2015 --  今日の24時からゲスの極み乙女。の配信シングル「無垢な季節」の配信が始まりますよ。かなりの自信作。切ない曲です。あと新しいアー写も公開しました。クール。あっ今日の21時にも良いことあるかも… pic.twitter.com/aDpvqRkvX8
