Tue Jun 16 20:58:43 PDT 2015 --  ال BMW #منشن_شخص_ودك_يشوف_المقطع #فله #ضحك #كراش #وناسه #طقطقه https://vine.co/v/eeVLbgXrFWO 
Wed Jun 24 12:54:32 PDT 2015 --  صورة معبرة وليست غريبة على قادتنا, والدنا سلطان القاسمي يلتقي بأبناء الشهيد بإذن الله هزيم عبيد آل علي " #الإمارات pic.twitter.com/BPPRKRdbIX
Sun Mar 15 09:57:09 PDT 2015 --  سعدت اليوم بتكريم افضل معلم في العالم في مسابقة دولية لمؤسسة فاركي العالمية بقيمة مليون دولار pic.twitter.com/DMyQCHYsyw
Sun Mar 01 14:09:06 PST 2015 --  Introducing the new #GalaxyS6 and #GalaxyS6edge. https://amp.twimg.com/v/24c7dc98-c034-46b5-8b67-de89fe3ab359 …
Wed Feb 18 03:15:33 PST 2015 --  رفيع المستوى واستقبال رفيع المستوى #السعودية و #الامارات قصة لن يفهمها الحساد #الشعب_السعودي_يرحب_في_محمد_بن_زايد pic.twitter.com/X21skSDwIn”
Wed Feb 18 03:12:23 PST 2015 --  : صوره واقعيه تتكلم عن واقع طبعاً المتابعات ٩٥ ٪ منكم عاش هذي الصوره لكم حرية التعليق ' pic.twitter.com/DxZfDoNmMl”
Mon Feb 16 02:31:50 PST 2015 --  “ @mfrdat_uae: مشاهد #رمستنا_حلوه #محلاها_رمستنا pic.twitter.com/4YBMKF5Hks”
Mon Jan 19 21:25:11 PST 2015 --  هنا الوالد الحنون #حاكم_الشارقة يحتضن ابناءه الله يحفظه ويطول عمره #منظر_لن_نراه_إلا_في_الإمارات @SHK_Sultan_fans pic.twitter.com/Ob64h1I1K0
Sun Feb 15 05:33:46 PST 2015 --  “: صورة لـ سمو الشيخ عبدالله بن زايد وهو يداعب أحد المواطنين بعفوية خلال مشاركتة في احتفالية #مهرجان_قصر_الحصن 2015 pic.twitter.com/URchuLUq8l”
Fri Feb 13 07:15:37 PST 2015 --  هل تعرفون يا الدعواش من هم #عيال_زايد ؟؟؟ #صقور_الاماراتUAE_فالاردن #السلاح_الجوي_الاماراتي ' pic.twitter.com/xguIG79u3l
Fri Feb 13 22:25:10 PST 2015 --  #كلنا_صحيفة_الاتحاد_ياداعش الله ينصركم يا #عيال_زايد استرجاع الصحيفه بعد اختراقها تكسير خشوم للدواعش ومن يواليهم pic.twitter.com/0ZSB5fepxP
Fri Feb 13 07:48:28 PST 2015 --  هل تعرفون يا الدعواش من هم #عيال_زايد #صقور_الاماراتUAE_فالاردن #السلاح_الجوي_الاماراتي #الله_يحفظكم_ياصقور_الامارات pic.twitter.com/DZM8OHvg3d
Fri Feb 13 21:50:56 PST 2015 --  يحاولون ضرب الهاشتاق الذي اوجعهم عن طريق صور الفتيات والروابط المزروعه بالفيروسات النجسه. #كلنا_صحيفة_الاتحاد_ياداعش pic.twitter.com/S5DjKwYibi
Sun Feb 08 22:59:11 PST 2015 --  لا خريف ولا شتاء ولا حر صيف ما تعلمنا نعيش بلنعطاف حبنا حب الإمارات النظيف بالفخر يبقى ولا فيه إختلاف #بن_نايم pic.twitter.com/vfgcvpsPro
Sun Feb 15 00:29:27 PST 2015 --  #حبنا_لكم_إستثنائي اللهم أطل في أعمارهم ومدهم بالصحة والعافية pic.twitter.com/BMvi8NL1Lw
Sun Feb 15 02:55:13 PST 2015 --  #جدد_حياتك_بكلمة pic.twitter.com/23ErwKxVCw
Sun Feb 15 04:57:40 PST 2015 --  #جدد_حياتك_بكلمة احلى رومنسيه انصحكم اتباعها عشان ترتاحون ' pic.twitter.com/2M0jkKJu0g
Sun Feb 15 04:44:10 PST 2015 --  #جدد_حياتك_بكلمة ' pic.twitter.com/1LinRDm4eT
