Fri Aug 28 07:24:20 PDT 2015 --  Prime Minister Narendra Modi: Remove the Caste based Reservation System - Sign the Petition! https://www.change.org/p/prime-minister-narendra-modi-remove-the-caste-based-reservation-system-655b05b9-317d-4031-91b3-4f795dc2e94d?recruiter=90492739&utm_source=share_petition&utm_medium=twitter&utm_campaign=share_twitter_responsive&rp_sharecordion_checklist=control … via @Change4India
Wed Aug 19 11:43:22 PDT 2015 --  pic.twitter.com/hHXrorBrpl
Mon Aug 17 05:54:34 PDT 2015 --  #BREAKING: Explosion in central Bangkok's commercial hub; 12 feared dead and several injured
Mon Aug 17 05:20:28 PDT 2015 --  pic.twitter.com/TISXDOjhwv
Sat Aug 15 10:55:29 PDT 2015 --  pic.twitter.com/CtHtv9Sk3B
Sun Aug 09 05:21:47 PDT 2015 --  Will be launching Xiaomi's first India manufactured phone tomorrow in Visakhapatnam. Good news coming our way.
Thu Aug 06 08:33:54 PDT 2015 --  pic.twitter.com/fRFrsbfI1H
Thu Aug 06 08:32:06 PDT 2015 --  pic.twitter.com/obSPxRbSSN
Tue Aug 04 22:27:19 PDT 2015 --  1: Ability Can Never Remain Hidden. 2: No Injury Is Deeper Than Insult. 3: The Start Of Tension Is The End Of Talent.! Good Morning
Sat Aug 01 07:59:39 PDT 2015 --  I just reserved my OnePlus 2 invite! Sign up for yours today. https://oneplus.net/invites?kolid=EAG2M5 …
Thu Jul 30 17:24:49 PDT 2015 --  Zindagi Mey Baar Baar Sahara Nahi Milta, Baar Baar Koi Pyaar Se Pyaara Nahin Milta, Hai Jo Paas Usey ... http://tmi.me/1f7iVR 
Wed Jul 29 01:56:54 PDT 2015 --  @bhupendrachaube Homage To Via @Bollywoodirect: JohnnyWalker. pic.twitter.com/N14luHtqpc Zara hat Ke Zara Bach Ke yeh Bambai Meri Jaan!
Wed Jul 29 01:56:16 PDT 2015 --  pic.twitter.com/BJYXUnZKOO
Wed Jul 29 01:51:44 PDT 2015 --  Never test good people. They are like mercury. They will not break when hit. They will just disappear from your life silently.
Wed Jul 29 01:49:44 PDT 2015 --  pic.twitter.com/2IjnlQW7Fe
Wed Jul 29 01:48:59 PDT 2015 --  pic.twitter.com/1TnqHjCtQx
Mon Jul 27 21:56:28 PDT 2015 --  Head & Heart To handle yourself, use your head. To handle others, use your heart. Good morning
Mon Jul 27 10:11:30 PDT 2015 --  Last pic of missile man of India pic.twitter.com/CFfBqWPlv0
Mon Jul 27 09:32:27 PDT 2015 --  RIP Dr. Kalam pic.twitter.com/aXBA2xKYnX
