Fri Aug 28 16:34:36 PDT 2015 --  there's a lot of butt touching in the chicken business.
Fri Aug 28 10:35:08 PDT 2015 --  there was for sure a criminal in our apt last night, roommates came home at 6am from hospital, and i threw my keys in the dumpster. #help
Wed Aug 26 10:51:21 PDT 2015 --  on another note insurance makes no sense.
Wed Aug 26 10:32:29 PDT 2015 --  crying in the TCC bookstore because the Lord provides ITS FINE.
Tue Aug 25 12:11:04 PDT 2015 --  CFA + cold brew got me like https://twitter.com/fortunemagazine/status/634798501608689664 …
Tue Aug 25 11:58:47 PDT 2015 --  there's a 90% chance i'm gonna fall asleep in this dentist chair.
Tue Aug 25 05:55:10 PDT 2015 --  if you see a girl walking across campus with a sandwich in hand it's probably me because no breaks between 4 classes holla back.
Mon Aug 24 20:05:21 PDT 2015 --  i bagged for 8 hours straight and i am for sure gonna die. bye.
Mon Aug 24 10:16:56 PDT 2015 --  well i have my first good professor at TCC and since being at FSC. actually pumped about it.
Mon Aug 24 09:40:06 PDT 2015 --  College night is tonight from 4-10pm! Buy any meal or entree get a free original sandwich or 8-count nugget!
Sat Aug 22 19:20:43 PDT 2015 --  there's an australian shepherd in my apt rn and a cat so yes i'm fine
Sat Aug 22 13:49:21 PDT 2015 --  today they let me write the set up sheet. so i did it with rapper names. #cfalifestyle pic.twitter.com/veCuHOzMwB
Fri Aug 21 19:42:27 PDT 2015 --  "Your nose ring looks good." Karen (momster) has moved on from the death threats over the third hole in my nose.
Fri Aug 21 19:41:32 PDT 2015 --  I miss my cats so much I had to FaceTime them. (Lebron was busy chasing a bug.) pic.twitter.com/Hjodltne6Y
Fri Aug 21 19:14:12 PDT 2015 --  "i don't really like our waffle fries." "I wish i had that problem."
Thu Aug 20 19:13:29 PDT 2015 --  bradford is v good for my ambivert self
Thu Aug 20 18:43:04 PDT 2015 --  someone pls bring them to me pic.twitter.com/vujtttG1Ds
Thu Aug 20 18:37:42 PDT 2015 --  Come join us tomorrow night at the FSU Luau in the union at 8pm! We'll be handing out free cookies and the cow will be joining us!
Wed Aug 19 12:59:20 PDT 2015 --  i tweet when i'm nervous obviously
Wed Aug 19 12:58:43 PDT 2015 --  no body puts april in a corner (except that's exactly what they do and pls stop)
Tue Aug 18 19:51:03 PDT 2015 --  everyone was in my apartment and it's great cause friendship but terrible cause 6 am so that's why i cried.
Tue Aug 18 18:21:45 PDT 2015 --  back to having a place to live + having no money. #AintItFun
Tue Aug 18 06:04:13 PDT 2015 --  "A bird doesn't sing because it has an answer, it sings because it has a song." Maya Angelou
Sat Aug 15 21:44:47 PDT 2015 --  singing watch me whip and star tipping. sounds about right.
Sat Aug 15 14:47:28 PDT 2015 --  "park where the cars are. go in the place where the sign is." @morr_meg being detail oriented.
Sat Aug 15 14:47:00 PDT 2015 --  "i've never thought about it before, but now that i think about it, i really like lighthouses." @elenanoelle1207
Sat Aug 15 09:28:03 PDT 2015 --  I have never known a single person who has some sort of self control when shopping at Target
Sat Aug 15 09:33:33 PDT 2015 --  also rt if u think tallahassee has the most inconveniently placed walmarts
Sat Aug 15 09:33:10 PDT 2015 --  shopping at walmart though is terrible for every other reason.
Sat Aug 15 09:32:41 PDT 2015 --  shopping at walmart is good because i'm not tempted to spend hundreds of dollars on clothes
Sat Aug 15 09:29:17 PDT 2015 --  v important information ur welcome https://twitter.com/girlposts/status/632575042803642368 …
Fri Aug 14 12:55:44 PDT 2015 --  "Running from God brings a cost not only to us but also to those around us." @PastorTullian
Fri Aug 14 09:02:44 PDT 2015 --  the only reason i'm excited for moving in today is the hope that my nose ring and selfie stick will show up.
Fri Aug 14 09:02:03 PDT 2015 --  "Truett Cathy would roll over in his grave if he knew we were using machines to squeeze lemons." #goodthingwedont #chickenonmonroe
Thu Aug 13 16:10:43 PDT 2015 --  "April, you're not supposed to be here 'til seven." words that are useless at 630 am.
Tue Aug 11 12:25:31 PDT 2015 --  amen#1tweetcloserto5000 https://twitter.com/fieryllek/status/631181486134296576 …
Tue Aug 11 05:34:35 PDT 2015 --  only one good thing worth trying to be and it's love.
Sun Aug 09 19:33:49 PDT 2015 --  keeping it fresh forever #gomocs pic.twitter.com/GtYa7dgFif
Sun Aug 09 19:04:09 PDT 2015 --  honestly i need a job where i can wear a blazer cause i can rock that shiz
Sun Aug 09 19:03:13 PDT 2015 --  and i didn't even know it was tax free weekend. pic.twitter.com/7wOMXT2GLx
