Thu Aug 20 22:43:01 PDT 2015 --  "You're being a bitch" pic.twitter.com/NQNKUvx3tz
Sun Aug 23 14:07:10 PDT 2015 --  At the end always we can see the reality of thing ? Do you think that also ? - Yea http://kiw.im/12QGhei3onb 
Mon Aug 17 20:44:19 PDT 2015 --  He was hungry | tag someone who is always hungry #hungry #hungrysealion (Vine by @ayahfattah) https://vine.co/v/edMeIY9veaH 
Sun Aug 16 21:20:52 PDT 2015 --  When ur friend eats ur food #NowImMad (w/ @kburton_25) pic.twitter.com/kCrMesznIQ
Mon Jul 27 14:37:53 PDT 2015 --  Tapped her ass but we love eachother https://vine.co/v/eglKujYPVKw 
Tue Aug 11 04:05:27 PDT 2015 --  #lilwayne (Vine by @ayahfattah) https://vine.co/v/eHz2F5YLdzj 
Sat Aug 08 15:47:13 PDT 2015 --  This is too cute #kidsfashion #fashion_wear_af pic.twitter.com/hW9kv181dh
Sat Aug 08 15:50:13 PDT 2015 --  #kidsfashion #fashion #fashion_wear_af pic.twitter.com/tNnWMqp8EL
Sat Aug 08 15:57:20 PDT 2015 --  Fashionable fly #JustinBieber #fashion_wear_af pic.twitter.com/xT3dhQ8RNY
Sat Aug 08 13:18:08 PDT 2015 --  Keepsake - Romantic- Rebel dress #fashion_wear_af #fashion pic.twitter.com/Oxpk6kyib3
Sat Aug 08 06:46:50 PDT 2015 --  Beyonce beautiful dress Met Gala 2015 #fashion_wear_af #beyonce #beautifuldress pic.twitter.com/2hwjhZW3x9
Sat Aug 08 07:00:43 PDT 2015 --  Kendall Jenner beautiful dress in Calvin Klein collection #fashion_wear_af #kendallJenner pic.twitter.com/vw2cBH10zf
Fri Aug 07 21:09:37 PDT 2015 --  Unique capulet wrapped up jacket #fashion #fashion_wear_af pic.twitter.com/CwaoxkLj90
Fri Aug 07 20:58:19 PDT 2015 --  Follow @ayahfattah2000 pic.twitter.com/sLz2k3RQ9M
Fri Aug 07 19:57:11 PDT 2015 --  Beautiful jacket #fashion_wear #fashion #trending #fashiontech pic.twitter.com/4gvnEYtNZq
Fri Aug 07 20:12:05 PDT 2015 --  Beautiful summer bikini #fashion_wear #summer #summerbikini pic.twitter.com/nwHIym9HlQ
Fri Aug 07 20:18:09 PDT 2015 --  One of Megan Fox's great street style #fashion_wear #meganfox pic.twitter.com/IpgQukA8V0
Fri Aug 07 20:27:18 PDT 2015 --  Rihanna's beautiful appearance in pink! #Rihanna #fashion_wear pic.twitter.com/kVr68ScEth
Fri Aug 07 20:38:11 PDT 2015 --  Street Fashion #fashion_wear pic.twitter.com/JIBgHPEQxe
Fri Aug 07 19:31:18 PDT 2015 --  This song is amazing if u haven't listen to this, check it out ~Rihanna - Man Down #rihanna #ManDown #BadGalriri pic.twitter.com/5AblhyIiGB
