Tue Jul 28 22:15:05 PDT 2015 --  #CecilTheLion's death: 'There was blood in the sand. My immediate response was anger' http://www.telegraph.co.uk/news/worldnews/africaandindianocean/zimbabwe/11769336/Cecil-the-lions-death-There-was-blood-in-the-sand.-My-immediate-response-was-anger.html … pic.twitter.com/BWGlPxUhkg
Sat Jun 13 15:39:03 PDT 2015 --  Do what makes you happy, be with who makes you smile, laugh as much as you breathe, and love as long as you live.
Wed Mar 04 03:51:24 PST 2015 --  Video captures the moment an elephant was rescued from a mud pit in Kenya http://ind.pn/1M4YIJg  pic.twitter.com/fcbyX2QOtC
Sat Feb 28 06:09:00 PST 2015 --  Man selling mummies in Egypt, 1875 pic.twitter.com/BKEbLoghdn
Fri Feb 20 03:14:58 PST 2015 --  لبيك.. pic.twitter.com/QbfiWejT0p
Thu Feb 19 04:34:34 PST 2015 --  نظرة لطائر النورس على #اسطنبول من برج جلطة التاريخي . #تركيا pic.twitter.com/3E3yJmJbIk
Thu Jan 15 10:26:28 PST 2015 --  فرخة!!! بتتشطر على فرخة!!! يخيبك راجل.. pic.twitter.com/qCbIy9Bd38
Sat Nov 22 02:20:50 PST 2014 --  ولقد جئتمونا فرادى كما خلقناكم أول مرة وتركتم ما خولناكم وراء ظهوركم وما نرى معكم شفعاءكم الذين زعمتم أنهم فيكم شركاء
Fri Nov 21 04:31:31 PST 2014 --  Bridge House, George Row, Bermondsey, c 1920. pic.twitter.com/KZEzpTccG9
Fri Nov 21 04:31:57 PST 2014 --  الضباب يغطي شرق الأناضول في تركيا ولا يرى سوى قبة ومئذنة مسجد #محمد_عقل pic.twitter.com/ApXUdx0Wya
Fri May 02 15:55:20 PDT 2014 --  اصلاح ما أفسده إنقلاب ٣ يوليو ٢٠١٣ لن يتم أبداً بيد من تسبب في هذة الكارثة، وسيفشل السيسي وسيسقط وستنتصر الثورة بإذن الله.سنن الله في الكون
Thu May 01 02:31:51 PDT 2014 --  قمة الرجولة ان يقف شباب ستة ابريل على سلم نقابة الصحفيين بالامس يهتفون "يسقط يسقط حكم المرشد" وهم يعلمون علم... http://fb.me/2y8XjP3pH 
Thu Apr 24 17:07:17 PDT 2014 --  تلاتة هيدخلو النار ال حاطط تسلم الايادى رينج تون والي بيسمع تسلم الايادى واللي بيحب تسلم الايادى.
Thu Mar 20 16:24:35 PDT 2014 --  مقال مهم للمبدع عز الدين دويدار http://fb.me/2mPiDWi3D 
Tue Jan 21 05:43:22 PST 2014 --  أنس الفقى يقدم للمحكمة شيكا بمليون و800 ألف جنيه لتبرئته من قضية "الكسب" #بوابة_القاهرة #مصر
Sat Jan 18 10:21:52 PST 2014 --  المعارضين للذهاب لجنيف هل لديهم خطة بديلة؟
Tue Jan 14 03:56:46 PST 2014 --  الإقبال فوق المتوسط، لكن الأعمار فوق الميت، من ٧٠ سنه فما فوق! يعني جيل عاش عرض و بينهي حياته بيعرض! #الدستور
Wed Jan 08 03:08:57 PST 2014 --  الرجل الذي رمى الأطفال من الأسطح في مصر..و كان له لحية طويلة و يرفع علم القاعدة كأنه في إعلان تلفزيوني..متى محاكمته؟ لماذا لا نسمع عنه؟
Fri Jan 03 04:12:24 PST 2014 --  تظاهرات احتفالية بالاغانى والأهازيج والبالونات وسيارات وطائرات التصوير وحماية الامن فى التحرير والاتحادية ٦ ساعات ٦/٣٠،عزلت رئيس وقلبت نظام؟
Fri Dec 13 12:53:46 PST 2013 --  بلال ..شهيد اليوم .. 18سنة .. في الجنة ايها الحبيب .. في الجنة يا خيرة الشباب #الفيوم #مصر #شهيد #الأزهر pic.twitter.com/Ww1wnH4upL
Thu Dec 12 15:21:26 PST 2013 --  الشتا السنادي فيه آلاف نايمين ف مخيمات وغيرهم مرمي ظلم ف الزنازين وغيرهم بايتين ف الشارع م الفقر..مجرد انك في بيتك ومتدفي يجيبلك شعور بالعار
Tue Dec 10 12:59:48 PST 2013 --  تحت مدنية واشنطن مقبرة جماعية كنت في يوم من اﻻيام مدينة .هندية حمراء.مسالمة تدعي 'نكن شتكة'.دى تلخيص الحضارة الغربية
