Wed Aug 26 09:55:56 PDT 2015 --  كم هو جميل حين تقول ﻷحدهم .. آحتآجك !! ويرد عليكك .. انآ هنآ ﻵجلك
Fri Jul 31 11:35:50 PDT 2015 --  * ، ، ، ، ليتني ماشفت في عيونك دموع منظر الدمعة على خدك هلاك pic.twitter.com/XebQfWbvMr
Fri Jul 31 16:36:19 PDT 2015 --  * ، ، ، ، جابته ذكرى و حنّت له مشاعر وازرت ضلوعي تردّ القلب عنَه pic.twitter.com/bIvJ8ItHKI
Mon Aug 03 20:40:12 PDT 2015 --  * ، ، ، ، يشيَب آلعمر / مَ شآبت مشآعرنا .. pic.twitter.com/z3w1F7LiEZ
Fri Aug 21 08:43:30 PDT 2015 --  اللهمّ لا تخيب رجاءنآ وحقق آمالنآ ويسر أمورنآ وسهّل عسيرنا وأجزل عطيتنا وأحسن ختامنا وتوفنا وأنت راض عنّا ياذا الجلال والإكرام ،،،،!
Wed Aug 19 14:25:04 PDT 2015 --  السلام عليكم ورحمة الله وبركاته أتشرف بكم بحساب وقف لأبي وأمي رحمهم الله...... . pic.twitter.com/UG3PjZ2Jvj
Thu Aug 20 04:42:23 PDT 2015 --  ﷽ ﴿ إِنَّ اللَّهَ وَمَلائِكَتَهُ يُصَلُّونَ عَلَى النَّبِيِّ يَا أَيُّهَا الَّذِينَ آمَنُوا صَلُّوا عَلَيْهِ وَسَلِّمُوا تَسْلِيمًا ﴾.
Thu Aug 20 00:50:57 PDT 2015 --  رضّيتَ بگل ما يحّملہ القدّر لِي ؛ مَا دّام رَبي يَراھ خيرًا لِي ... فَـ الحمدللہ ،♡
Sun Aug 16 15:40:09 PDT 2015 --  أُقسم ، أن لـِ الوفاء لذه يَجهلها الكثير
Fri Aug 07 13:03:45 PDT 2015 --  إذآ كُنتٓ إمآمي فكنْ أٓمامي،،،،،،!
Mon Aug 17 13:55:08 PDT 2015 --  في الليلِ أهفو . و العشق يكفيني في الليل أسهر . و طيفك يسامرني في الليل أحلم . و الأمل يحييني في الليل أدعي . أن تكوني بين أحضاني ز..
Mon Aug 17 03:26:55 PDT 2015 --  (وَلَقَدْ يَسَّرْنَا الْقُرْآنَ لِلذِّكْرِ فَهَلْ مِنْ مُدَّكِرٍ)
Sun Apr 05 11:38:42 PDT 2015 --  لا يُسمى حبيباً من يُخبيء عنكَ تفاصيلُ حياتهِ ، و يَراها شيءٌ لا يُهم أن يُخبرك بهِ ، فَ الحُب مُناصفة !
Sun Aug 16 07:28:03 PDT 2015 --  @bdyaoa123 صح بدنك ي ذووق
Wed Aug 12 17:33:49 PDT 2015 --  pic.twitter.com/ImTwjMQrLO
Sat Aug 15 13:34:20 PDT 2015 --  سَيَظلُّ الْأمَلُ بالله أهْتَدِي بهِ في مَمَرَّات حياتي ومهما عاندتني يا دنيا سيبقى يقيني بربي يفتح لي باب الأمل كلما أغلقتِ ليَ الأبواب.
Sat Aug 15 12:44:32 PDT 2015 --  (اللهم أحسن خاتمتي يا رب العالمين) ..♡
Fri Aug 14 07:52:28 PDT 2015 --  الدنيَا جميلةَ ولكِنْ الجنَہ اجملَ, الدُنيا سعاده لحظِيَہ , ولكن الجنہ سعادَتہاْ ابديہ يارب لآتحرِمنآ جنتكَ”
Fri Aug 14 07:34:49 PDT 2015 --  أريد آلنُسخَة آلقَديمَة مِن بَعض آلقُلوب فَتَحديثآت آلزَمن لَهُم لآ تُعجبُني إطلآقاً.!!
Fri Aug 14 04:45:57 PDT 2015 --  رميم الذكريات تئنّ بين أجداث الأيام
Fri Aug 14 07:24:49 PDT 2015 --  بعد الصلاة الجمعـه سورة الـﮐهف + ااحاديت نبويـۃ بعد صلاة العشاءء :ارب ايدل+حش في احـﻟام نصيحه ﻟآتروح حـسناتـﮐم عشان برنامج ما يسواا#احلام
Fri Aug 14 07:23:21 PDT 2015 --  #ساعة_استجابه اسأل اللهَ لي و لگم راحة تسع الكـون وجـنـةً عرضها السموات والارض وتيسيراً لِاموركم وأن يرزقـكم اللهُ حظ الدنيا ونعيمَ الاخرة
Thu Aug 13 15:10:37 PDT 2015 --  لـ آلدُنيَآ قَآنون لا يَتجآوزهـٌ آحد كُل مَآ تفعَلهُ سَ يعُودُ إليكك وَلوُ بعدَ حينُ أكَآنَ خِيرآً أمْ شَراً فَلـ نُحسنْ صُنعَ ما ينتَظرنَآ
