Fri Aug 28 18:27:18 PDT 2015 --  Wer ist noch wach? Hebt mal euren Fuß
Sat Aug 29 01:40:30 PDT 2015 --  Bibiii @BibisBeauty noch ca 20 Abbos dann hast du die 2,3 millionen #2,3miofürbibi
Sat Aug 15 20:59:35 PDT 2015 --  Guten Morgeeen Ich esse gerade zu Abend haha
Sun Aug 16 02:00:10 PDT 2015 --  NEU bitte RETWEETEN & "L.A. ROOMTOUR & große Pläne.." Unbedingt anschauen! https://youtu.be/dK7gqRwUvg8 
Sun Aug 16 05:56:33 PDT 2015 --  Wieso wache ich Freak hier immer um 5 Uhr auf ?
Sun Aug 16 06:33:45 PDT 2015 --  Ich werfe Bibi nen Buch gegen den Kopf, sie wirft es zurück trifft das Telefon & plötzlich geht die Rezeption dran
Mon Aug 17 08:42:27 PDT 2015 --  Danke an eine gewisse Person, die vergessen hat Socken in den Koffer zu packen
Tue Aug 18 12:12:46 PDT 2015 --  Raus in den Tag Momente sammeln, die ich für immer behalten werde
Wed Aug 26 08:36:39 PDT 2015 --  Ich bin wie so nen Kind Schlafe seit Jahren immer auf dem selben Kissen
Fri Aug 28 10:36:56 PDT 2015 --  Großes Aufräumen Dafür gibt's nen runter pic.twitter.com/I9C5ODJqlm
Fri Aug 28 10:37:36 PDT 2015 --  So gucke ich gerade -> #willendlichmeineruhe
Fri Aug 28 13:54:02 PDT 2015 --  Ich bemerk grad, dass ich meine Asi-Jacke aus den 10 Arten Videos vor drei Jahren einfach bei "Wer wird Millionär" anhatte
Thu Aug 27 02:12:28 PDT 2015 --  @MelinaSophie Glückwunsch süße Melina
Fri Aug 28 23:54:17 PDT 2015 --  & schon wieder unterwegs Brauche jemanden der mich auf meinem Bett transportiert, dann bin ich glücklich
Fri Aug 28 23:55:37 PDT 2015 --  @julienco_ Viel Spaß an alle die heute Bibi & Juli sehen Genießt die Zeit
Fri Aug 28 17:24:06 PDT 2015 --  Schönstes Lächeln ,liebevolle Art, so kenne ich MEIN Idol @BibisBeauty pic.twitter.com/PlCqk8iHEr
Fri Aug 28 15:54:06 PDT 2015 --  00:54-denke an euch @julienco_ @BibisBeauty
Fri Aug 28 17:23:30 PDT 2015 --  Schönstes Lächeln ,liebevolle Art, so kenne ich MEIN Idol Das machst du toll Bianca! @BibisBeauty pic.twitter.com/pdqUBqAp0c
Fri Aug 28 17:45:51 PDT 2015 --  Guten Morgen an alle und @LauraStuntebeck @nbohn99 @BibisFanGirls ich hab euch sehr lieb ihr seit einfach toll #bibinator #bienchen
Thu Aug 27 08:34:37 PDT 2015 --  Neues Video.. ~Spontanes Tattoo in Las Vegas.. unbedingt anschauen Daumen hoch abonnieren @BibisBeauty pic.twitter.com/Nvk4sA3Sx3
Wed Feb 20 08:55:09 PST 2013 --  Mein erster TWEET :D Ich freue mich schon
Fri Aug 28 07:08:21 PDT 2015 --  Es gibt zwei Arten von Menschen auf der Welt. Die, die nur an sich denken. Und die, die an sich und an andere denken.
Fri Aug 28 13:19:54 PDT 2015 --  @TheRealLiont @TimisDesi @FreshSchorsch @ThisIsTrapstar Timo dich auch pic.twitter.com/tQKrl067cE
Fri Aug 28 13:23:35 PDT 2015 --  @sarahlovesliont @TimisDesi @TheRealLiont @FreshSchorsch @ThisIsTrapstar pic.twitter.com/bMazfD4UlZ
Fri Aug 28 13:25:50 PDT 2015 --  @_timischiara_ @TimisDesi @TheRealLiont @FreshSchorsch @ThisIsTrapstar pic.twitter.com/BaiTCz4x1O
Fri Aug 28 13:25:36 PDT 2015 --  Ich hoffe einfach so,dass du irgendwann den Text in den Dms lesen würdest... Es liegt mir so am Herzen... @BibisBeauty
Fri Aug 28 13:21:20 PDT 2015 --  Einen dezent kleinen Haufen Kleidung aussortiert pic.twitter.com/i5sZapMR4B
Fri Aug 28 11:42:59 PDT 2015 --  Verliebe dich niemals zweimal in dieselbe Person, denn beim zweiten Mal verliebst du dich nur in die Erinnerung.
Fri Aug 28 09:08:19 PDT 2015 --  #SelfiefürMelina @MelinaSophie pic.twitter.com/TRBCnZdeET
Thu Aug 27 10:43:18 PDT 2015 --  Ich vermisse dieses Gefühl zu Schulzeiten, als ich erfahren habe, dass die letzte Stunde ausfällt
Thu Aug 27 10:51:09 PDT 2015 --  Ich war immer voll brav in der Schule, aber trotzdem gab es IMMER einen Lehrer der mich gehasst hat
Fri Aug 28 05:37:29 PDT 2015 --  DEUTSCHLAND Da bin ich ! Hab dich auch vermisst
Wed Aug 26 22:56:13 PDT 2015 --  Hauptsache getrennte Betten & Julian will natürlich seins nicht mit mir teilen, der soll mit mir Kuscheln der Penner
Wed Aug 26 23:21:22 PDT 2015 --  Plan für die nächsten 3 Tage: Los Angeles Düsseldorf Köln Bremen Hamburg Berlin Köln.. Omg, but i it
Fri Aug 28 06:01:52 PDT 2015 --  Juchuuu - jetzt erstmal einen halben Tag & eine Nacht zu Hause Und dann beginnt das traveln wieder .. but i Lve it !
Fri Aug 28 06:04:32 PDT 2015 --  Ach ist das schön, endlich wieder die gleiche Zeit wie ihr zu haben & nicht immer kompliziert umrechnen zu müssen
Thu Aug 27 12:26:07 PDT 2015 --  OMG OMG OMG @MelinaSophie es tut mit so Leid, dass ich dir jetzt erst gratuliere HERZLICHEN GLÜCKWUNSCH zu krass verdienten 1 Mio.
Thu Aug 27 23:01:35 PDT 2015 --  Guuuten Morgen für euch & Gute Nacht für mich bis in paar Stündchen 🏼
Thu Aug 27 11:56:30 PDT 2015 --  Ich glaube ich werde auf Timos Tour arm... @TheRealLiont
Thu Aug 27 09:42:01 PDT 2015 --  Oh nein, mein iPhone funktioniert nicht mehr richtig und der Touchscreen reagiert ganz selten. Irgendwas scheint locker da drin.
Thu Aug 27 11:03:04 PDT 2015 --  Ich weiß .. Es sind "nur" Likes .. Aber ernsthaft WTF ?! 300.000 ? Ihr seid doch krass pic.twitter.com/N2FP1Au4Vg
Thu Aug 27 11:30:18 PDT 2015 --  Der Satz, den ich die letzte Zeit am öftesten gehört habe: "Krass, du bist kleiner als ich dachte .."
Thu Aug 27 12:11:02 PDT 2015 --  Wir gucken grad Cobra 11. Oma: Ist das der Julian? Ich: Ähm...nein.Das ist Tom Beck. @julienco_
Thu Aug 27 11:46:10 PDT 2015 --  Ich werd das alles hier so vermissen pic.twitter.com/JrXFO4plgX
Thu Aug 27 11:19:34 PDT 2015 --  Kleine Menschen haben es nicht leicht haha pic.twitter.com/UlUn19B5oX
Thu Aug 27 09:43:18 PDT 2015 --  @diese_ramona @dagibee aber nur im dunkeln. okay nein.
Thu Aug 27 09:43:20 PDT 2015 --  diese Ironie rieche ich bis hierhin https://twitter.com/diese_ramona/status/636941879549034496 …
Thu Aug 27 10:38:07 PDT 2015 --  Ich frag sie jetzt einfach, schlimmer als 'nein' kanns nicht werden.
Thu Aug 27 10:29:54 PDT 2015 --  Hast du eigentlich schon mein Hausaufgabenheft gesehen ? @julienco_ pic.twitter.com/SiAdfTKIb0
Thu Aug 27 10:06:50 PDT 2015 --  Ich muste sofort an dich denken @BibisBeauty pic.twitter.com/35887tmbT0
Thu Aug 27 10:06:59 PDT 2015 --  Jenco? Jenco! @julienco_ pic.twitter.com/GmETcPplQd
Thu Aug 27 09:38:43 PDT 2015 --  Hatte mir eigentlich vorgenommen, vielleicht ein par Vokabeln zu lernen, bin aber im Moment nur im Bett und schau Videos Wer kennt's auch?
Thu Aug 27 09:46:42 PDT 2015 --  @BibisBeauty Bibi ? Bitte schau in deine DM's... Und les dir den Text durch101
Mon Aug 24 10:05:51 PDT 2015 --  süß, wenn dagi kleiner ist als manche ihrer fans. @dagibee pic.twitter.com/OShH101nGD
Sun Aug 02 06:35:29 PDT 2015 --  & da viel mir plötzlich ein : Nein Bibi, heute is nix mit Shoppen, wir haben Sonntag..
Thu Aug 27 09:12:57 PDT 2015 --  pic.twitter.com/l37msTGpfn
Thu Aug 27 08:57:52 PDT 2015 --  https://youtu.be/WuFzgXQ_pTA  Neeeues Video von @BibisBeauty Umbedingt ,Abbo dalassen&
Thu Aug 27 08:50:45 PDT 2015 --  The Julian ist wieder erwacht -> -> ( kein Sinn )
Thu Aug 27 00:11:24 PDT 2015 --  Happy Birthday to you @SteffiGiesinger Auf ein weiteres Jahr voller Gesundheit, Glück und Erfolg
Thu Aug 27 08:32:17 PDT 2015 --  @MelinaSophie weisst du noch? pic.twitter.com/L9ybrbX7Zq
Thu Aug 27 02:48:10 PDT 2015 --  Dreh für morgen ein neues Frage&Antwort Video! Stellt mir eure Fragen mit #LiontduLappen !
Thu Aug 27 08:30:27 PDT 2015 --  @melinasophie pic.twitter.com/NG3HDRUHug
Wed Aug 26 12:13:28 PDT 2015 --  @BibisBeauty Du wolltest es so...aber du siehst auf dem Bild immernoch wunderschön aus pic.twitter.com/PD0hfVmLYr
Thu Aug 27 06:27:16 PDT 2015 --  " buchstabier mal ' PERFEKT ' ME : " M E L I N A " @MelinaSophie
Thu Aug 27 05:03:39 PDT 2015 --  NEU bitte RETWEETEN & "Spontanes Tattoo in Las Vegas.." Unbedingt anschauen! .. https://youtu.be/WuFzgXQ_pTA 
