Tue Aug 25 16:26:59 PDT 2015 --  A lil love to ring a big birthday for a wee man. Happy 5th Murphy Brown. pic.twitter.com/n3G0xvPq3N
Mon Aug 24 11:04:46 PDT 2015 --  The @bigloveball has come to #ottcity https://twitter.com/majic100ottawa/status/635849393653026816 …
Sat Aug 22 23:22:34 PDT 2015 --  My first in-person encounter with @bigloveball at #cultivate2015. pic.twitter.com/3WohTJ8bGT
Sat Aug 22 08:15:56 PDT 2015 --  pic.twitter.com/UO7DOX6QNw
Thu Aug 20 20:10:25 PDT 2015 --  Just met the @bigloveball team. Thanks for spreading the #love and thanks for not selling us anything. pic.twitter.com/gWBaMwmm7E
Thu Aug 20 17:31:00 PDT 2015 --  Repost thanks for the pic of #jumpforjoymural @thisisblueprint #art #gastown #Vancouver #… http://ift.tt/1WI6aCf  pic.twitter.com/wBae5m2Vxm
Thu Aug 20 21:06:12 PDT 2015 --  LIVE on #Periscope https://www.periscope.tv/w/aKabNDk5NDQxNTF8NjYxNzkwNjW0GkyrH6Wo5SIv-PR2Rxk98AxSfDWh88HG9IOw-ObAVA== …
Tue Aug 11 20:35:10 PDT 2015 --  Love is in the air! @bigloveball pic.twitter.com/SbveiloEms
Sat Aug 08 07:16:13 PDT 2015 --  Morning LOVE....... pic.twitter.com/9P9uGVJ8Gv
Fri Aug 07 07:22:59 PDT 2015 --  Sam, we are waiting for you with a big love note, Squamish Canada.. You are a big love ball pic.twitter.com/TBYXnoc3V8
Fri Aug 07 06:49:50 PDT 2015 --  Make August Memories. pic.twitter.com/eQOExrUlpF
Fri Aug 07 06:45:39 PDT 2015 --  One word. One logo. One universal brand. pic.twitter.com/1KjCQ7EIss
Thu Aug 06 14:14:27 PDT 2015 --  Who's behind these 'Love' balls that are popping up everywhere? Watch my @bigloveball story 2nite on @goWestCoastTV pic.twitter.com/hVlpwmge1R
Thu Aug 06 10:22:16 PDT 2015 --  A huge thanks to @bigloveball for their generous donation to the #peakpridewedding - the big (and baby) love... http://fb.me/1g7AkmILd 
Wed Aug 27 13:58:33 PDT 2014 --  #Repost from @bigloveball with @dcoulier and @melissabring during their gorgeous wedding... http://ift.tt/1qhUx4w  pic.twitter.com/rO6QqIQY4x
Mon Aug 03 13:39:51 PDT 2015 --  I love the @bigloveball #Repost @filosophi Just a couple of balls, hangin out. @scienceworldca… https://instagram.com/p/571k0DJNPe/ 
Sun Aug 02 20:07:40 PDT 2015 --  Love is everything @bigloveball https://instagram.com/p/559IA2I0tD/ 
Sat Aug 01 15:32:44 PDT 2015 --  We did it - they're hitched! #paulanddakota #PEAKpridewedding @bigloveball @thetuxstore #bigloveball http://fb.me/7rE1LXvx9 
Sun Aug 02 02:43:26 PDT 2015 --  Let LOVE rule! https://twitter.com/bigloveball/status/627615159016554497 …
Sat Aug 01 16:01:29 PDT 2015 --  Come say hi to BIG LOVE BALL tomorrow during Pride in Vancouver tomorrow. We'll have the Karmann Ghia and lots of love to go around.
Sat Aug 01 15:58:20 PDT 2015 --  Don't let your neighbour with the bad slacks and unsightly lawn chairs tell you who your child should be. #transproud pic.twitter.com/ujepghGkRn
