Fri Aug 28 13:25:46 PDT 2015 --  Headed to the lake with the fam. Foe pic.twitter.com/2unC58zcsF
Fri Aug 07 05:38:06 PDT 2015 --  Happy 12th bday princess. Luv u to the moon and back pic.twitter.com/SzVYSfFkLS
Wed Jul 15 17:10:58 PDT 2015 --  The Jayhawks are 15 minutes away! Come on out to "The Hog" and welcome home your gold medal winners! #kuball pic.twitter.com/ChTZ5cbjth
Wed Jul 15 09:02:39 PDT 2015 --  Chiefs LB Justin Houston has agreed to a 6-year, $101M deal that includes $52.5M guaranteed. (via @AdamSchefter) pic.twitter.com/l3LCSjhUdi
Mon Jul 13 07:37:03 PDT 2015 --  This is what gold looks like! @KUHoops #wugusa pic.twitter.com/Qv5ZVSUaG8
Mon Jul 13 07:15:42 PDT 2015 --  Rock Chalk, USA. #KUinKorea pic.twitter.com/AMWb7dC4Yi
Sun Jul 12 04:21:21 PDT 2015 --  USA WINS!!!! America will play Germany for GOLD!!! #KUinKorea pic.twitter.com/Ktgi0GxIxZ
Tue Jul 07 21:52:33 PDT 2015 --  USA WINS!!! Undefeated!! #KUinKorea pic.twitter.com/RETmUviGaX
Tue Jul 07 20:30:27 PDT 2015 --  Nasty. @WayneSeldenJr #kubball https://vine.co/v/endFWbMF750 
Sun Jul 05 06:32:22 PDT 2015 --  USA WINS!!!! #KUinKorea pic.twitter.com/8otIO1euSl
Thu Jul 02 06:10:50 PDT 2015 --  Bill Self can still shoot: http://es.pn/1T87Wdg  '81 Oklahoma HS POY over Tisdale and Price. Can beat his assistants in a footrace, too.
Fri Jun 26 19:00:03 PDT 2015 --  KANSAS/USA WINS! pic.twitter.com/6Jp8uWaLYU
Tue Jun 23 19:07:00 PDT 2015 --  KANSAS/USA WINS! pic.twitter.com/hEPWR9C3BF
Mon Jun 22 14:27:19 PDT 2015 --  #KUbball releases uniforms for upcoming World University Games in South Korea… http://ljw.bz/1Fxgyk3  pic.twitter.com/LD9bPOieK9
Mon May 18 09:36:04 PDT 2015 --  Who's a better coach? Retweet for Bill Self Favorite for Bill Snyder pic.twitter.com/apOWCpU5vA
Thu May 14 11:36:21 PDT 2015 --  Powerhouses clash. Kansas and Kentucky matchup highlights 3rd annual Big 12/SEC Challenge.
Wed May 06 16:02:18 PDT 2015 --  PLEASE READ AND RT to help the cause & get the word out! Help save Greco Bouzakis! http://gfwd.at/1GA7gVx  #LiveGreco pic.twitter.com/6KlKs1pnCf
Fri May 01 19:17:29 PDT 2015 --  "Chris Conley flat-out flies, folks," NFL Network's Mike Mayock. Conley ran a 4.35 40-yard dash at the NFL Scouting Combine.
Tue Apr 28 13:16:47 PDT 2015 --  Big man Cheick Diallo picks Kansas http://ljw.bz/1EOgy5o  #kubball pic.twitter.com/PNOUefDc9Z
Tue Apr 28 13:08:12 PDT 2015 --  #kubball has landed Cheick Diallo https://twitter.com/cheick_diallo13/status/593144374495576064 …
Sun Apr 19 05:12:39 PDT 2015 --  Due to the rain last night and the chance of rain today, we are going to have to cancel the rest of the tournament.
Sun Mar 29 19:03:02 PDT 2015 --  So proud of my little guy. 6th place at state wrestling. @wendyroot25 #wwc #statewrestling #prouddad pic.twitter.com/FIfCKJmpnJ
Fri Mar 27 06:35:23 PDT 2015 --  Good luck at state wrestling Landry. Represent wwc pic.twitter.com/0PWZNw2evD
Thu Mar 19 16:54:32 PDT 2015 --  KU coach Bill Self signs an autograph for Wichita State fan. #kubball pic.twitter.com/jluiNP5LsY
Mon Mar 09 12:09:45 PDT 2015 --  “Rookie. Inexperienced. Hyped. What’s he going to do today? @adidas” . . . Take Today https://amp.twimg.com/v/847f91ca-0769-4411-8b03-518e54c5cf2c …
Tue Mar 03 22:40:04 PST 2015 --  WATCH: Christian Garrett’s #KUSeniorNight speech. http://youtu.be/5_-fdiD8evw 
Mon Mar 02 20:17:39 PST 2015 --  Ours go to 11. #kubball pic.twitter.com/ZPfvJwu5QP
Sat Feb 21 19:22:56 PST 2015 --  Congrats to Paul Stuart winning regional wrestler of the year.
Sat Feb 21 17:38:38 PST 2015 --  120 pounds #vkscores pic.twitter.com/wjjlvf0dA1
Sat Feb 21 17:49:05 PST 2015 --  Andover's Paul Stuart beat Ark City's Logan Terrill 9-5 at 120 #vkscores
Sat Jan 24 20:29:15 PST 2015 --  @ShtWrestlerSay pic.twitter.com/glSQuiMzDy
Wed Jan 07 15:00:16 PST 2015 --  RETWEET for a chance at one of these signed baseballs from the #HOF2015 class and watch them now on #MLBTonight! pic.twitter.com/hdZJkqm2SH
Sat Dec 06 12:04:06 PST 2014 --  Best fans in the country! Rock Chalk 16,305 > 5
Sun Nov 30 12:23:59 PST 2014 --  Perry Ellis is the 2014 @OrlandoClassic MVP. #kubball pic.twitter.com/DGKog9cmPj
Sun Nov 30 12:17:07 PST 2014 --  Champs. #kubball pic.twitter.com/Mu3J9NKyWS
Fri Nov 14 06:40:09 PST 2014 --  Good luck bub today. Represent at Tulsa pic.twitter.com/4uGXCqSmYg
Thu Nov 13 09:17:38 PST 2014 --  Kentucky wrestler has an inspirational story of perseverance. @E60 brings you Willie Burton's unforgettable journey. http://es.pn/1xwsscW 
Wed Oct 29 19:32:00 PDT 2014 --  Trying to win 1 more game tonight with @CoachBillSelf #Royals #Rockchalk pic.twitter.com/SQDjd8KTZe
Tue Oct 28 20:08:36 PDT 2014 --  pic.twitter.com/OjfTzCtI6I
Mon Oct 27 22:58:36 PDT 2014 --  A building unlike any other calls for a completely unique celebration of 60 years. Checkout #Phog60: http://youtu.be/GWc_0-H1ChQ 
Mon Oct 27 12:23:37 PDT 2014 --  60yr AFH celebration started here today with @JayBilas @CoachBillSelf pic.twitter.com/M5EEc4cwXQ
Sat Oct 25 17:31:40 PDT 2014 --  Hunter Pence wants to be in the porn version of home alone. #wetbandits #HunterPenceSigns
Fri Oct 24 20:28:08 PDT 2014 --  It's gonna be a fun night in Kansas City. #WorldSeries pic.twitter.com/TPfatmnvO2
Fri Oct 24 19:10:43 PDT 2014 --  Andover defeats Kapaun 24-21. #vkscores
Thu Oct 23 04:49:02 PDT 2014 --  RT to save titties pic.twitter.com/dhLdIKtiCk
Tue Oct 21 17:20:55 PDT 2014 --  #ROYALSREADY !!!!! http://youtu.be/jCuK-2mSR4Q  Go check out @BDOUBLEEKC new video!!!
Tue Oct 21 15:26:36 PDT 2014 --  That's what SPEED do @ClintBowyer #Zoom @mrzoombiya pic.twitter.com/FRrb5QrMk0
Tue Oct 21 04:52:30 PDT 2014 --  We are ready! Everybody get your Royals blue on and let's do this! pic.twitter.com/PWduzg7Txo
Thu Oct 16 11:02:42 PDT 2014 --  Preseason CBB coaches poll top 10: 1 Kentucky 2 Arizona 3 Duke 4 Wisconsin 5 Kansas 6 N. Carolina 7 Florida 8 Virginia 9 Louisville 10 Texas
Wed Oct 15 20:58:51 PDT 2014 --  Kansas City...welcome to the World Series. Best FANS, stadium, team and organization in the league! #proudtobeKC #TakeTheCrown
Wed Oct 15 19:23:27 PDT 2014 --  Of course we swept the Angels & the O's... We have a Butler & a Dyson! #TAKETHECROWN #ROYALS #ALCS #WereGoingToTheFreakinWorldSeries!!!
Wed Oct 15 17:13:57 PDT 2014 --  Strange, George Brett is usually a pretty mild-mannered guy. #TakeTheCrown pic.twitter.com/BEHLiEO1K5
Tue Oct 14 21:31:56 PDT 2014 --  " @archieeversole: @TheRealHos35 LETS GET UR DUN!!!! BRO!!! #BEROYAL #WEREADY #BLUEOKTOBER" #weready
Tue Oct 14 20:40:38 PDT 2014 --  All #Royals fans right now #TakeTheCrown pic.twitter.com/llp8CM0Q2i
Tue Oct 14 20:03:42 PDT 2014 --  Screw it, let's just win them all. #Royals pic.twitter.com/ts4GSLU8Vp
Tue Oct 14 20:04:27 PDT 2014 --  Reclaim the crown. Royals baby
Tue Oct 14 10:50:17 PDT 2014 --  . @Royals reliever @bfinny29 hooked up a fan with #ALCS tickets on Twitter: http://atmlb.com/1trmnQz  pic.twitter.com/dxrgAERK2v
Tue Oct 14 10:24:31 PDT 2014 --  . @kcgrassman and the #Royals grounds crew have #TheK's field on point for tonight's #ALCS game! #TakeTheCROWN pic.twitter.com/kbkD57hbTC
Sat Oct 11 18:04:07 PDT 2014 --  Followers to RETWEET can win a baseball signed by @Royals SS @alcidesescobar2. #ALCS pic.twitter.com/1niuvaErhk
Fri Oct 10 21:54:56 PDT 2014 --  Followers to RETWEET can win an Alex Gordon bat. #ALCS pic.twitter.com/a57DvwoMI8
Sat Oct 11 14:47:51 PDT 2014 --  Moosetoberfest
Fri Oct 10 22:15:31 PDT 2014 --  Be royal baby pic.twitter.com/dn1VzKRV1N
Fri Oct 10 16:36:20 PDT 2014 --  10 in a row http://instagram.com/p/t_ZrvIqiNi/ 
Fri Oct 10 04:58:53 PDT 2014 --  Royals Ready by Wallace Bee / B DOUBLE E via #soundcloud http://soundcloud.com/wallace-bee-b-double-e/wallace-bee-royals-ready …
