Fri Aug 21 22:07:13 PDT 2015 --  Pabebe ni duhrizz!! Hahahah.. https://instagram.com/p/6rF8zTscKs/ 
Fri Aug 21 21:15:20 PDT 2015 --  Pabebe wave ni jacob joshua. Adik kay yayadub hahahha.. https://instagram.com/p/6rAAzvscCX/ 
Sun Aug 16 19:56:25 PDT 2015 --  Good morning aldub nation I'm back hahaha duty mode n ko ! Attendance ult tyo? RT lang s lht ng mga excited mamaya l #AlDubTrueLoveWaits
Sun Aug 16 23:51:17 PDT 2015 --  Thank you #AlDubNation for trending #AIDubTrueLoveWaits postive lang tayo. 🏻
Mon Aug 17 00:27:26 PDT 2015 --  Sino nakkapansin ? hahaha si alden na mismo nag i-initiate ng mga damoves kay yaya dub OMG #AlDubTrueLoveWaits https://twitter.com/AlDub_Quotes/status/633170119330414592 …
Sat Aug 15 17:19:07 PDT 2015 --  Happy birthday brad. More blessing to come and good health.. https://instagram.com/p/6bINdjscCz/ 
Sat Aug 15 03:45:42 PDT 2015 --  Pati booth nga abs cbn tv plus nakikialdub narin. Hahaha.. #aldubadiction https://instagram.com/p/6ZrFiIscBb/ 
Sat Aug 15 01:32:15 PDT 2015 --  @allanklownz yes, madam! Nasa lahat ng news na nga ang AlDub! Iba ang pag ibig sa tamang panahoooonn... #AldubForYouIWill
Sat Aug 15 01:32:24 PDT 2015 --  Kilig pa more @mainedcm @aldenrichards02 @kimpoyfeliciano @allanklownz #AlDubForYouIWill pic.twitter.com/6jEwkizRSo
Sat Aug 15 01:37:30 PDT 2015 --  Hala my pa #AskLoloFraning si @lolofraningmo .
Sat Aug 15 01:36:32 PDT 2015 --  @charmainemeji11 @allanklownz super.makatotohanan na talga eh..ramdam sa buto haha #AlDubForYouIWill
Sat Aug 15 01:39:57 PDT 2015 --  Tapos sasakay ng helicopter si Yaya Dub at may special place silang pupuntahan. Tapos totohanan na at Alden and Maine. #AlDubForYouIwill
Sat Aug 15 01:30:13 PDT 2015 --  Sana sa pagkikita ng AlDub eh nasa province si Yaya Dub tapos magHelicopter si Alden para magkita sila @EatBulaga #AlDubForYouIWill
Sat Aug 15 01:41:16 PDT 2015 --  RT sa mga Kinilig sa Kalyeserye Kanina. #AlDubForYouIWill AdminJp
Sat Aug 15 01:43:43 PDT 2015 --  UPDATE : Eight Hundred Eighty Two Thousand tweets. Wait maligo lang ako amoy Frankie na ko. #AlDubForYouIWill
Fri Aug 14 18:55:45 PDT 2015 --  Abangan mga Dabarkads 11:30am palang #KiligPaMore na. 🏻
Fri Aug 14 06:31:39 PDT 2015 --  Shot Friday night.. https://instagram.com/p/6XZSjKscDU/ 
Fri Aug 14 03:06:28 PDT 2015 --  Just posted a photo https://instagram.com/p/6XB1isMcKK/ 
Thu Aug 13 23:39:32 PDT 2015 --  @mainedcm yaya dub! Kahawig mo sina Shaina Magdayao Pops Fernandez Shamcey Supsup talaga! Ganda! #fanMoAko #AlDubHihintayinKita
Thu Aug 13 23:37:53 PDT 2015 --  Salamat po sa 12.8K followers! Patuloy po ang showbiz updates sa inyo ng SHOWBIZ NEWS PH sa twitterlandia! #Happy #AlDubHihintayinKita
Thu Aug 13 22:34:40 PDT 2015 --  #mariel #jacob #joshua https://instagram.com/p/6Wiu0VscFa/ 
Thu Aug 13 22:13:25 PDT 2015 --  Just posted a photo https://instagram.com/p/6WgTIMMcCj/ 
Thu Aug 13 21:32:16 PDT 2015 --  TRENDING UPDATE: #AlDubHihintayinKita @aldenrichards02 @mainedcm @allanklownz @EatBulaga @tinapperez @aubreycarampel pic.twitter.com/A5cLXWmbZh
Thu Aug 13 21:32:31 PDT 2015 --  LESSON OF THE BAE: BGB, "Bagong gising Bae!" #AlDubHihintayinKita
Thu Aug 13 21:32:32 PDT 2015 --  Isn't she lovely?? #AlDubHihintayinKita pic.twitter.com/tyD5dHzpBc
Thu Aug 13 21:31:58 PDT 2015 --  hahah HT woke up like this omg Bae alden ! #AlDubHihintayinKita
Thu Aug 13 21:23:23 PDT 2015 --  ANG POGI TALGA NI BAE KENNETH HAHHA #AlDubHihintayinKita
Thu Aug 13 21:22:18 PDT 2015 --  Kailangan may date talaga yan @sam_yg Sabi ni Papi haha @aldenrichards02 @mainedcm #AlDubHihintayinKita pic.twitter.com/n82z4e8X27
Thu Aug 13 21:22:27 PDT 2015 --  OOTD @aldenrichards02 PUGEH AH! Hihihi #AlDubHihintayinKita pic.twitter.com/iYL442p1Zb
Thu Aug 13 07:28:04 PDT 2015 --  #aldubaddiction
Thu Aug 13 07:27:25 PDT 2015 --  Un oh.. pic.twitter.com/aKX1vSTAAH
Thu Aug 13 07:24:03 PDT 2015 --  Judy Ann Santos, gustong paglihian si @aldenrichards02 http://gmane.ws/1DMy5e7  pic.twitter.com/bvF8pdNziH
Thu Aug 13 07:24:18 PDT 2015 --  Hala! Alden vs Frankie! #HappyALDUBDay @FrankieArinolli @aldenrichards02 @allanklownz @mainedcm pic.twitter.com/HyUo9EK4Lc
Thu Aug 13 07:23:39 PDT 2015 --  Hahahah.. https://instagram.com/p/6U6eUuMcNV/ 
Thu Aug 13 07:19:19 PDT 2015 --  Just posted a photo https://instagram.com/p/6U5-nOMcMQ/ 
Thu Aug 13 07:09:17 PDT 2015 --  ito daw po ang Official Hashtag for tomorrow. Please Liver Spread. #AlDubHihintayinKita pic.twitter.com/Vfr5B2M5zU
