Thu Aug 27 17:07:29 PDT 2015 --  It's what's did for dinner! @ Papa Murphys Take N Bake Pizza https://instagram.com/p/66AaX-hOwU/ 
Thu Aug 20 13:55:39 PDT 2015 --  Just how bad was Thursday's market carnage? http://cnb.cx/1PoINYN  via @CNBC
Tue Aug 18 14:17:44 PDT 2015 --  What everyone does when it's raining in Mpls! #fun #amusementpark @ Mall of America https://instagram.com/p/6ih1NYhO4e/ 
Sat Aug 08 15:08:15 PDT 2015 --  #beach #lakecalhoun #miniapple @ Lake Calhoun, Minneapolis, Minnesota https://instagram.com/p/6I3peWBO42/ 
Fri Aug 07 20:14:59 PDT 2015 --  #mallofamerica #lights # shopping @ Mall of America https://instagram.com/p/6G19exhO02/ 
Thu Jul 30 05:53:45 PDT 2015 --  This was quite painful @Morning_Joe @morningmika . . . another cringe-worthy moment #PleaseProceed @GovernorPerry! https://twitter.com/Morning_Joe/status/626724377820684289 …
Thu Jul 23 18:27:38 PDT 2015 --  Need more clear thinkers like @ChrisMurphyCT in Congress else obstructionism w/o any thoughtful alternative will prevail @chrislhayes @msnbc
Sat Jul 18 11:36:43 PDT 2015 --  #elvispresley @ West End Marketplace https://instagram.com/p/5SavtCBO3Q/ 
Sat Jul 04 15:21:58 PDT 2015 --  Met the famous #MamaMarscine who makes bakery dreams come true! @ Cretia's Eatery & Bake Shoppe https://instagram.com/p/4uxahdhO0m/ 
Fri Jun 19 16:50:38 PDT 2015 --  The test of true discipleship, "By this shall all men know that ye are my disciples, if ye have love one to another ~Jn 13:35" #IForgiveYou
Tue Jun 16 20:58:58 PDT 2015 --  The wait is over – Your Golden State #Warriors are #NBA CHAMPIONS!!! #GSW #NBAFinals pic.twitter.com/3xxxrnJbJN
Sun Jun 07 13:30:34 PDT 2015 --  #Dallas #Rain #Drought #TheGreatFlood @ Margaret Hunt Hill Bridge https://instagram.com/p/3pDMzGhOwH/ 
Thu May 28 14:11:47 PDT 2015 --  Southern Pecan + Gourmet Peanut Butter Cookies = #SometimesUFeelLikeANut (@ White Rhino Coffee in Cedar Hill, TX) https://www.swarmapp.com/c/crnGmRVXxBh 
Wed May 20 19:30:59 PDT 2015 --  #MasterofTheology #2015 https://instagram.com/p/27WI-shO0V/ 
Tue May 12 21:43:56 PDT 2015 --  Grace Potter @ Venetian Showroom https://instagram.com/p/2m-_xLhO8D/ 
Tue May 12 21:24:44 PDT 2015 --  Grace Potter @ Venetian Showroom https://instagram.com/p/2m8zLNBO5l/ 
Tue May 12 21:02:22 PDT 2015 --  Grace Potter @ Venetian Showroom https://instagram.com/p/2m6PUyhO2v/ 
Mon May 11 12:17:12 PDT 2015 --  IBM Edge 2015 #GeekCentral @ Sands Expo and Convention Center https://instagram.com/p/2jZV-AhO_d/ 
Sun May 10 19:47:54 PDT 2015 --  Dear @Delta & @DeltaAssist I wanted to recognize your employee "Robert Raphael" in Atlanta for exceptional customer service. #LoyalCustomer
