Sat Aug 15 16:39:50 PDT 2015 --  Dr. Dre says #RollTide #StraightOuttaCompton pic.twitter.com/oHn97AUz3g
Thu Mar 26 08:17:34 PDT 2015 --  @BleacherReport MBHS Jr. Drew Brown squats 500 lbs. with ease. pic.twitter.com/FF6CvvIL9j
Sat Oct 18 16:08:52 PDT 2014 --  Did Amari Cooper's performance earn him your @NissanUSA #HeismanVote? Use the hashtag & player last name to vote. pic.twitter.com/Am5Ftb1gLo
Sat Oct 18 15:53:44 PDT 2014 --  Roll Tide! #7 Alabama shuts out #21 Texas A&M 59-0. #TAMUvsBAMA pic.twitter.com/B6zR7xjt91
Wed Oct 15 15:00:26 PDT 2014 --  What I learned today #PSAT pic.twitter.com/iiDYBCx6US
Thu Sep 25 20:34:39 PDT 2014 --  Real https://vine.co/v/OZmgYWzzmQH 
Thu Sep 25 17:18:06 PDT 2014 --  Much respect to jeter.
Mon Sep 08 05:30:08 PDT 2014 --  Real life goals pic.twitter.com/Znn1KTdFtR
Sun Sep 07 19:30:40 PDT 2014 --  Did I finish my homework yet? pic.twitter.com/Li9jnY9Dva
Sat Aug 30 19:27:56 PDT 2014 --  Wish ppl would support our players and not talk down on them...we all have our bad plays at time...but we always bounce back
Wed Aug 27 18:20:31 PDT 2014 --  We have a confirmation that @mabrycrane does indeed lift weights. pic.twitter.com/IsUoDtRDZr
Sat Aug 23 08:09:04 PDT 2014 --  “I think this Oregon team is slightly overrated,” - @DesmondHoward
Wed Aug 13 17:11:09 PDT 2014 --  Homework on the first day of school pic.twitter.com/S39RNOLGEK
Thu Aug 07 10:16:53 PDT 2014 --  THIS JUST IN: NCAA approves reforms that will give Power Five conferences ability to write their own rules.
Fri Aug 01 17:02:10 PDT 2014 --  Auburn's QB Nick Marshall will not start Week 1 vs Arkansas. http://es.pn/1tEtaVU 
Wed Jul 30 19:00:30 PDT 2014 --  Followers to RETWEET can win a Derek Jeter bat. #MLBFC pic.twitter.com/PFWM3fj0gs
Wed Jul 30 05:23:06 PDT 2014 --  ICYMI: Poker player Connor Drinan had pocket aces w/ $1 million on the line. Then a bad beat for the ages happened. http://es.pn/1rNJfrw 
Tue Jul 22 05:35:54 PDT 2014 --  ICYMI: Dustin Pedroia helps 12-year-old Jace hit one over the Green Monster in our latest #MyWish. http://es.pn/1o2V9ev 
Fri Jul 18 14:35:13 PDT 2014 --  One of the best Vines of all time http://vine.co/v/MbFQDBAFDbb 
