Fri Mar 27 14:03:54 PDT 2015 --  Best career day ever! #sycamorecareerday pic.twitter.com/tWQM5rAvgb
Sun Dec 15 09:06:33 PST 2013 --  #WASvsATL pic.twitter.com/ZheWnjOSiz
Sun Dec 15 09:05:08 PST 2013 --  #WASvsATL pic.twitter.com/RFrbZr1Fut
Sat Sep 21 06:33:55 PDT 2013 --  #GameDay pic.twitter.com/9qVnSKpstO
Sat May 25 08:04:05 PDT 2013 --  Gr8 time at @SteveO show last night! This guy is the real deal! Check him out at The Punchline! Heeeelarious!!!!!!!! pic.twitter.com/n9tH49xfD9
Fri May 24 18:09:34 PDT 2013 --  Heading to The Punch Line. My boy @SteveO hooked me up with some tickets! Hells yeah!
Fri May 24 05:19:56 PDT 2013 --  Listenin to @SteveO on 92.9 the game! Heelarious!!!!! Welcome to the "A"!!!!
Sat May 14 21:42:48 PDT 2011 --  @gracias28 Ojala que el resto de tu camino te regale tanta felicida como tu nos la regalaste a notsotros. Eres idolo de idolos. Gracias!
Sat Jul 11 11:49:17 PDT 2009 --  Damnations! I wanted to get into Ochocinco's fantasy league!
Sat Apr 11 07:26:21 PDT 2009 --  The bad news, the Braves bullpen looks the same as last year's. The good news, I just saved a bunch of money by switching to Geico!
Thu Apr 09 07:57:08 PDT 2009 --  About to hit the links! 1:30 tee time. Let's see if I can make the cut!
Wed Apr 08 17:28:00 PDT 2009 --  I'm still waiting for my P90x from one B90X!
Tue Apr 07 17:32:10 PDT 2009 --  Trying to figure out how to work this damn thing!
