Sun Aug 16 11:40:59 PDT 2015 --  I'm the only NWA that has not seen NWA lol #NWA
Fri Aug 14 06:20:03 PDT 2015 --  Barber rewards children who read to him with free haircuts http://bit.ly/1DRl02T 
Thu Aug 13 21:57:59 PDT 2015 --  You can call me selfish, self-centred or conceited but at the end of day im the only one who's going to look out for myself 🏽
Thu Aug 13 06:34:54 PDT 2015 --  I need to learn this, I have been so mean https://twitter.com/PoemsxPorn/status/631331634285973504 …
Mon Aug 10 14:26:45 PDT 2015 --  When your dog wants to take a selfie http://vine.co/v/ew2ZmAOVHhg 
Sun Aug 09 16:01:39 PDT 2015 --  So true https://twitter.com/FIirtations/status/583809422146859008 …
Thu Jun 11 21:36:55 PDT 2015 --  “Tell me every terrible thing you ever did, and let me love you anyway.”
Thu Aug 06 18:57:23 PDT 2015 --  http://www.whio.com/news/news/crime-law/west-carrollton-police-investigating-slashing/nnFDX/ … WCarrollton officers investigating slashing of a teen...
Thu Aug 06 19:40:13 PDT 2015 --  A #Cancer could be very funny, very quiet, and suddenly very sad.
Tue Aug 04 10:41:46 PDT 2015 --  pic.twitter.com/7BF8PcdpUS
Tue Aug 04 13:45:05 PDT 2015 --  #Cancer woman love being protected by a strong male.
Sat Jul 25 16:00:47 PDT 2015 --  Isn't it ironic?; We ignore the ones who adore us, adore the ones who ignore us, love the ones who hurt us, and hurt the ones who love us.
Thu Jul 30 17:33:54 PDT 2015 --  I was blessed 15 years and 8 hours ago to give birth to one of the most talented, smart, sweet,… https://instagram.com/p/5x9LtFBTXO/ 
Wed Jul 22 23:50:20 PDT 2015 --  do u ever just see the first sentence of a text message and just think “oh fuck no i do not have time for this shit”
Wed Jul 22 23:15:33 PDT 2015 --  Express your feelings for #Cancer frequently..
Tue Jul 21 20:39:40 PDT 2015 --  So true!! https://twitter.com/CancerTerms/status/623639231970185216 …
Mon Jul 20 22:22:56 PDT 2015 --  I think I need to be famous... How many women can have 6 sons still look 25 and be a size 25.... #needtobefamous
Mon Jul 20 22:17:11 PDT 2015 --  Rs https://twitter.com/Forbes/status/621458221270757376 …
