Wed Feb 11 11:42:17 PST 2015 --  RT when you get it https://vine.co/v/OU11TLvBVlm 
Mon Feb 02 17:53:20 PST 2015 --  A sleeper QB prospect to keep an eye on: QB Jerry Lovelocke, Prairie View A&M. His name has been buzzing in scouting circles #NFLDraft
Sat Jan 03 15:47:30 PST 2015 --  NFL football is so WEAK!!!!!
Thu Jan 01 21:45:28 PST 2015 --  It's crazy to think that we just started having College Playoffs! Expand it to 8!!
Thu Jan 01 21:47:13 PST 2015 --  O H I O S T A T E= football team....
Thu Jan 01 13:33:55 PST 2015 --  Man, this hit. https://vine.co/v/OwVV1BYdwhV 
Thu Jan 01 13:33:24 PST 2015 --  That block though.... #headinaswivel... #baylormichst.
Sat Dec 20 16:21:54 PST 2014 --  Texas Southern pulls off the UPSET in East Lansing as the Tigers oust No. 25 Michigan State 71-64 in OT! pic.twitter.com/8B8JWhQ7NY
Sun Dec 07 14:09:47 PST 2014 --  PVAMU prevails 61-56! First-ever win over Houston in 16 tries! #SWACwbb
Thu Oct 09 20:03:25 PDT 2014 --  Play #FindersKeepers. You could win a freakin' house from Trulia. Remember, prize is awarded in form of $350K check. http://on.trulia.com/ZseFIs 
Thu Aug 07 17:30:14 PDT 2014 --  #NFLFact: Of 66,313 college football players, only 300 will make an NFL roster. Finish your eligibility & education whenever possible.
Fri Jul 11 11:58:39 PDT 2014 --  See how good of a coach Eric spolestra is now
Wed Jul 09 12:33:05 PDT 2014 --  Knicks fans vs. Heat Fans! #LeBron #Melo pic.twitter.com/1kt3t3Ld09
Tue Jun 24 18:07:26 PDT 2014 --  This is quite possibly the single most amazing moment in the history of the Fan Cam -- https://vine.co/v/MtZ2xhIjDPe 
Fri Apr 25 22:10:16 PDT 2014 --  Mavericks will beat Spurs, and it won’t be an upset http://www.star-telegram.com/2014/04/25/5767884/mavericks-will-beat-spurs-and.html …
Sat Apr 19 10:27:58 PDT 2014 --  So where do you think this man will wind up? http://instagram.com/p/m-tA5jFOVk/ 
Tue Apr 01 11:24:41 PDT 2014 --  " @Newsday: Making Long Island proud: HS senior Kwasi Enin gets into all 8 Ivy League schools http://bit.ly/1mGq14g  pic.twitter.com/7n1nsR2LPI"
Sat Feb 15 16:05:59 PST 2014 --  Come on Florida!!!!
Sat Dec 21 14:45:16 PST 2013 --  YEEHAW RT @DamonSayles: For all you nonTexans out there, this is what #txhsfb playoff action looks like. pic.twitter.com/eNPzEfRi3N
