Fri Aug 21 05:25:09 PDT 2015 --  Ang hirap sa ibang tao, parating nagmamadali. Kaya ayun, nagkakamali.
Fri Aug 21 04:53:32 PDT 2015 --  Mga bagay na madaling sabihin pero ang hirap gawin: 1. DIET 2. IPON 3. MOVE ON
Fri Aug 21 04:57:39 PDT 2015 --  A wild exo appear…… geez kids please #EXOgif pic.twitter.com/mvhWjvbqWy
Fri Aug 21 05:07:00 PDT 2015 --  "Smile is the best revenge."
Wed Aug 19 00:25:58 PDT 2015 --  SORRY. Ginagamit kapag nakagawa ng mali na 'di dapat inuulit. 'Di tulad sa'yo na paulit-ulit na nagsosorry, paulit-ulit na gumagawa ng mali.
Wed Aug 19 06:05:22 PDT 2015 --  MUSIC is not all about MELODIES, sometimes, its all about MEMORIES..
Wed Aug 19 05:18:55 PDT 2015 --  If Loving you is that means to me When being happy is all I hope you'd be Then loving you must mean I really have to set you free...
Wed Aug 19 05:02:22 PDT 2015 --  Pag sa lugar: FIELDTRIP Pag sa pagkain: FOODTRIP Pag sa tawanan: LAUGHTRIP Pag sa mukha mo!: BADTRIP!
Wed Aug 19 05:10:39 PDT 2015 --  KABATAAN NGAYON: PABEBE sa social media PABOBO sa school PABABA yung grades Ang ending PADEDE ng bata.
Tue Aug 18 05:04:01 PDT 2015 --  Please don't act like it's a bad thing to fall in love with me.
Tue Aug 18 02:25:02 PDT 2015 --  Yung ang sarap sa pakiramdam na may sumasabay sa kabaliwan mo.
Sun Aug 16 04:23:29 PDT 2015 --  Hindi naman importante ang salitang I LOVE YOU. Ang importante ay IKAW.....Eh paano ko ba sasabihin yan kung wala ka?
Sun Aug 16 04:20:57 PDT 2015 --  MAGLARO tayo kahit ano, huwag lang TAGUAN Kasi ayokong MAWALA ka sa paningin ko :)
Sat Aug 15 01:45:43 PDT 2015 --  "IGNITE YOUR FEELz" - @siwon407
Sat Aug 15 01:39:47 PDT 2015 --  Turn Up the Music #MONSTA_X @MnetMcountdown
Sat Aug 15 01:24:45 PDT 2015 --  #beastmode
Sat Aug 15 01:23:07 PDT 2015 --  #getwellsoonkyungsoo <3
Fri Aug 14 07:36:03 PDT 2015 --  #FridayFeeling
Thu Aug 13 17:02:04 PDT 2015 --  "No one notices your TEARS" "No one notices your SADNESS" "No one notices your PAINS" But they all notice your MISTAKES
Thu Aug 13 16:52:05 PDT 2015 --  I'm loving someone who doesn't know that I'm existing :'(
Thu Aug 13 16:49:17 PDT 2015 --  I'm Still into You <3
Thu Aug 13 16:46:09 PDT 2015 --  Thank God it's Friday #tgif
