Fri Aug 28 09:44:11 PDT 2015 --  Having Lunch....Guess where. The Roasted Red Pepper and Pesto Bowl is pretty good...a bit spicy. YUM!!!! pic.twitter.com/hh91nRGgHo
Fri Aug 28 08:46:17 PDT 2015 --  Hey music nerds! Worldwide InstaMeet is set for Oct 3-4. Get all the details here https://instagram.com/p/67rE9svWmY/ 
Tue Aug 25 13:04:38 PDT 2015 --  I got a Top Member badge from Dunkin’ for earnin’ so many points in DD Perks. #DDPerksLove....I THINK I BUY TOO MUCH COFFEE!!!!
Tue Aug 25 13:04:01 PDT 2015 --  I got a Top Member badge from Dunkin’ for earnin’ so many points in DD Perks. #DDPerksLove
Thu Aug 13 05:23:02 PDT 2015 --  I have completed the quest 'Explore the Myst...' in the #Android game The Tribez. http://gigam.es/imtw_Tribez  #androidgames, #gameinsight
Thu Aug 13 05:22:53 PDT 2015 --  I've harvested 168 of food! http://gigam.es/imtw_Tribez  #android, #androidgames, #gameinsight
Thu Aug 13 05:22:53 PDT 2015 --  I've collected 4,644 gold coins! http://gigam.es/imtw_Tribez  #android, #androidgames, #gameinsight
Wed Aug 12 08:33:07 PDT 2015 --  I've collected 10,008 gold coins! http://gigam.es/imtw_Tribez  #android, #androidgames, #gameinsight
Wed Aug 12 08:29:50 PDT 2015 --  I've harvested 1,121 of food! http://gigam.es/imtw_Tribez  #android, #androidgames, #gameinsight
Wed Aug 12 08:29:19 PDT 2015 --  I've collected 12,860 gold coins! http://gigam.es/imtw_Tribez  #android, #androidgames, #gameinsight
Wed Aug 12 08:26:14 PDT 2015 --  I've harvested 1,205 of food! http://gigam.es/imtw_Tribez  #android, #androidgames, #gameinsight
Wed Aug 12 06:55:20 PDT 2015 --  First batch out of the oven...white chocolate macadamia nut...yum pic.twitter.com/mdstQcosmS
Wed Aug 12 06:51:46 PDT 2015 --  We are baking cookies for our yard sale on Saturday...mmmm pic.twitter.com/xkYdvho9wf
Wed Aug 12 04:12:58 PDT 2015 --  I've harvested 683 of food! http://gigam.es/imtw_Tribez  #android, #androidgames, #gameinsight
Wed Aug 12 04:11:53 PDT 2015 --  I have discovered a new territory in The Tribez! http://gigam.es/imtw_Tribez  #android, #androidgames, #gameinsight
Wed Aug 12 04:03:56 PDT 2015 --  I've collected 28,830 gold coins! http://gigam.es/imtw_Tribez  #android, #androidgames, #gameinsight
Wed Aug 12 04:03:46 PDT 2015 --  I've harvested 310 of food! http://gigam.es/imtw_Tribez  #android, #androidgames, #gameinsight
Wed Aug 12 04:03:41 PDT 2015 --  I've collected 8,234 gold coins! http://gigam.es/imtw_Tribez  #android, #androidgames, #gameinsight
Tue Aug 11 18:13:07 PDT 2015 --  I've collected 10,758 gold coins! http://gigam.es/imtw_Tribez  #android, #androidgames, #gameinsight
Tue Aug 11 18:09:10 PDT 2015 --  I've harvested 2,648 of food! http://gigam.es/imtw_Tribez  #android, #androidgames, #gameinsight
Tue Aug 11 16:29:44 PDT 2015 --  I have Cafeteria on my island! Now my island is even more awesome! http://gigam.es/imtw_Tribez  #android, #androidgames, #gameinsight
Tue Aug 11 16:26:38 PDT 2015 --  I've harvested 1,050 of food! http://gigam.es/imtw_Tribez  #android, #androidgames, #gameinsight
Tue Aug 11 16:19:35 PDT 2015 --  I've collected 13,117 gold coins! http://gigam.es/imtw_Tribez  #android, #androidgames, #gameinsight
Tue Aug 11 16:18:26 PDT 2015 --  I've collected 11,967 gold coins! http://gigam.es/imtw_Tribez  #android, #androidgames, #gameinsight
Tue Aug 11 16:14:05 PDT 2015 --  I've harvested 549 of food! http://gigam.es/imtw_Tribez  #android, #androidgames, #gameinsight
Tue Aug 11 16:14:04 PDT 2015 --  I've collected 5,036 gold coins! http://gigam.es/imtw_Tribez  #android, #androidgames, #gameinsight
Tue Aug 11 16:14:00 PDT 2015 --  I have discovered a new territory in The Tribez! http://gigam.es/imtw_Tribez  #android, #androidgames, #gameinsight
Tue Aug 11 16:13:58 PDT 2015 --  I have Dino`s Lair on my island! Now my island is even more awesome! http://gigam.es/imtw_Tribez  #android, #androidgames, #gameinsight
Tue Aug 11 15:45:10 PDT 2015 --  https://instagram.com/jensenackles/I  love this guy.....yay.
Tue Aug 11 10:44:10 PDT 2015 --  I have Quarry on my island! Now my island is even more awesome! http://gigam.es/imtw_Tribez  #android, #androidgames, #gameinsight
Tue Aug 11 10:43:10 PDT 2015 --  I've collected 10,860 gold coins! http://gigam.es/imtw_Tribez  #android, #androidgames, #gameinsight
Mon Aug 10 13:15:53 PDT 2015 --  I've collected 2,308 gold coins! http://gigam.es/imtw_Tribez  #android, #androidgames, #gameinsight
Mon Aug 10 13:14:20 PDT 2015 --  I've harvested 756 of food! http://gigam.es/imtw_Tribez  #android, #androidgames, #gameinsight
Mon Aug 10 13:14:19 PDT 2015 --  I've collected 388 gold coins! http://gigam.es/imtw_Tribez  #android, #androidgames, #gameinsight
Mon Aug 10 11:01:29 PDT 2015 --  I've collected 11,565 gold coins! http://gigam.es/imtw_Tribez  #android, #androidgames, #gameinsight
Mon Aug 10 10:57:50 PDT 2015 --  I've collected 12,067 gold coins! http://gigam.es/imtw_Tribez  #android, #androidgames, #gameinsight
Mon Aug 10 09:30:39 PDT 2015 --  I've harvested 1,103 of food! http://gigam.es/imtw_Tribez  #android, #androidgames, #gameinsight
Mon Aug 10 09:28:55 PDT 2015 --  I've collected 12,371 gold coins! http://gigam.es/imtw_Tribez  #android, #androidgames, #gameinsight
Mon Aug 10 07:25:18 PDT 2015 --  I've collected 10,474 gold coins! http://gigam.es/imtw_Tribez  #android, #androidgames, #gameinsight
Mon Aug 10 07:23:12 PDT 2015 --  I've harvested 1,216 of food! http://gigam.es/imtw_Tribez  #android, #androidgames, #gameinsight
Mon Aug 10 06:15:32 PDT 2015 --  I've harvested 1,303 of food! http://gigam.es/imtw_Tribez  #android, #androidgames, #gameinsight
Mon Aug 10 06:15:03 PDT 2015 --  I have House on my island! Now my island is even more awesome! http://gigam.es/imtw_Tribez  #android, #androidgames, #gameinsight
Mon Aug 10 06:13:27 PDT 2015 --  I've harvested 546 of food! http://gigam.es/imtw_Tribez  #android, #androidgames, #gameinsight
Mon Aug 10 06:13:27 PDT 2015 --  I've collected 5,743 gold coins! http://gigam.es/imtw_Tribez  #android, #androidgames, #gameinsight
Mon Aug 10 04:15:18 PDT 2015 --  I've harvested 1,043 of food! http://gigam.es/imtw_Tribez  #android, #androidgames, #gameinsight
Mon Aug 10 04:07:01 PDT 2015 --  I've collected 11,745 gold coins! http://gigam.es/imtw_Tribez  #android, #androidgames, #gameinsight
Mon Aug 10 04:06:26 PDT 2015 --  I've collected 12,961 gold coins! http://gigam.es/imtw_Tribez  #android, #androidgames, #gameinsight
Mon Aug 10 04:05:06 PDT 2015 --  I've harvested 1,024 of food! http://gigam.es/imtw_Tribez  #android, #androidgames, #gameinsight
Sun Aug 09 19:25:09 PDT 2015 --  I've collected 16,357 gold coins! http://gigam.es/imtw_Tribez  #android, #androidgames, #gameinsight
Sun Aug 09 19:25:08 PDT 2015 --  I have Cozy House on my island! Now my island is even more awesome! http://gigam.es/imtw_Tribez  #android, #androidgames, #gameinsight
Sun Aug 09 19:22:39 PDT 2015 --  I've harvested 1,026 of food! http://gigam.es/imtw_Tribez  #android, #androidgames, #gameinsight
Sun Aug 09 19:22:12 PDT 2015 --  I've collected 10,239 gold coins! http://gigam.es/imtw_Tribez  #android, #androidgames, #gameinsight
Sun Aug 09 19:21:04 PDT 2015 --  I've collected 11,241 gold coins! http://gigam.es/imtw_Tribez  #android, #androidgames, #gameinsight
Sun Aug 09 15:30:08 PDT 2015 --  I've harvested 1,113 of food! http://gigam.es/imtw_Tribez  #android, #androidgames, #gameinsight
Sun Aug 09 15:28:16 PDT 2015 --  I have Bathhouse on my island! Now my island is even more awesome! http://gigam.es/imtw_Tribez  #android, #androidgames, #gameinsight
Sun Aug 09 13:24:31 PDT 2015 --  I've harvested 2,377 of food! http://gigam.es/imtw_Tribez  #android, #androidgames, #gameinsight
Sun Aug 09 04:42:18 PDT 2015 --  I've collected 12,749 gold coins! http://gigam.es/imtw_Tribez  #android, #androidgames, #gameinsight
Sun Aug 09 04:41:55 PDT 2015 --  I've harvested 1,075 of food! http://gigam.es/imtw_Tribez  #android, #androidgames, #gameinsight
Sun Aug 09 04:41:40 PDT 2015 --  I've collected 14,805 gold coins! http://gigam.es/imtw_Tribez  #android, #androidgames, #gameinsight
Sun Aug 09 04:40:52 PDT 2015 --  I've collected 10,072 gold coins! http://gigam.es/imtw_Tribez  #android, #androidgames, #gameinsight
Sat Aug 08 20:00:46 PDT 2015 --  I've harvested 1,080 of food! http://gigam.es/imtw_Tribez  #android, #androidgames, #gameinsight
Sat Aug 08 19:59:22 PDT 2015 --  I have Turkey Farm on my island! Now my island is even more awesome! http://gigam.es/imtw_Tribez  #android, #androidgames, #gameinsight
Sat Aug 08 19:58:02 PDT 2015 --  I have Forester`s Hut on my island! Now my island is even more awesome! http://gigam.es/imtw_Tribez  #android, #androidgames, #gameinsight
Sat Aug 08 19:56:02 PDT 2015 --  I've harvested 1,340 of food! http://gigam.es/imtw_Tribez  #android, #androidgames, #gameinsight
Sat Aug 08 19:46:01 PDT 2015 --  I've harvested 1,043 of food! http://gigam.es/imtw_Tribez  #android, #androidgames, #gameinsight
Sat Aug 08 19:44:49 PDT 2015 --  I have discovered a new territory in The Tribez! http://gigam.es/imtw_Tribez  #android, #androidgames, #gameinsight
Sat Aug 08 19:42:08 PDT 2015 --  I have Hut on my island! Now my island is even more awesome! http://gigam.es/imtw_Tribez  #android, #androidgames, #gameinsight
Sat Aug 08 19:41:56 PDT 2015 --  I have Cauldron on my island! Now my island is even more awesome! http://gigam.es/imtw_Tribez  #android, #androidgames, #gameinsight
Sat Aug 08 19:36:05 PDT 2015 --  I have Pig Farm on my island! Now my island is even more awesome! http://gigam.es/imtw_Tribez  #android, #androidgames, #gameinsight
Sat Aug 08 19:32:53 PDT 2015 --  I've collected 11,650 gold coins! http://gigam.es/imtw_Tribez  #android, #androidgames, #gameinsight
Sat Aug 08 19:31:46 PDT 2015 --  I've collected 6,210 gold coins! http://gigam.es/imtw_Tribez  #android, #androidgames, #gameinsight
Sat Aug 08 19:31:46 PDT 2015 --  I've harvested 2,492 of food! http://gigam.es/imtw_Tribez  #android, #androidgames, #gameinsight
Sat Aug 08 16:07:18 PDT 2015 --  I've collected 10,064 gold coins! http://gigam.es/imtw_Tribez  #android, #androidgames, #gameinsight
Sat Aug 08 16:05:08 PDT 2015 --  I've collected 3,901 gold coins! http://gigam.es/imtw_Tribez  #android, #androidgames, #gameinsight
Sat Aug 08 16:05:08 PDT 2015 --  I've harvested 978 of food! http://gigam.es/imtw_Tribez  #android, #androidgames, #gameinsight
