Sun Apr 26 17:44:45 PDT 2015 --  I just leveled up in @8ballpool. Think you can beat me? Let's play! http://8bp.co/O9A3DX 
Sun Apr 26 17:44:11 PDT 2015 --  I just reached the landmark of 1 000 coins in @8ballpool! That's how good I am. Think you can beat me? http://8bp.co/O9A3DX 
Sat Jul 26 10:35:55 PDT 2014 --  I just moved up to level 37 in #CSRRacing for Android! You should check it out for FREE! http://nmgam.es/crgt 
Fri Jul 25 19:35:08 PDT 2014 --  I just moved up to level 36 in #CSRRacing for Android! You should check it out for FREE! http://nmgam.es/crgt 
Fri Jul 25 15:10:43 PDT 2014 --  I just moved up to level 35 in #CSRRacing for Android! You should check it out for FREE! http://nmgam.es/crgt 
Wed Jul 23 19:21:51 PDT 2014 --  I just moved up to level 32 in #CSRRacing for Android! You should check it out for FREE! http://nmgam.es/crgt 
Wed Jul 23 13:46:13 PDT 2014 --  I just moved up to level 31 in #CSRRacing for Android! You should check it out for FREE! http://nmgam.es/crgt 
Tue Jul 22 16:04:36 PDT 2014 --  I just moved up to level 30 in #CSRRacing for Android! You should check it out for FREE! http://nmgam.es/crgt 
Mon Jul 21 04:33:03 PDT 2014 --  I just moved up to level 28 in #CSRRacing for Android! You should check it out for FREE! http://nmgam.es/crgt 
Sun Jul 20 15:42:59 PDT 2014 --  I just moved up to level 27 in #CSRRacing for Android! You should check it out for FREE! http://nmgam.es/crgt 
Sun Jul 20 09:08:53 PDT 2014 --  I just moved up to level 26 in #CSRRacing for Android! You should check it out for FREE! http://nmgam.es/crgt 
Sat Jul 19 09:31:41 PDT 2014 --  Having fun playing #CSRRacing for Android, why not join me for FREE? http://nmgam.es/crgt 
Fri Jul 18 19:47:07 PDT 2014 --  I just moved up to level 22 in #CSRRacing for Android! You should check it out for FREE! http://nmgam.es/crgt 
Fri Jul 18 17:10:47 PDT 2014 --  I just moved up to level 21 in #CSRRacing for Android! You should check it out for FREE! http://nmgam.es/crgt 
Fri Jul 18 16:31:45 PDT 2014 --  I just moved up to level 20 in #CSRRacing for Android! You should check it out for FREE! http://nmgam.es/crgt 
