Fri Aug 28 10:10:10 PDT 2015 --  "GOD GAVE ME YOU" Sana magkita na bukas!!! #ALDUBMaiDenHeaven
Thu Aug 27 20:06:52 PDT 2015 --  Sna s saturday n tlga ang tmang panahon #ALDUBGettingCLOSER. Looking 4ward na 4 thr tv guestings& movies.
Thu Aug 27 09:42:14 PDT 2015 --  yung hnd n mkaconcentrate s office work bcoz of ALDUB Hayy..google p more.. #ALDUBGettingCLOSER NYTMORNING..Godbless
Thu Aug 27 09:32:28 PDT 2015 --  work p 2morow,KILigmuch kahit nsa ofice. GOOGLE thnx.. #ALDUBGettingCLOSER Nytmorning..
Tue Aug 25 20:31:35 PDT 2015 --  Take a little time baby, See the butterflies color. #ALDUBAngLihimNiLOLA
Mon Aug 24 05:41:23 PDT 2015 --  trafic sagad-bocaue exit #ALDUBTULOYANGFOREVER God Bless Always.. https://twitter.com/mainedcm/status/635503908123623424 …
Sun Aug 23 00:08:12 PDT 2015 --  SUper WOW,,NICE. #ALDUB 4ever. God Bless Always #ALDUB fanatic. https://twitter.com/thineo24/status/635342001093738497 …
Fri Aug 21 18:21:08 PDT 2015 --  2:30 ang taning sa buhay ni Lola, Kasalang YaKie mamaya.. Pano na nga ba ang forever? #AlDubPaRin #ALDUBAgainstALLODDS #NoToYaKieWedding
Fri Aug 21 07:28:32 PDT 2015 --  PLZ,,, @sam_yg.. 2lungan mu c Bae @aldenrichards02 na hnd ma2loy ang ksal 4 2morw... https://twitter.com/BaeBaeAlden/status/634730590625886208 …
Fri Aug 21 03:12:00 PDT 2015 --  Wer crying knina(my baby & I). Bae Alden,gwa ka ng paraan 2morw Yaya wag kang mag "I do" hangang 2:30. https://twitter.com/EatBulaga/status/634603164654637056 …
Thu Aug 20 18:08:13 PDT 2015 --  yes......holiday...mkpanood dn s tv,nt s google... #ALDUB 4ever..
