Fri Aug 28 21:00:09 PDT 2015 --  Food vs Women w/ @ToyBoxDollz (Vine by @CLop3z) https://vine.co/v/ejETlUPjp9m 
Fri Aug 28 20:59:25 PDT 2015 --  FOLLOW & FAVORITE Think you can dance?, Think you can dance?, Think you can dance? (Vine by DANCE<3) https://vine.co/v/eImhExLugL6 
Fri Aug 28 20:59:08 PDT 2015 --  FOLLOW & FAVORITE Think you can dance?, Think you can dance?, Think you can dance? (Vine by DANCE<3) https://vine.co/v/eImM15KhIYK 
Tue Aug 25 20:00:31 PDT 2015 --  (Vine by @xLouisGiordanox) https://vine.co/v/ejrUHltaXVU 
Tue Aug 25 20:00:17 PDT 2015 --  It seems like as soon as you get into a relationship, everyone wants you #THROWBACK (Vine by @KyleExum) https://vine.co/v/ejnV3hJiAvg 
Tue Aug 25 19:59:59 PDT 2015 --  "It's not the size of the dog in the fight, it's the size of the fight in the do... (Vine by @davidlopezfilms) https://vine.co/v/ejqie15lqt0 
Tue Aug 25 19:59:41 PDT 2015 --  Taught my mom to Whip it like this (Vine by @Thesupercole) https://vine.co/v/ejvxLq7T7en 
Tue Aug 25 19:59:18 PDT 2015 --  Batman-Dropkillers (Vine by @DopeSongsVins) https://vine.co/v/ej67HKZpOvO 
Tue Aug 25 19:58:52 PDT 2015 --  When your ex creepily appears in public... (Vine by Miranda Sings!) https://vine.co/v/ej6iqEtz1WV 
Tue Aug 25 19:58:39 PDT 2015 --  parents (Vine by @meechonmars) https://vine.co/v/ejn9ViZn2U5 
Tue Aug 25 19:58:26 PDT 2015 --  130k Friday and we'll do a huge prank just for you guys! #iowaboys (Vine by @yoeferrell) https://vine.co/v/ej6XFw6aEBB 
Tue Aug 25 19:58:13 PDT 2015 --  Nailed it!!!! #Twerk (Vine by @BobayConner) https://vine.co/v/h3V5n7AabbO 
Tue Aug 25 12:30:18 PDT 2015 --  Check out Young Rich Niggas on Spinrilla. http://spnr.la/xQUIC62p  Migos get it now its hot
Tue Aug 25 08:02:37 PDT 2015 --  I'm on Instagram as @dj_the_rich. Install the app to follow my photos and videos. http://instagram.com/download/?r=2076663775 …
Sun Aug 23 15:03:12 PDT 2015 --  Everybody after watching Straight Outta Compton. w/ @anwar, @MAXJR617, @TaylorCutFil... (Vine by @KingBach) https://vine.co/v/epIgpVliJ3a 
Sun Aug 23 15:03:02 PDT 2015 --  Everyone loves receiving back rubs ... But not giving them. w/ @KingBach (Vine by @AmandaCerny) https://vine.co/v/eDXri07A06M 
Sun Aug 23 14:53:45 PDT 2015 --  Can't do this..on concrete -----~ @RicksParking -----~ Funny Old People🏽 (Vine by Funny Old People) https://vine.co/v/eDljqbm9wMv 
Sun Aug 23 14:48:52 PDT 2015 --  Go hit the at the top right corner of @MrJayMendoza profile. His videos are so fu... (Vine by Kid Towns) https://vine.co/v/eDLlHm1KdWK 
Sun Aug 23 14:46:12 PDT 2015 --  Go hit the at the top right corner of @MrJayMendoza profile. His videos are so fu... (Vine by Kid Towns) https://vine.co/v/eDLlel0FmKE 
Sun Aug 23 14:45:57 PDT 2015 --  (Vine by Rajiv Dhall) https://vine.co/v/eDLetz0tpra 
Sun Aug 23 14:45:32 PDT 2015 --  It got cut a little short Would this be enough to get me to app gods? P... (Vine by Blazing™) https://vine.co/v/eDFm1OUI2ZZ 
Sun Aug 23 14:45:05 PDT 2015 --  Get 'FollowKing' 4 Free in the AppStore! -App.com (Vine by Kskdk) https://vine.co/v/eDlX1hjvKei 
Sun Aug 23 14:44:54 PDT 2015 --  Girls be like... (Vine by Marshall Cook) https://vine.co/v/eDlHVBJ2KYD 
Sun Aug 23 14:44:41 PDT 2015 --  How tf she know (I need a haircut I'm looking like Caesar from planet of the apes) #... (Vine by Willie Wills) https://vine.co/v/eDlg5rrv2g0 
Sun Aug 23 14:41:48 PDT 2015 --  Squad Goals vine by DiegoZ ! Follow him for more fun vines! DiegoZ (Vine by Crazy Thing) https://vine.co/v/eD3IxJIuiid 
Sat Aug 22 20:12:14 PDT 2015 --  Following fans who follow @RealVineBeats for the rest of the night! (Vine by @ryanconnorsvine) https://vine.co/v/eD2ajHnT1Qi 
Sat Aug 22 20:09:28 PDT 2015 --  Me on the first day of school #iowaboys @yoeferrell (Vine by @yoeferrell) https://vine.co/v/eD7BYEQDQ7r 
Sat Aug 22 20:07:02 PDT 2015 --  Hey! I'm on #Kik - my username is 'RichIsDj' http://kik.me/RichIsDj  pic.twitter.com/MS4oNjiddZ
Sat Aug 22 17:39:27 PDT 2015 --  . @TheNickkHall #OG #Bobby #Johnson @HCarroll_21 (Vine by @The_BenWilliams) https://vine.co/v/OqwTdmU3lEp 
Sat Aug 22 17:39:09 PDT 2015 --  Thug goes to magic camp #ThugLife #PIMP #OG (Vine by @UnexpectedThug) https://vine.co/v/O6gDzqzBDtQ 
Sat Aug 22 17:38:47 PDT 2015 --  #jeremy #pargo (Vine by Doug Jerky) https://vine.co/v/hOWbmd09mPW 
Sat Aug 22 17:36:00 PDT 2015 --  Hello, mommy? #90sMemories #HeyArnold (Vine by 90's Memories) https://vine.co/v/eDx5ZW72Iz1 
Sat Aug 22 14:48:24 PDT 2015 --  I've been using @Panel_App. It's super easy to earn gift cards and cash. Check it out: http://www.placed.com/panel/panels/42737d46ebf3/signup?rid=1771f463a7ae … good app
Sat Aug 22 11:41:12 PDT 2015 --  Superficial love pt 4 (ps I've finished writing the whole song ) (Vine by @itsruthb) https://vine.co/v/evt5LZ0Aq9M 
Sat Aug 22 11:40:48 PDT 2015 --  I'm following everyone that follows me and Revines this (Vine by @CDjdiud) https://vine.co/v/eDFlmiZiv2r 
Sat Aug 22 11:40:39 PDT 2015 --  I'm following everyone that follows me and Revines this (Vine by @cumzilla) https://vine.co/v/eDFlOzYJY90 
Sat Aug 22 11:40:29 PDT 2015 --  . @MattyDvines 🏼🏼🏼🏼🏼 @MattyDvines snap:mattyd4095 IG:matty_d_vine (Vine by Mercy Mercy 1) https://vine.co/v/eD6IanA6B5n 
Sat Aug 22 11:40:13 PDT 2015 --  Hey Spongebob! (Vine by VIRAL VINES!) https://vine.co/v/eDFlpzvmeLQ 
Sat Aug 22 11:38:20 PDT 2015 --  Facing Bullies+Haters? @JohnBasedow helps u deal w them. #goodmorning #relatable (Vine by Life Lessons) https://vine.co/v/eDFgPZEqXp1 
Sat Aug 22 11:37:42 PDT 2015 --  GO FOLLOW @bendailylife get him to 400k! (Vine by @nashvineaccount) https://vine.co/v/eDUBQw20PB6 
Sat Aug 22 11:36:52 PDT 2015 --  Following EVERYONE Who Presses the Star On the Top right of my profile to Subscribe ... (Vine by @oJoshay) https://vine.co/v/eDtpbrDtrxQ 
Sat Aug 22 11:36:34 PDT 2015 --  He just wanted to be in the water #BRUH (Vine by @hshaisso) https://vine.co/v/eDUWl0UH3VE 
Sat Aug 22 11:36:14 PDT 2015 --  Following everyone who follows me and @hshaisso (Vine by @RyansSidney) https://vine.co/v/eDUaAl0Yiip 
Sat Aug 22 11:36:04 PDT 2015 --  Amphibious human-turtle creature ----- #EpicFail ---~ CRAZY CARTOONS -----~ @Trill... (Vine by @epicfail_vine) https://vine.co/v/eDFTMXiEuth 
Sat Aug 22 11:35:17 PDT 2015 --  Everyone meet Pingo (Vine by DiegoZ) https://vine.co/v/O0gKAiLTIue 
Sat Aug 22 11:35:04 PDT 2015 --  (Vine by Hood Vine) https://vine.co/v/eDUZZ36wAqB 
Sat Aug 22 11:34:46 PDT 2015 --  (Vine by @seegmester) https://vine.co/v/eDXAQPPPzZa 
Sat Aug 22 11:34:18 PDT 2015 --  When people flirt with my crush... #die (Vine by @nickpallauf) https://vine.co/v/eDUWwVV2FKP 
Sat Aug 22 11:34:01 PDT 2015 --  Shopping with your friends be like (Vine by @MinionsOfVine) https://vine.co/v/eDU7u0qJmbt 
Sat Aug 22 11:33:03 PDT 2015 --  Trick shot by florian kohler (Vine by Billiards Trick Shots) https://vine.co/v/eDUamEmWTdF 
Sat Aug 22 11:32:51 PDT 2015 --  This is how I avoid a phone call. (W/Jeremy Olenski & @ohdipitspat) (Vine by @IAmMikeSandora) https://vine.co/v/hlrK9KZxzY2 
Sat Aug 22 11:32:32 PDT 2015 --  Dude got rocked (Vine by @fansofvine) https://vine.co/v/eDU7eDePdIY 
Sat Aug 22 11:30:59 PDT 2015 --  Idk haha (Vine by @Troppmatt) https://vine.co/v/eDUuFYWnM6J 
Sat Aug 22 11:29:56 PDT 2015 --  Double Tap (Vine by @Breqdsticks) https://vine.co/v/eDTEOgEB51W 
Sat Aug 22 11:29:40 PDT 2015 --  Follow @shredwardk1!!! He's so funny! (Vine by hot viners) https://vine.co/v/eD6dX9nzgp5 
Sat Aug 22 01:14:14 PDT 2015 --  Goodnight Lebron. (Vine by World Star Comedy) https://vine.co/v/eDDwMqZO7jb 
Sat Aug 22 01:13:57 PDT 2015 --  When you accidentally wet your pants w/ @_LandonMoss, @MrLegenDarius, @oscar_guerra21 (Vine by @MrJayMendoza) https://vine.co/v/eDHEwH0xqJe 
Sat Aug 22 01:13:36 PDT 2015 --  Omg my little sister is soooooooooooo ugghhhhhh!!!!! MightyNeicy (Vine by @MightyDuck__) https://vine.co/v/egiVhtmMpUE 
Sat Aug 22 01:13:18 PDT 2015 --  Birdyònce -----~ @EpicRare -----~ @TrilllSports (Vine by @OhMyGoshMaggie1) https://vine.co/v/eDDjDrK7TiU 
Sat Aug 22 01:13:03 PDT 2015 --  YEET (Vine by @OddFutureViness) https://vine.co/v/eDDjKdB5VVA 
Sat Aug 22 01:12:44 PDT 2015 --  Fllw this guy @ElijahhClark and help him get to 500k. He has no hands and i... (Vine by @pubertyhit_s) https://vine.co/v/eDD1pZlvHaM 
Sat Aug 22 01:11:40 PDT 2015 --  When your ghostwriter doesn't show up to the studio with the bars for you to spit (Vine by Nicholas Fraser) https://vine.co/v/eDDLUxPtEtX 
Sat Aug 22 01:11:20 PDT 2015 --  The Reality Of Ordering At McDonalds (Vine by IamAce) https://vine.co/v/ep0ahE9Yr3Z 
Sat Aug 22 01:10:47 PDT 2015 --  Double-tap if you think this is REALLY nuts || #AdrenalineVibes || (Vine by @RozzaysTitties) https://vine.co/v/eDjO9rVzI9d 
Fri Aug 21 15:34:28 PDT 2015 --  I'm obsessed with @elyanax_ !!!!!!!!!!! Help @elyanax_ hit K (her,snap: elyanax0x) https://vine.co/v/eD1EXOMMpKI 
Fri Aug 21 15:00:51 PDT 2015 --  They don't like my church 🏻🏿 w/ @IamJayhayden, @thewebbeffect19, @Harold_Foxx, ... (Vine by @HappyJewTalian) https://vine.co/v/eDXEJztKp3m 
