Sun Aug 23 13:42:34 PDT 2015 --  1d are splitting up?! I thought they were on some kind of space odyssey?
Sun Aug 23 13:37:49 PDT 2015 --  Also looks like Busquets is out injured for a while already too? Not ideal for @FCBarcelona either!
Sun Aug 23 13:36:48 PDT 2015 --  Not an ideal first result for @realmadriden against Sporting Gijon. Benitez out already?! ;-)
Sat Aug 15 09:33:01 PDT 2015 --  Memorial to Spitfire pilot shot down over Bournemouth http://www.bbc.co.uk/news/uk-england-dorset-33933010 … pic.twitter.com/toRZxi1O9N
Wed Aug 12 23:33:05 PDT 2015 --  If your A level results aren't great, be cheered by the fact that I got a C and two Us. And I'm currently sitting in a villa in St Tropez.
Sat Aug 15 09:31:22 PDT 2015 --  On the other hand @LCFC absolutely flying! Fair play!
Sat Aug 15 04:01:25 PDT 2015 --  45 MINUTES TO GO Let @Stevo_football guide you through an action-packed day of #BPL football: http://bit.ly/BPLmatchday  pic.twitter.com/Y8emZmRq8r
Sat Aug 15 01:49:19 PDT 2015 --  GAME DAY! Retweet to show your support as we take on France at Twickenham tonight. C'mon England! #CarryThemHome pic.twitter.com/aVVAxtwJqR
Sat Aug 15 03:48:31 PDT 2015 --  Just about to do my first #SuperSix of the season. Wish me luck! @SoccerSaturday @SkyBet
Sun Jul 19 05:43:23 PDT 2015 --  “what’s your favorite position in bed?” near the wall so I can use my phone while it’s charging
Sun Apr 12 11:36:15 PDT 2015 --  I know this is a massive long shot, but I need help to fund a move to my own place. It's asking a lot but I guess if you don't ask?
