Sat Aug 29 04:56:03 PDT 2015 --  #RETWEET & #MENTION #NEWFOLLOWERS @NewtonKipla @dilnaman @nissyouki3 @namans95
Sat Aug 29 04:51:09 PDT 2015 --  Add me pic.twitter.com/XGAp4yIwLz
Fri Aug 28 20:57:12 PDT 2015 --  I'm on Instagram as @valencia____. Install the app to follow my photos and videos. http://instagram.com/download/?r=1933101899 …
Wed Aug 26 23:45:48 PDT 2015 --  Just got done playing black ops 3 the game is pretty good
Fri Aug 21 03:03:27 PDT 2015 --  #RETWEET #FOLLOW ALL THAT RETWEET #F4F #MGWV FOLLOW ☟ ☞ @M_FOneTT ( ͡° ͜ʖ ͡°) ☞(Ξ◕◡◕Ξ) @Trans1110 ☞٩꒰๑• ̫•๑꒱۶ @llMGWVll #Dollian
Tue Aug 04 05:50:43 PDT 2015 --  ＲＥＴＷＥＥＴ ＩＦ ＹＯＵ ＦＯＬＬＯＷＢＡＣＫ #ＭＧＷＶ ⇩ＴＨＥＹ⇩⇩ＤＯ⇩ @___MxGxWxVx___ @Sub4SubYess @MGWVAllDay @211Reserve_BSC @Kell143
Wed Aug 26 14:34:32 PDT 2015 --  ➊ #FOLLOWTRICK ➋ RETWEET ➌ FOLLOW ALL WHO RT ➍ #FOLLOWBACK ➎ GAIN WITH #MGWV ➏ #FOLLOW ☞ @AndersH3
Wed Aug 26 19:48:29 PDT 2015 --  ➊ #FOLLOWTRICK ➋ RETWEET ➌ FOLLOW ALL WHO RT ➍ FOLLOWBACK EVERYONE ➎ GAIN WITH #MGWV ➏ FOLLOW ☞ @MGWV_AMOR
Wed Aug 26 17:32:45 PDT 2015 --  What's up Twitter
Wed Aug 26 05:46:32 PDT 2015 --  ＤＩＮＡＭＩＣＡ ＲＥＴＷＥＥＴ ＩＦ ＹＯＵ ＦＯＬＬＯＷＢＡＣＫ #ＭＧＷＶ #ＦＯＬＬＯＷＴＲＩＣＫ #ＴＥＡＭＦＯＬＬＯＷＢＡＣＫ #ＲＴ ↻ @DavidGicheha ↺
Tue Aug 25 19:55:37 PDT 2015 --  ~ #RETWEET THIS! FOLLOW ME & EVERYONE ELSE THAT RETWEETS THIS FOR 50+ FOLLOWERS FAST #TeamFollowBack #Follow2BeFollowed #PeachesFollowTrain
Mon Aug 24 14:39:34 PDT 2015 --  #love #style top.tags #toptags #tweegram #photooftheday #20likes #amazing #smile #follow4follow… https://instagram.com/p/6yBGa0JCwD/ 
Sun Aug 23 12:54:20 PDT 2015 --  @Edward733 @ViVa_Chizzy280 @Me_Gofficial @succestattoo @Im_Realer @FCBarcelona_r11 @insaurraldeh @hikaru_mue
Thu Aug 20 10:35:34 PDT 2015 --  @boyd321 @Edward733 @succestattoo @ViVa_Chizzy280 @Im_Realer @FCBarcelona_r11 @insaurraldeh @hikaru_mue .
Thu Aug 20 10:08:33 PDT 2015 --  @Edward733 @succestattoo @ViVa_Chizzy280 @Im_Realer @Me_Gofficial @FCBarcelona_r11 @insaurraldeh @hikaru_mue
Fri Aug 21 18:30:09 PDT 2015 --  The 15 Worst Weapons In Videogame History. http://www.dorkly.com/post/44519/the-dorklyst-the-15-worst-weapons-in-videogame-history?utm_source=zergnet.com&utm_medium=referral&utm_campaign=zergnet_658104 …
Sat Aug 22 13:00:09 PDT 2015 --  Juliette REVEALS herself... Avatar style. ;) https://www.youtube.com/watch?v=HuwoJ8S7kIk …
Sat Aug 22 20:30:03 PDT 2015 --  Top 10 Rare Games! http://www.vgchartz.com/article/260027/top-10-rare-games/?utm_source=zergnet.com&utm_medium=referral&utm_campaign=zergnet_659554 … pic.twitter.com/9KiuRxHzgx
Sat Aug 22 21:38:41 PDT 2015 --  Discover great free apps and get rewarded with gift cards! https://m.freemyapps.com/share/twitter/5bfa6608 … via @freemyapps
