Wed Aug 19 20:34:34 PDT 2015 --  There's no more beautiful sound in Texas than the sound of rain in August.
Mon Aug 17 11:09:25 PDT 2015 --  Faith and the New Golden Age of Late-Night TV http://relm.ag/1Jc3UNV  via @RELEVANT
Thu Aug 13 10:29:31 PDT 2015 --  A recent discovery of a 1st century Galilean synagogue. Very cool! http://www.patheos.com/blogs/jesuscreed/2015/08/13/a-1st-century-synagogue-in-magdala/ …
Mon Aug 10 05:11:44 PDT 2015 --  Clinging to convictions has a cost, but it's not nearly as high as caving in. #noapologiesnoregrets
Sun Aug 09 14:46:49 PDT 2015 --  Helpful list to broaden your thinking and diversify your perspective.// http://www.briandoddonleadership.com/2013/05/05/15-multi-ethnic-pastors-that-caucasian-pastors-and-christian-leaders-need-to-listen-to/ …
Thu Aug 06 14:02:49 PDT 2015 --  This highlights why it's so important for us to know the Story we're telling! https://twitter.com/wcagls/status/629333920488812546 …
Sun Aug 02 12:11:22 PDT 2015 --  Second opportunity for Explore God Training today at 4-5pm in LS8. pic.twitter.com/mwGHF42d68
Thu Jul 30 15:08:00 PDT 2015 --  Boys with toys... Let the fun commence! pic.twitter.com/AsAjtpWwKo
Wed Jul 29 18:45:30 PDT 2015 --  Troubling when a poached lion in Africa & deflated footballs in New England garner more attention & outrage than harvesting human baby parts
Wed Jul 29 06:01:30 PDT 2015 --  When we fill our lives with just church events & programs, we get pulled out of everyday life with people who don’t know Jesus.
Tue Jul 28 06:44:49 PDT 2015 --  This is a good word of warning to pastors (and to wise church members). http://ftc.co/resource-library/blog-entries/should-a-pastors-wife-play-second-fiddle#.Vbd-IqQjSI0.twitter …
Sun Jul 26 14:51:41 PDT 2015 --  When a dream dies, bury it; grieve. Then get up, and take the next step forward.
Sat Jul 25 10:27:33 PDT 2015 --  This will blow your mind... And remind you of SkyNet!// http://www.wired.com/2015/07/hackers-remotely-kill-jeep-highway/ …
Thu Jul 23 19:59:21 PDT 2015 --  One last pic to celebrate our 10 yr anniversary. @mattkhubbard @ChazMooney remember this? pic.twitter.com/a28GbOTJag
Thu Jul 23 14:50:29 PDT 2015 --  Celebrating 10 years of wedded-bliss with this beauty! pic.twitter.com/sCzRtm9Vb5
Tue Jul 21 18:41:27 PDT 2015 --  . @KirstenPowers lays the smack down @USATODAY - "Crush Planned Parenthood" http://www.usatoday.com/story/opinion/2015/07/21/planned-parenthood-abortion-fetus-parts-kirsten-powers/30426475/ … #DefundPP
Sat Jul 18 03:56:35 PDT 2015 --  A Christian marriage will reveal your heart and then become God's main instrument for reshaping it.
Wed Jul 15 06:03:39 PDT 2015 --  What grieves me most about #PlannedParenthood is how they place value on a baby's "parts" but find no value in the baby's "personhood".
Wed Jul 15 12:54:56 PDT 2015 --  How hot is it in Fort Worth? A picture's worth a thousand words! pic.twitter.com/3FJdTRjbGE
Mon Jul 13 10:38:40 PDT 2015 --  "Unity is not same-ness, but same purpose." @MatthewGeddie #dropsthemike
Fri Jul 03 14:54:56 PDT 2015 --  If you must have a rental while your truck is in the shop, why not have fun? pic.twitter.com/3A77gcY22p
Thu Jul 02 20:10:32 PDT 2015 --  North American Mission Board Establishes Fund to Help Burned Black Churches http://blackchristiannews.com/2015/07/north-american-mission-board-establishes-fund-to-help-burned-black-churches/ … pic.twitter.com/RGj0USqVCX
Wed Jul 01 02:13:44 PDT 2015 --  The burning of these black churches is a national problem, not just a series of local ones. I hope the FBI is on this.
Wed Jul 01 04:29:06 PDT 2015 --  Let all churches stand with our black brothers and sisters and support the rebuilding of every destroyed church. #WhoIsBurningBlackChurches
Fri Jun 26 07:24:36 PDT 2015 --  A silver amulet from 7th century BC with priestly blessing of Num 6:24-26 is the oldest written biblical text discovered to date.
