Sat Apr 25 13:19:01 PDT 2015 --  بين يوم و ليلة فية ناس بتيجيّ... و ناس تغيبيب و الي انهردا حبيبي بكرة الاقية غريب
Tue Apr 14 11:14:03 PDT 2015 --  تفشل الذئاب في 90% من محاولات الصيد لكنها لا تيأس لأنها لو فعلت فسوف تموت , فمهما كان الماضي مليئا بالفشل فالمستقبل واعد إذا لم نيأس
Wed Apr 08 17:18:15 PDT 2015 --  اللهم إني أعوذ بك من الهم والحزن والعجز والكسل والجبن والبخل وأعوذ بك من غلبة الدين وقهر الرجال http://du3a.org 
Wed Apr 08 16:19:06 PDT 2015 --  اللهم إني أعوذ بك من علم لا ينفع ومن قلب لا يخشع ومن نفس لا تشبع ومن دعوة لا يستجاب لها http://du3a.org 
Wed Apr 08 15:19:09 PDT 2015 --  اللهم اقذف في قلبي رجاءك واقطع رجائي عمن سواك حتى لا أرجو أحداً غيرك http://du3a.org 
Wed Apr 08 14:19:22 PDT 2015 --  اللَّهُمَّ عافني في بدني ، اللَّهُمَّ عافني في سمعي ، اللَّهُمَّ عافني في بصري http://du3a.org 
Wed Apr 08 13:28:49 PDT 2015 --  اللَّهُمَّ اعطني إيمانا صادقا ويقينا ليس بعده كفر ورحمة أنال بها شرف كرامتك في الدنيا والآخرة http://du3a.org 
Wed Apr 08 12:29:30 PDT 2015 --  اللَّهُمَّ بارك لنا في أسماعنا وأبصارنا وقلوبنا وأرواحنا وذرياتنا وتب علينا إنك أنت التواب الرحيم http://du3a.org 
Wed Apr 08 09:19:33 PDT 2015 --  اللَّهُمَّ احفظني بالإسلام قاعدا واحفظني بالإسلام قائما واحفظني بالإسلام راقدا ولا تشمت بي عدواً أو حاسدا http://du3a.org 
Wed Apr 08 06:17:39 PDT 2015 --  اللَّهُمَّ اغفر لي خطأي وعمدي وهزلي وجدي ولا تحرمني بركة ما أعطيتني ولا تفتني فيما حرمتني http://du3a.org 
Wed Apr 08 05:17:16 PDT 2015 --  اللَّهُمَّ إني ظلمت نفسي ظلمًا كثيرا ولا يغفر الذنوب إلا أنت فاغفر لي مغفرة من عندك وارحمني إنك أنت الغفور الرحيم http://du3a.org 
Wed Apr 08 03:13:29 PDT 2015 --  اللهم لا تجعل الدنيا اكبر همنا ولا مبلغ علمنا ولا إلى النار مصيرنا وأجعل الجنة هي دارنا وقرارنا http://du3a.org 
Wed Apr 08 02:16:41 PDT 2015 --  اللهم إني أعوذ بك من الهم والحزن والعجز والكسل والجبن والبخل وأعوذ بك من غلبة الدين وقهر الرجال http://du3a.org 
Wed Apr 08 01:20:06 PDT 2015 --  اللهم إني أعوذ بك من النار وما قرب إليها من قول وعمل http://du3a.org 
Tue Apr 07 22:25:11 PDT 2015 --  اللَّهُمَّ طهر قلبي من النفاق ، وعملي من الرياء ، ولساني من الكذب ، وعيني من الخيانة http://du3a.org 
Tue Apr 07 21:27:06 PDT 2015 --  اللَّهُمَّ إنا نسألك عزائم مغفرتك ومنجيات أمرك والسلامة من كل إثم والغنيمة من كل بر والفوز بالجنة والنجاة من النار http://du3a.org 
Tue Apr 07 20:28:04 PDT 2015 --  اللَّهُمَّ عافني في بدني ، اللَّهُمَّ عافني في سمعي ، اللَّهُمَّ عافني في بصري http://du3a.org 
Tue Apr 07 18:26:21 PDT 2015 --  اللَّهُمَّ إني أعوذ بك من يوم السوء ومن ليلة السوء ومن ساعة السوء ومن صاحب السوء ومن جار السوء في دار المقامة http://du3a.org 
Tue Apr 07 17:26:09 PDT 2015 --  اللهم يا مقلب القلوب ثبت قلبي على دينك http://du3a.org 
Tue Apr 07 16:29:51 PDT 2015 --  اللَّهُمَّ لا تكلني إلى نفسي طرفة عين ، ولا تنزع مني صالح ما أعطيتني http://du3a.org 
Tue Apr 07 14:32:15 PDT 2015 --  اللَّهُمَّ إنا نعوذ بك من أن نشرك بك شيئا نعلمه ونستغفرك لما لا نعلم http://du3a.org 
Tue Apr 07 13:30:27 PDT 2015 --  اللهم إني أسألك الجنة وما يقرب إليها من قول وعمل http://du3a.org 
Tue Apr 07 12:30:14 PDT 2015 --  اللَّهُمَّ اعطني إيمانا صادقا ويقينا ليس بعده كفر ورحمة أنال بها شرف كرامتك في الدنيا والآخرة http://du3a.org 
Tue Apr 07 11:31:44 PDT 2015 --  اللهم إني أعوذ بك من الهم والحزن والعجز والكسل والجبن والبخل وأعوذ بك من غلبة الدين وقهر الرجال http://du3a.org 
Tue Apr 07 10:34:35 PDT 2015 --  اللَّهُمَّ احفظني من بين يدي ومن خلفي وعن يميني وعن شمالي ومن فوقي وأعوذ بعظمتك أن أغتال من تحتي http://du3a.org 
Tue Apr 07 08:19:34 PDT 2015 --  اللهم اجعل القرآن العظيم ربيع قلوبنا ونور صدورنا وجلاء همومنا http://du3a.org 
Tue Apr 07 07:18:16 PDT 2015 --  اللهم إني أسألك من الخير ما سألك عبدك ورسولك محمد http://du3a.org 
Tue Apr 07 06:18:05 PDT 2015 --  اللهم إني أعوذ بك من عذاب جهنم وأعوذ بك من عذاب القبر وأعوذ بك من فتنة الدجال وأعوذ بك من فتنة المحيا والممات http://du3a.org 
Tue Apr 07 05:17:09 PDT 2015 --  اللَّهُمَّ اقْسِمْ لَنَا مِنْ خَشْيَتِكَ مَا يَحُولُ بَيْنَنَا وَبَيْنَ مَعَاصِيك http://du3a.org 
Tue Apr 07 04:16:31 PDT 2015 --  اللهم يا مقلب القلوب ثبت قلبي على دينك http://du3a.org 
Tue Apr 07 03:16:22 PDT 2015 --  اللَّهُمَّ إنا نسألك عزائم مغفرتك ومنجيات أمرك والسلامة من كل إثم والغنيمة من كل بر والفوز بالجنة والنجاة من النار http://du3a.org 
Tue Apr 07 01:16:22 PDT 2015 --  اللَّهُمَّ إني أسألك بنور وجهك الذي أشرقت له السموات والأرض أن تجعلني في حرزك وحفظك وجوارك وتحت كنفك http://du3a.org 
Mon Apr 06 23:17:53 PDT 2015 --  اللَّهُمَّ اغفر لي ما قدمت وما أخرت وما أسررت وما أعلنت أنت المقدم وأنت المؤخر وأنت على كل شيء قدير http://du3a.org 
Mon Apr 06 22:18:30 PDT 2015 --  اللهم إني أعوذ بك من علم لا ينفع ومن قلب لا يخشع ومن نفس لا تشبع ومن دعوة لا يستجاب لها http://du3a.org 
Mon Apr 06 21:18:01 PDT 2015 --  اللَّهُمَّ اغفر لي ما قدمت وما أخرت وما أسررت وما أعلنت http://du3a.org 
