Fri Aug 28 18:36:04 PDT 2015 --  Hot Crazy Matrix - A Man's Guide to Women https://youtu.be/TjZIPClPR6I  via @YouTube
Fri Aug 28 11:05:44 PDT 2015 --  Katy Perry is really awesome... - Dark Horse PARODY Key of Awesome #85 https://youtu.be/wvYRQ-sFMJw  via @YouTube
Fri Aug 28 11:04:44 PDT 2015 --  Katy Perry - Dark Horse PARODY Key of Awesome #85 https://youtu.be/wvYRQ-sFMJw  via @YouTube
Thu Aug 27 19:39:52 PDT 2015 --  Do you know a beautiful British supermodel/actress who would also make a great comedian because she is a dork? #questionsforkarlie
Wed Aug 26 04:06:36 PDT 2015 --  Follow@swiftfans
Tue Aug 25 22:44:46 PDT 2015 --  I am taking classes online at Arizona State University in EE. Would you like to learn to code together? #questionsforkarlie
Tue Aug 25 22:42:14 PDT 2015 --  If I become homeless will you take me in? #questionsforkarlie
Tue Aug 25 22:30:52 PDT 2015 --  Are you good at showing people New York? #questionsforkarlie
Tue Aug 25 21:04:48 PDT 2015 --  If you could ask anyone a question? Who would it be? What would the question be? #questionsforkarlie
Tue Aug 25 21:03:14 PDT 2015 --  For a day, would you rather rule the world or be invincible? Why? #questionsforkarlie
Tue Aug 25 20:58:57 PDT 2015 --  Would you rather go a month without bathing or without changing clothes? #questionsforkarlie
Tue Aug 25 20:55:34 PDT 2015 --  If you were a bird, what would it be? #questionsforkarlie
Tue Aug 25 20:55:04 PDT 2015 --  If you were a fish, what would it be? #questionsforkarlie
Tue Aug 25 20:43:44 PDT 2015 --  If you stopped modeling and nothing stood in your way, what would you most want to do with your time? #questionsforkarlie
Tue Aug 25 20:36:37 PDT 2015 --  Which is the better view, a mountain range or the ocean? #questionsforkarlie
Tue Aug 25 20:34:21 PDT 2015 --  In an epic battle between a Minotaur and a ninja, who would win? #questionsforkarlie
Tue Aug 25 20:18:35 PDT 2015 --  Imagine, if you were to jump out of an airplane without a parachute, how would you like to be rescued? #questionsforkarlie
Tue Aug 25 20:10:54 PDT 2015 --  If you were a fish what would it be? #questionsforkarlie
Tue Aug 25 20:10:11 PDT 2015 --  If you were a dinosaur what would it be? #questionsforkarlie
Tue Aug 25 20:08:04 PDT 2015 --  Would you rather have x-ray vision or be invisible? #questionsforkarlie
Tue Aug 25 20:06:24 PDT 2015 --  What is something "uncool" that you do anyway? #questionsforkarlie
Tue Aug 25 20:00:38 PDT 2015 --  If you had to eat the same thing everyday for the rest of your life, what would it be? #questionsforkarlie
Tue Aug 25 19:58:25 PDT 2015 --  What are you afraid of? #questionsforkarlie
Tue Aug 25 19:56:02 PDT 2015 --  If you really got into a fight with Taylor Swift would you win? #questionsforkarlie
Tue Aug 25 19:52:20 PDT 2015 --  What is a funny name for a restaurant? #questionsforkarlie
Tue Aug 25 13:15:26 PDT 2015 --  Jack Bauer Man-Crush: Key of Awesome #12 http://youtu.be/AuzPN_8GwYA 
