Fri Aug 28 23:27:30 PDT 2015 --  Ang gwapo ni Bae kahit saang anggulo! #ALDUBMaiDenHeaven pic.twitter.com/6d7tG0x8Am
Fri Aug 28 23:19:28 PDT 2015 --  Pinatunayan mo sa pag-ibig, walang malalim na dagat, walang malayong landas. -- Lola to Bae @aldenrichards02 #ALDUBMaiDenHeaven
Fri Aug 28 23:11:47 PDT 2015 --  "Gagawin ko to para satin" -- Bae to Hany #ALDUBMaiDenHeaven
Thu Aug 27 21:09:43 PDT 2015 --  RETWEET IF YOU'RE WATCHING EAT BULAGA!!!!! #ALDUBGettingCLOSER
Wed Aug 26 22:30:53 PDT 2015 --  "AlDub You =)" Alden: Para sayo :) Yaya Dub: Ikaw, para sa kin din ba? Alden: Oo naman :) #KiligPaMore #HappyALDUBWeeksary
Mon Aug 24 15:04:54 PDT 2015 --  I will never get tired of worship and giving You praise. 🏻 Good morning.
Tue Aug 25 00:30:25 PDT 2015 --  Ayos! Keep on tweeting guys! @mainedcm @aldenrichards02 #ALDUBLOVEONTOP pic.twitter.com/UahmFtH3rv
Mon Aug 24 00:22:42 PDT 2015 --  Eat bulaga pasyalan nyo nman po lugar ng sindalan northville Sn.Fernando Pmpnga..
Sun Aug 23 20:54:05 PDT 2015 --  Let's join their forever! Mag @EatBulaga na mag AlDub na! @aldenrichards02 @mainedcm #ALDUBTULOYANGFOREVER https://twitter.com/EatBulaga/status/635660773201547264 …
Sun Aug 23 21:30:15 PDT 2015 --  Version 2 with Pabebe wave Bae @aldenrichards02 #ALDUBTULOYANGFOREVER pic.twitter.com/jw01AuGVjS
Sat Aug 22 07:10:22 PDT 2015 --  The Smile on your face makes me know that you need me :) @mainedcm @aldenrichards02 #ALDUBAgainstALLODDS pic.twitter.com/DEw9yw2Oi0
Sun Aug 23 02:21:03 PDT 2015 --  Gwapo ni bae kanina sa SPS! Napaos ata ako @aldenrichards02 #EBThankYouForALDUB pic.twitter.com/sqtKq9TzhF
Sat Aug 22 03:08:31 PDT 2015 --  Lakas ng AlDubnation!! 2.1M tweets! Maraming maraming salamat. 🏻 #ALDUBAgainstALLODDS
Fri Aug 21 22:12:18 PDT 2015 --  Retweet for AlDub, favorite for YaKie! #ALDUBAgainstALLODDS http://gmane.ws/aldubTW  pic.twitter.com/jX8xU4zQKA
Sat Aug 22 00:07:51 PDT 2015 --  May forever!!! @EatBulaga @mainedcm @aldenrichards02 #ALDUBAgainstALLODDS pic.twitter.com/0pmQrKxHnd
Fri Aug 21 23:33:12 PDT 2015 --  May Forever!!!! #AlDubAgainstAllOdds https://instagram.com/p/6rPylAi2yC/ 
Wed Aug 19 22:34:09 PDT 2015 --  Alden: Anong gusto mong pasalubong bukas? Yaya DUB: pwede bang ikaw na lang? #kiligpamore #ALDUBisforREAL
Thu Aug 20 22:44:02 PDT 2015 --  Alden: Pano na ang forever? #ALDUBKeepTheFaith
Tue Aug 18 22:47:00 PDT 2015 --  Showtime yan Karma kayo ngayun dahil nag angas agad si.ryan rem rock to.da world tweet.mo yabang belat bagsak ekonomiya nyo bwahaha
Tue Aug 18 22:44:07 PDT 2015 --  Showtime kailangan nyo ibalik ang Vicerylle pang tapat sa Aldub bagsak ekonomiya nyo weh
Tue Aug 18 22:32:24 PDT 2015 --  #kilig #aldub pamore
Tue Aug 18 21:21:37 PDT 2015 --  #eatbulaga pamore
Mon Aug 10 19:24:22 PDT 2015 --  Good morning. 🏻
Sat Aug 15 02:14:47 PDT 2015 --  hi!.alden galing mo kanina...
