Wed Aug 26 13:38:13 PDT 2015 --  #Muslims_Are_Not_Drag_Queens pic.twitter.com/nMTPBoC6z1
Wed Aug 26 11:43:42 PDT 2015 --  We aren't terrorists ...terrorists don't belong to us #Muslims_Are_Not_Drag_Queens
Wed Aug 26 07:30:48 PDT 2015 --  #اغنيه_عجبتك_فى_البوم_حماقى مابلاش كان وكان نسيت اجمل يوم بعدنا ليه
Mon Aug 24 23:30:19 PDT 2015 --  So glad everything has been cleared up today and ur support with it is amazing not that we could ever expect anything less your amazing
Mon Aug 24 23:34:49 PDT 2015 --  Thank you so much for everything you have done for us it's been the most amazing five years and there's so much more to come
Tue Aug 25 11:06:44 PDT 2015 --  #5monthswithoutzayn and i still can't believe it :( pic.twitter.com/ePLpMBlj0U
Mon Aug 24 17:40:44 PDT 2015 --  #ThankYouNiall you're my hero pic.twitter.com/u8B904ZGj8
Mon Aug 24 15:03:51 PDT 2015 --  Don't worry though, we still have lots we want to achieve ! Can't wait for you to hear all the new music we have for you and to perform
Mon Aug 24 15:02:37 PDT 2015 --  Ok so Lots of rumours going round. We are not splitting up, but we will be taking a well earned break at some point next year
Sun Aug 23 16:04:18 PDT 2015 --  @Real_Liam_Payne @NiallOfficial @Harry_Styles @Louis_Tomlinson @onedirection @POTUS pic.twitter.com/RWX6Th5JWh
Sun Aug 23 15:56:13 PDT 2015 --  Liam: fifth album coming up, a new tour we're all exited The sun: 1D to break up in march #MTVHottest One Direction pic.twitter.com/IITRxYDX8y
Sun Aug 23 15:57:54 PDT 2015 --  right now it's really deriving me crazy how fast the NIGHT CHANGES
Tue Aug 18 12:49:38 PDT 2015 --  Shout it from the rooftops !!
Sun Aug 23 11:12:24 PDT 2015 --  Going out tonight Changes into something red Her mother doesn't like that kind of dress #WeMissYourVoiceZayn pic.twitter.com/WMibvsfbIX
Fri Aug 21 13:53:45 PDT 2015 --  Tour @NASA with @onedirection! #DragMeDownMusicVideoIsOut http://go.nasa.gov/1fwya9X  pic.twitter.com/vCz0dpZffE
Fri Aug 21 13:59:22 PDT 2015 --  #DragMeDownMusicVideoIsOut OMG it's literally the best thing ever pic.twitter.com/dZ9FFfY8km
Fri Aug 14 15:07:11 PDT 2015 --  Long days,injury,tough shoot."I've got fire for a heart,a river for a soul...Nobody can drag me down" One Direction. In pieces but at peace.
Fri Aug 14 17:09:00 PDT 2015 --  Vote For The 7 at 7: August 14, 2015 http://987ampradio.cbslocal.com/2015/08/14/tonight-on-the-7-at-7-5-seconds-of-summer-fly-away-one-direction-drag-me-down-more/?utm_content=bufferb47ce&utm_medium=social&utm_source=twitter.com&utm_campaign=buffer …
Fri Aug 14 07:50:33 PDT 2015 --  #DirectionersFuneral who makes Sprite and can not keep him away must know that the sprite will punish him ;) pic.twitter.com/fIzLroRtH2
Thu Aug 13 11:27:36 PDT 2015 --  . @zaynmalik Lashes Back to @littlemix's Disses http://www.j-14.com/posts/zayn-malik-unfollows-little-mix-on-twitter-66850?utm_source=twitter&utm_medium=tweet&utm_campaign=newshare …
Mon Aug 10 19:19:51 PDT 2015 --  ايه اللى بيحصل ده ايه اللى انا شايفه ده ايه البواخه ديه ياسلام ياسلام ياسلام #افيه_من_فيلم_الناظر
Sun Aug 09 12:51:25 PDT 2015 --  The story of my life I take her home I drive all night to keep her warm and time... Is forzen pic.twitter.com/22ThqhX5ml
Fri Aug 07 19:53:52 PDT 2015 --  Aww https://instagram.com/p/6GziBfsvIB/ 
Sat Aug 08 10:15:34 PDT 2015 --  How can we not talk about family when family's all that we got
Sat Aug 08 10:13:48 PDT 2015 --  #see_you_again it's just woaw I Adore it pic.twitter.com/FM50OP9CkT
Sat Aug 08 07:29:32 PDT 2015 --  bringing this back cos sassy Zayn is my favourite #MTVHottest One Direction pic.twitter.com/ollqI8fo3F
Sat Aug 08 03:54:46 PDT 2015 --  Niall met the queen and he just #MTVHottest one direction pic.twitter.com/D5FnKvAV0u
Sat Aug 08 07:32:48 PDT 2015 --  #اسم_حلو_من_خمس_حروف إسراء pic.twitter.com/FC38qOoXVA
Sat Aug 08 07:29:34 PDT 2015 --  #انا_من_عشاق one direction pic.twitter.com/sRMfqZHhru
Fri Aug 07 15:05:41 PDT 2015 --  My hype tune at the mo ... Bitch better have my money ...
Fri Aug 07 03:27:34 PDT 2015 --  NIALL LITERALLY LOOKS LIKE A BABY ON A TRIP TO NASA HE'S SO CUTE & ADORABLE MY HEART HURTS #MTVHottest One Direction pic.twitter.com/ZFNMgNniDW
Thu Aug 06 17:13:46 PDT 2015 --  we EGYPT made a #New_suze_canal waaaaaaaaaaaaaaaaaaaaaow so happy pic.twitter.com/Zf8krXyy4u
Thu Aug 06 08:31:44 PDT 2015 --  #ZaynYouSaveUs :) :) pic.twitter.com/2WPAX8Dbgg
Wed Aug 05 20:39:57 PDT 2015 --  RT IF YOU WANT HIM TO BE REALLY HAPPY #WeLoveYouLouis #MTVHottest One Direction pic.twitter.com/RlAOlJ6mF1
Wed Aug 05 21:19:19 PDT 2015 --  @Louis_Tomlinson @JohannahDarling we all her for you #WeLoveYouLouis
Wed Aug 05 19:27:58 PDT 2015 --  pic.twitter.com/qiYZ5Wi1gv
Sun Aug 02 08:50:43 PDT 2015 --  Hope everyone is liking Drag Me Down so far. Thank you for all the support. All the love
Sat Aug 01 15:08:51 PDT 2015 --  Proud of my boys the new single is sick. Big love. :) x
Thu Jul 30 22:12:53 PDT 2015 --  Bit of a surprise ! Check out our new single! It’s called Drag Me Down & I hope you love it as much as we do https://itunes.apple.com/gb/album/drag-me-down-single/id1024077714?app=itunes&ls=1 …
Wed Jul 29 07:39:16 PDT 2015 --  @zaynmalik I miss you so much:)
Wed Jul 29 14:35:24 PDT 2015 --  @zaynmalik I hope u to be happy:) Just follow your heart and dreams and we will always support you......love you #realmusic
Fri Jul 24 10:44:30 PDT 2015 --  #onedirection 5 years of perfection pic.twitter.com/DMizRUdDDK
Thu Jul 23 17:07:55 PDT 2015 --  I wish the boys would post a group selfie today Make it happen @NiallOfficial
Thu Jul 23 17:07:27 PDT 2015 --  #5yearsofonedirection still can't believe it 5 years passed just like that 23\7\2015 a day to remember
Thu Jul 23 14:39:25 PDT 2015 --  5 years , literally sittin down talking about last night. Insane! I remember the day we were out together like it was yesterday!
Thu Jul 23 03:02:44 PDT 2015 --  #5yearsofonedirection thank you thank you thank you thank you thank you thank you :* pic.twitter.com/C6ysiWp2aS
Thu Jul 23 02:56:40 PDT 2015 --  #ThankYou1Dfor 5 beautiful years guys. We Love you very very much x
Wed Jul 22 22:11:28 PDT 2015 --  @zaynmalik we really miss you zayn come back to us we need u sooooo much....i miss u sooooo much Love u:)
Thu Jul 23 02:55:38 PDT 2015 --  #ThankYou1Dfor the amazing 5 years in my life ;) ;) pic.twitter.com/C1WSqszPnI
Wed Jul 22 10:14:13 PDT 2015 --  can't belive 5 year has gone #HAPPYFIVEYEARSBOYS
Wed Jul 22 10:11:46 PDT 2015 --  #HarryAppreciationDay
Mon Jul 20 19:43:49 PDT 2015 --  I'm not on shots by the way! Not that i know of
Tue Jul 21 10:00:25 PDT 2015 --  #NiallAppreciationDay and that's why I'm still waiting pic.twitter.com/FMKKcytQpN
Mon Jul 20 19:07:40 PDT 2015 --  #NiallAppreciationDay
Mon Jul 20 09:10:59 PDT 2015 --  I want that red velvet I want that sugar sweet Don't let nobody touch it Unless that somebody's me.MAROON 5
Mon Jul 20 09:05:20 PDT 2015 --  من الأفضل احيانا ألا ترى كل شيء إن الضوء الساطع يؤلم العينين حقا و بعض العمى قد يكون صحيا
Sun Jul 19 18:44:25 PDT 2015 --  Don't say the word that's on your lips Don't look at me that way Just promise you'll remember When the sky is grey
Sun Jul 19 18:41:21 PDT 2015 --  #LiamAppreciationDay
Sat Jul 18 16:15:08 PDT 2015 --  ‘Cause here’s the tragic truth: if you don’t feel the same, my heart would fall apart if someone said your name.
Sat Jul 18 08:28:46 PDT 2015 --  "Zayn who?" Definitely worth the read. #ZaynAppreciationDay pic.twitter.com/gMIgc8ejra
Sat Jul 18 10:28:39 PDT 2015 --  She told me in the morning she don't feel the same about us in her bones
Sat Jul 18 03:58:03 PDT 2015 --  #5DaysFor1D
Sat Jul 18 03:45:32 PDT 2015 --  #ZaynAppreciationDay
Thu Jul 16 14:16:52 PDT 2015 --  #happy_Eid to all muslims all over the world
Mon Jul 13 17:00:48 PDT 2015 --  #ZAYNHASNOCHILL pic.twitter.com/SQqRPQF1dn
Mon Jul 13 15:02:51 PDT 2015 --  am I dreaming or that is the truth I don't know anymore
Mon Jul 13 05:24:37 PDT 2015 --  @NaughtyBoyMusic you fat joke stop pretending we're friends no one knows you .
Fri Jul 03 09:30:37 PDT 2015 --  And you don't need, you don't need to run And you will see it's easy to be loved I know you wanna be loved
Fri Jul 03 09:01:47 PDT 2015 --  Cause I'm dying just to know your name
Mon Jun 22 17:46:03 PDT 2015 --  cause something isn't right, I don't wanna fight you
Mon Jun 22 17:44:55 PDT 2015 --  Cry 'cause I'm here to wipe your eyes
Sat Jun 20 16:06:12 PDT 2015 --  You'll never know how to make it on your own And you'll never show weakness for letting go.
Sat Jun 20 15:56:53 PDT 2015 --  Happy father's day
Thu Jun 18 09:14:39 PDT 2015 --  Ramadan I hope it's a blessing month to all Muslims everywhere :)
Wed Nov 12 05:07:29 PST 2014 --  #اثبت_انك_مصري بنحل الإنجليزي بالsense كده ..
Fri May 01 03:43:48 PDT 2015 --  #YouWillAlwaysBeZaynMalik1D
Thu Apr 30 16:15:11 PDT 2015 --  Is speech an extension to our thoughts or an image that we like to create x
Mon Apr 20 06:27:31 PDT 2015 --  The x is a kiss by the way ha it's not a mystery .. sorry to any confused ...
Tue Apr 14 06:26:21 PDT 2015 --  The story of my life I take her home I drive all night to keep her warm and time... Is frozen
