Sun Aug 23 06:14:53 PDT 2015 --  Orang lain panggil "vending machine" Aku panggil "mesin air gedegang" pic.twitter.com/cOic9mIs4M
Sun Aug 23 03:35:13 PDT 2015 --  “Everything is going to be alright.”
Sun Aug 09 12:04:33 PDT 2015 --  This artwork is beautiful pic.twitter.com/aPKXFJ69I8
Fri Nov 28 03:35:42 PST 2014 --  "Israel dah tukar nombor barcode dari 729 kepada 871" Mohon sebarkan demi ummah sejagat.
Tue Aug 11 07:48:11 PDT 2015 --  "Awak pernah tengok matahari ?" ''Susah nak tengok, silau." "Saya nak awak jadi macam matahari. Tak mudah dilihat dan sukar didekati."
Wed Jul 29 22:16:23 PDT 2015 --  Perempuan yg power, dia akan support lelaki tu dari takda apa2 sampai lah dia berjaya. Bukannya expect lelaki tu sediakan macam2 untuk dia.
Sun Aug 09 08:19:53 PDT 2015 --  Bila kau jumpa someone yang boleh tahan lama dengan kau dan hadap perangai kau, tetap sayang kau, terima kau seadanya, please appreciate.
Sat Aug 15 06:11:11 PDT 2015 --  "Kita mesti ada kawan yang gelak macam haramjadah. Kadang kadang lawak dia tak lawak sangat pun, tapi sebab dia gelak. kita pun ikut gelak."
Fri May 01 01:51:33 PDT 2015 --  Respect dekat lelaki yg pilih untuk setia dgn gf dia even dia tahu gf dia takdelah lawa mana berbanding perempuan lain. But he still loyal
Sun Aug 16 20:22:21 PDT 2015 --  Kalau semua benda yang kita buat kita nak beritahu orang, tinggal apa sahaja lagi untuk kita beritahu Allah?
Wed Aug 12 06:44:47 PDT 2015 --  Jangan tinggalkan yang "baik" , Demi mencari yang "lebih baik", Kerana yang "baik" itulah , Yang paling "terbaik".
Sun Aug 16 07:53:04 PDT 2015 --  Ni la jadi kalau isteri suh tengokkan anak masa dia sibuk nak shopping. pic.twitter.com/H7yJvv3qXW
Tue Aug 04 06:43:24 PDT 2015 --  Orang kemain lagi set timing camera snap gambar family.. dan2 pulak dia muncul #photobomb pic.twitter.com/NTKwGq4ghe
Sun Aug 16 15:00:14 PDT 2015 --  pic.twitter.com/qZNrTtbVzf
Sun Aug 16 19:01:15 PDT 2015 --  pic.twitter.com/m1oALFyZhs
Sun Aug 16 06:35:55 PDT 2015 --  Jika anda Muslim, wajib tahu siapa 30 orang pertama dalam Islam. Teach your child soon abt these too! pic.twitter.com/PllSTzBeYt
Fri Aug 14 06:18:09 PDT 2015 --  untuk student semua. serius sentap pic.twitter.com/LEos8B33hL
Wed Jun 17 08:49:46 PDT 2015 --  Biar la jarang jumpa asalkan berterusan sampai bila bila.
Tue Apr 14 03:36:12 PDT 2015 --  bestfriend be like '' oii !!! member aku ni sukk...'' '' baik kau diam, kalau tak aku cubit kau.'' pic.twitter.com/4sguuTNhY5
Wed Jul 22 08:25:46 PDT 2015 --  '' Apa apa pun yang berlaku, kita mesti tetap ada bersama.'' #FriendshipGoals pic.twitter.com/QHg2I8qa1U
Mon Jul 20 01:36:15 PDT 2015 --  Sbp bonds are always the best. no matter where you are, you have family.
Tue May 26 01:54:57 PDT 2015 --  Siapa rindu cekelet rare ni! pic.twitter.com/aG4s9zOxWo
Mon Jun 08 19:26:17 PDT 2015 --  There are no a bestfriend. All of them are best for me. And they are called family
Wed Jun 03 00:54:07 PDT 2015 --  #freemason #illuminati #△ pic.twitter.com/1w8As5jJhJ
Tue Jun 17 01:10:16 PDT 2014 --  Doa kawan adalah antara doa yang dimakbulkan oleh Allah jadi wahai kawan sentiasalah berdoa untuk kawan awak ye
Sat Jun 06 00:24:56 PDT 2015 --  Siapa seumur hidup dia tak pernah main coc & tak peduli pun?
Tue Sep 02 06:24:54 PDT 2014 --  "Sayang I tinggalkan smthng depan pintu you. I harap you tak buang eh. Itu je I mampu kasi " pic.twitter.com/zBFgqcMyFM
Mon Jan 12 02:35:26 PST 2015 --  Keratan akhbar, 18 September 1996. Kita boleh lihat kebenaran kata-katanya sekarang. pic.twitter.com/oH7rtvKIWw
Fri Jun 05 10:08:03 PDT 2015 --  A precious moment we create together. pic.twitter.com/nmosyTRQm1
Fri Jun 05 00:30:21 PDT 2015 --  penat membaca tweet hinaan dan cacian tanpa disertakan bukti yang tepat. apaka indah menyebarkan sesuatu yang boleh digelar fitnah?
Sun May 03 17:43:01 PDT 2015 --  This is so annoying... pic.twitter.com/IheJiTzKHQ
Sat May 30 14:00:10 PDT 2015 --  Ke padang ke kita?
Fri May 29 03:43:18 PDT 2015 --  Bila mak ayah marah, jangan melawan. Dia marah sebab dia sayang, dia nak anak dia jadi yang terbaik bila dah besar nanti.
Sat May 02 23:45:46 PDT 2015 --  “Menguap sampai tercabut pin tudung. Only hijabis know the struggle. #hijabisproblem''
Sun May 03 21:46:36 PDT 2015 --  Bila nak keluar cari baju bila dah jumpa baju tudung pulak takde yang masuk dengan baju. #hijabisproblem
Sun May 03 20:59:27 PDT 2015 --  Sometime tak faham jugak dengan manusia ni. Dah namapun wide shawl, yang pegi lilit sampai atas dada dah kenapa? #Hijabisproblem
Wed Jan 28 00:37:27 PST 2015 --  ㅤ ㅤ ㅤ ㅤ ㅤ ㅤ ㅤ ㅤ ㅤ ㅤ ㅤ ㅤ ㅤ ㅤ ㅤ ㅤ ㅤ ㅤㅤ ㅤ ㅤ"It's better to be hated by the earth than rejected by Syurga" . ㅤ ㅤ ㅤㅤ ㅤ ㅤ ㅤ ㅤ
Thu Jan 08 15:30:15 PST 2015 --  80% of people remain quiet even when they really want to say something in order to avoid an argument with someone they care about.
Tue Dec 23 07:52:04 PST 2014 --  Pernah? Kau sakitkan hati kawan baik kau, pastu kau rasa bersalah pulak. And kau mintak maaf kat dia sbb kau takde niat pun nak buat camtu.
