Thu Aug 27 22:14:50 PDT 2015 --  Cita2 saya nk jadi model terkenal. Oke tak posing sya ni? Haha pic.twitter.com/8pDEKHiAfK
Thu Aug 27 08:58:22 PDT 2015 --  How men and women see colours pic.twitter.com/Xfcu26mIdN
Thu Aug 27 16:31:29 PDT 2015 --  Bila baca ni tringat lipas kat umah sewa. Waktu tu nk sahur. Dh la besar boleh terbang plak tu https://twitter.com/DenaBahrin/status/636955876130058240 …
Sat Aug 22 02:13:28 PDT 2015 --  bukak phone* check ig ,twitter, ws ,wc k dah tutup, rutin harian lepastu ulang benda sama and ulang and ulang and ulang sampai mereput
Sun Aug 23 22:18:54 PDT 2015 --  "Boleh saya pacak bendera ?" "Dekat mana?" "Dekat dlm hati awak" "Kenapa pula?" "Kerana disini lahirnya sebuah cinta." #MerdekaPickUpLines.
Thu Aug 27 15:20:17 PDT 2015 --  Never give up on anything that you wanted for so long.
Thu Aug 27 15:31:05 PDT 2015 --  RT if you love Potatoes pic.twitter.com/TebKzaEYhX
Thu Aug 27 07:11:17 PDT 2015 --  Pepatah mandi tak basah, makan tak lalu, tak boleh dipakai oleh sesetengah orang. Sebab ada jenis orang, makin suka, makin selera makan.
Wed Aug 26 22:54:54 PDT 2015 --  "Biarlah Allah jaga jodoh kita baik², kita mendoakannya dari jauh"
Wed Aug 26 22:44:45 PDT 2015 --  Rsa takut la plak bila pikir subjek biotech animal next sem
Wed Aug 26 22:29:50 PDT 2015 --  I need this now. Free Wifi Free Food Unlimited Money Unlimited Battery
Wed Aug 26 22:39:41 PDT 2015 --  Bersusah2 dulu bersenang2 kemudian. #keepstrong
Wed Aug 26 22:39:00 PDT 2015 --  Dok depan lappy cari journal. #fyp Fyp oh fyp. Kenapalah engkau susah sgt?! #sabarfarah
Wed Aug 26 20:08:36 PDT 2015 --  #resultUMT sudah keluar. Good luck yer kawan2 smua.
Wed Aug 26 19:53:01 PDT 2015 --  Mestilah. Hng pon akn jadi org first yg tahu. Haha https://twitter.com/rohashima/status/636732840651067392 …
Wed Aug 26 19:07:59 PDT 2015 --  Alhamdullilah.
Wed Aug 26 16:08:59 PDT 2015 --  "Be good to your parents because one day when you have your own child, they might treat you the same way you treat your parents."
Wed Aug 26 16:40:15 PDT 2015 --  Don't have to compare your CGPA with others'. Yours is ultimately yours. Evaluate your efforts and work towards your goal.
Sun Aug 23 21:48:01 PDT 2015 --  RESULT 27 HB. http://twitter.com/SyahiraMaiadi/status/635672930811183104/photo/1pic.twitter.com/8bSsr54B4U 
Sat Aug 22 22:02:16 PDT 2015 --  Where are you???
Sat Aug 22 22:01:43 PDT 2015 --  Bosannyaaa menunggu
Sat Aug 22 21:54:01 PDT 2015 --  Tergodanya aku tgk sushi ni.
Sat Aug 22 20:42:26 PDT 2015 --  Nk keluar dating plak ng kawan ni. Huhu. Lama tak jumpa.
Sat Aug 22 20:42:07 PDT 2015 --  Done daftar kursus. Alhamdullilah.
Sat Aug 22 20:41:16 PDT 2015 --  Alhamdullilah. Syukur. Dah lulus.
Sat Aug 22 07:13:16 PDT 2015 --  Penat betul kalau pikir bnda tak jadi lagi ni.
Sat Aug 22 07:12:29 PDT 2015 --  Harap la esok lulus dgn baik
Sat Aug 22 07:07:32 PDT 2015 --  Nak pilih final year subjects lagi complicated dari nak pilih calon zauj. Haihh
Sat Aug 22 07:09:48 PDT 2015 --  Smoga dipermudahkan urusan esok. Takutnyaaa.
Fri Aug 21 01:40:59 PDT 2015 --  Hujan oh hujan.
Fri Aug 21 01:40:48 PDT 2015 --  Padang besaq.
Thu Aug 20 10:59:15 PDT 2015 --  All I can think about right now. pic.twitter.com/UiI4kpQIVC
Thu Aug 20 07:07:49 PDT 2015 --  "Majlis Lamaran" Kalau kahwin entah macam mana nanti. pic.twitter.com/bwSjnRWTkH
Thu Aug 20 11:30:14 PDT 2015 --  Listen to this! http://9gag.com/gag/a3L1BX1?ref=tp … pic.twitter.com/ZvjiKUnxJa
Tue Aug 18 06:45:05 PDT 2015 --  Nanti kahwin sesimple dahla. Honeymoon boleh pi bora bora. Kalau masa kahwin grand lebih. Borak borak jelah
Sun Aug 16 01:11:49 PDT 2015 --  Takpayah contact 24 hours pun actually, cukup lah masing masing beringat dah ada hati yang nak dijaga
Thu Aug 20 09:06:43 PDT 2015 --  Craving nk mkn pizza. Kalau dapat mkn ni sedapp ni..
