Fri Aug 28 03:51:49 PDT 2015 --  Buenos días, por Nuevo Hipódromo, San Pedro y áreas aledañas, no hay agua.
Sat Aug 15 08:57:27 PDT 2015 --  pic.twitter.com/vjrJS5x4Q9
Sun Feb 08 13:44:06 PST 2015 --  Ya se va a buscar otras alternativas según el Presidente Varela. La metida de pata que ya cometió. pic.twitter.com/leJCHPRRVZ
Wed Jan 28 19:35:35 PST 2015 --  ¿Se fue a refugiar a su "CUEVA DE LADRONES"? Espero que regresó pronto, porque aquí lo espera el calabozo.
Tue Jan 06 18:23:51 PST 2015 --  Pasando por un mal momento anuncio mi divorcio de rouss laguna.muy triste
Sun Jan 04 18:23:46 PST 2015 --  Se acerca la venida de Cristo. pic.twitter.com/Gm6Wz9XKU4
Sat Jan 03 18:28:25 PST 2015 --  Trip en Kuna Yala 2015 pic.twitter.com/Me3lG1tbj3
Sat Feb 18 12:00:18 PST 2012 --  @CaciqueGeneral El pueblo de Guna Yala (Kuna Yala) estamos con ustedes y paso a paso estamos los estamos siguiendo y apoyando.
Mon Jan 09 13:27:16 PST 2012 --  Google http://www.google.com.pa/ 
Sat Nov 19 19:34:33 PST 2011 --  Hola...de dónde eres???... @moosedivad828
Sat Nov 19 19:29:40 PST 2011 --  Hotmail - fer1492002@hotmail.com - Windows Live http://bl159w.blu159.mail.live.com/mail/InboxLight.aspx?n=151072152#fid=1&fav=1&n=564929774&mid=80611bff-1318-11e1-91af-002264c20846&fv=1 …
Tue Nov 01 19:35:52 PDT 2011 --  ¡Bienvenido a Facebook en Español! http://www.facebook.com/ 
