Wed Jan 14 22:01:42 PST 2015 --  [FREE] Android L Widget Library for Axure - via @yorgi_ http://bit.ly/VCzUVK 
Tue Jul 23 00:15:16 PDT 2013 --  Check out Locket, a new Android app that pays you for unlocking your phone. Sign up here! http://getlocket.com/r/?4e990789  @getlocket #stupideasy
Tue May 14 02:42:47 PDT 2013 --  pic.twitter.com/OK7QntouKi
Sun May 12 23:35:32 PDT 2013 --  Watch how Valve and Nvidia ported Source to Linux (and GL!) http://nehe.gamedev.net/news/watch_how_valve_and_nvidia_ported_source_to_linux_and_gl/99001/#.UZCJp0R_MRs.twitter …
Thu Dec 29 22:41:36 PST 2011 --  @_Trevie_ eve
Wed Nov 30 03:54:49 PST 2011 --  ┓┈┏┳━┓┳┈┈┳┈┈╭━╮ ┣━┫┣┈┈┃┈┈┃┈┈┃┈┃ ┻┈┻┻━┛┗━┛┗━┛╰━╯ ┏╮┳┓╭╮┳┓┏┳┓┏╮┈┳┓┏┓ ┃┃┣┈┃┈┣┈┃┃┃┃┻╮┣┈┣┻┓ ┗╯┻┛╰╯┻┛┻┻┻┗━╯┻┛┻┈┻ #GoodbyeNovember #HelloDecember
Sun Nov 20 09:29:18 PST 2011 --  GOOGLE: "I know everything!" FACEBOOK: "I know everyone!" INTERNET: "Without me you're all nothing!" ELECTRICITY: "Keep talking, bitches."
Tue Oct 18 17:24:37 PDT 2011 --  Can't sleep in the night. Can't wake up in the morning.
Sat Oct 01 18:02:08 PDT 2011 --  QOTD: "You can never quit. Winners never quit, and quitters never win." Ted Turner
Sat Oct 01 19:00:27 PDT 2011 --  I love everybody. Some I love to be around, some I love to avoid, and others I would love to punch in the fucking face.
Mon Aug 29 05:03:32 PDT 2011 --  I just got a score of 6883 in NinJump, a FREE iPhone/iPod Touch game by Backflip Studios! http://bit.ly/ninjump 
Sun Aug 28 00:14:15 PDT 2011 --  Why r hurricanes named after women? Bc they arrive wet and wild and then leave with your house and car #hurricanehumor
Sun Aug 28 00:59:15 PDT 2011 --  @DaniiTorn (^_^)a
Sun Aug 28 00:51:09 PDT 2011 --  I just got a score of 2654 in NinJump, a FREE iPhone/iPod Touch game by Backflip Studios! http://bit.ly/ninjump 
Sun Aug 28 00:49:47 PDT 2011 --  I just got a score of 1562 in NinJump, a FREE iPhone/iPod Touch game by Backflip Studios! http://bit.ly/ninjump 
Thu Aug 25 05:33:52 PDT 2011 --  怎么抢啊
Thu Aug 25 00:00:31 PDT 2011 --  各位,截止到目前,尚未能抢购到哪怕一台特价touchpad,失望之余继续努力,如有最新情况,我会第一时间通知,没有给各位来去好消息,请见谅! @aston314 @wangziteng @mahdavikia1987 @anvypuppy @magicfish1990
Wed Jun 22 05:17:35 PDT 2011 --  @obefiend becoming a nokia developer partner
Fri Jun 17 20:15:02 PDT 2011 --  大部分人從來不贏，是因為他們太害怕失去。
Wed Jun 08 19:45:33 PDT 2011 --  kindle is coming
Thu Jun 02 19:55:08 PDT 2011 --  物無美惡，過之為災
Wed Jun 01 20:24:08 PDT 2011 --  今天早上理解了兩個成語：急中生智和靜極生慧
Thu Mar 03 23:39:03 PST 2011 --  just posted a pic: (@ 上海交通大学徐汇校区) http://picplz.com/R0NZ
Mon Dec 20 22:43:11 PST 2010 --  just posted a pic: (@ 交通大学食堂) http://picplz.com/z9G3
Mon Dec 13 00:16:00 PST 2010 --  just posted a pic: http://picplz.com/zM6S
Wed Dec 08 08:12:40 PST 2010 --  rmb 2000 左右 RT @_Laptop_Apple Apple iphone 4 Black (16GB) (Unlocked) Brand new Price: $290 USD Online Order: http://TPseller.com
Thu Dec 02 05:17:40 PST 2010 --  HTC hero
Sun Nov 28 07:43:20 PST 2010 --  太便宜了RT @_Laptop_Apple Apple iPad Wi-Fi (16GB) i-pad 16 gb Brand New Factory Sealed Price: $280 USD Online Order: http://TPseller.com
Sat Nov 27 18:01:44 PST 2010 --  Apple iPad Wi-Fi (16GB) i-pad 16 gb Brand New Factory Sealed Price: $280 USD Online Order: http://TPseller.com
Thu Nov 25 18:20:04 PST 2010 --  Start working http://burstn.com/s/Egm
Wed Nov 24 19:46:58 PST 2010 --  Almost lunch time http://burstn.com/s/EdU
Wed Nov 24 19:36:41 PST 2010 --  just posted a pic: (@ 办公室) http://picplz.com/zQlx
Wed Nov 24 19:35:13 PST 2010 --  just posted a pic: (@ 办公室) http://picplz.com/zQlS
Wed Nov 24 19:04:21 PST 2010 --  Movie @ EXPO 2010 Australian Pavillion http://instagr.am/p/WsFp/
Wed Nov 24 06:41:57 PST 2010 --  #iwant #free http://burstn.com/s/Eax
Wed Nov 24 06:41:23 PST 2010 --  My 1st shot on burstn #fashion http://burstn.com/s/Eaw
