Fri Aug 28 21:57:07 PDT 2015 --  @freakshowjo does ur tat oo say find what you love and let it kill you
Fri Aug 28 21:06:04 PDT 2015 --  Christmas came early this year pic.twitter.com/QZZiFApUK8
Fri Aug 28 21:24:54 PDT 2015 --  All dolled up in my ponytail pic.twitter.com/WD5t4xksOt
Fri Aug 28 11:24:31 PDT 2015 --  MY JOB OFFERED ME A FULL TIME POSITION SO I WOULDNT LEAVE IM CRYIN'
Thu Aug 27 00:33:55 PDT 2015 --  how do people not question their existence? like this is an every day struggle for me. wtf am i and why am i here.
Thu Aug 27 16:50:27 PDT 2015 --  Takes a long time, but god dies too.
Thu Aug 27 17:50:22 PDT 2015 --  You guys I think I just found my future cat.. She's 5 weeks old and all black and the rooms too dark to take a picture
Wed Aug 26 21:52:20 PDT 2015 --  Sometimes I have convos w myself like 'wow Jo way to fuck up' 'I'm trying stop being a cunt to me Jesus' 'I know bb I love you its OK '
Wed Aug 26 21:12:09 PDT 2015 --  Its important to read the bible every day. pic.twitter.com/e4db0BPEeB
Wed Aug 26 20:43:31 PDT 2015 --  Ew no it'd be so gross w/o that extra salty vibe idk what u smokin https://twitter.com/lilcommie/status/636707248673189888 …
Wed Aug 26 20:04:39 PDT 2015 --  ohhh
Wed Aug 26 20:06:37 PDT 2015 --  being a horny drunk is my best/worst trait
Tue Aug 25 23:01:05 PDT 2015 --  [1st date] girl: on 3 lets say a fact about ourselves guy: k girl: 123 i like broccoli guy: i killed a man girl: wha- guy: broccoli lmao wtf
Wed Aug 26 20:25:53 PDT 2015 --  Why my door? I couldn't tell you. Maybe they can sense that I'm writing a story about them, or that I kinda wanna sleep with that guy
Wed Aug 26 20:24:45 PDT 2015 --  Every other night the couple at the end of the hall has screaming fights down the hallway and often someone punches or kicks my door.
Wed Aug 26 19:50:06 PDT 2015 --  I've almost lived in my apartment for a year isn't that CRAZY?! I've been a functioning rent paying adult for AN ENTIRE YEAR ?!¿¡;?!!!+¿¡!
Wed Aug 26 10:45:16 PDT 2015 --  My annual apology to all the people I blew off all summer long to get drunk #pleaseforgive
Wed Aug 26 10:44:01 PDT 2015 --  #wcw to the beautiful & wise @gxffney Y u so cute Y we no hang more pic.twitter.com/gLxnK8Upz3
Wed Aug 26 10:28:16 PDT 2015 --  Do you ever just get a wave of appreciation for who you are and what your life is becoming
Tue Aug 25 19:41:47 PDT 2015 --  Gonna start paying Holly to clean my apartment for me cause I JUST. CANNOT. DO IT ALONE. And I don't trust anyone else to go through my shit
Tue Aug 25 19:05:51 PDT 2015 --  I will NOT bend myself over backwards for you or even send two texts in a row for that matter
Tue Aug 25 10:51:06 PDT 2015 --  Every slut has a story
Mon Aug 17 10:39:16 PDT 2015 --  its crazy that governments have conditioned people to think working in a cube for 40 years is normal, and backpacking the world is weird...
Mon Aug 24 22:58:11 PDT 2015 --  Imagine how awful the world would be if no one had ever gotten an abortion.
Mon Aug 24 22:48:44 PDT 2015 --  Are you in touch with all of your darkest fantasies?
Mon Aug 24 21:46:44 PDT 2015 --  I already can't stop thinking about Christmas..
Mon Aug 24 20:56:19 PDT 2015 --  I'm good at not drinking when Im not around drinking, and don't think about it or see it on TV or hear about it in a song... #noproblemhere
Mon Aug 24 20:45:37 PDT 2015 --  "some girls have a body type that reads like, hey what sport do you play? I feel like my body looks like, oh what do you drink?"
Mon Aug 24 20:51:49 PDT 2015 --  I think I want to cut my hair
Mon Aug 24 20:49:05 PDT 2015 --  Guys I just showered for the second day IN A ROW #HYGEINE
Mon Aug 24 11:39:04 PDT 2015 --  Feeling comfy in my own skin and happy to be my chubby loud drunken kinky lil self
Mon Aug 24 00:59:12 PDT 2015 --  DON'T BEAT YOURSELF UP ABOUT DATING SHITTY PEOPLE. LEARN FROM YOUR MISTAKES. FIND BETTER DICK.
Sun Aug 23 21:38:54 PDT 2015 --  Sunday night sadness
Sun Aug 23 07:08:04 PDT 2015 --  pic.twitter.com/vMiT6UK45J
Sat Aug 22 21:31:22 PDT 2015 --  In case I was wondering ??? pic.twitter.com/cDcQyLIWw5
Sat Aug 22 20:00:30 PDT 2015 --  STOP FAKING ORGASMS 2015 & FOREVER
Sat Aug 22 20:00:14 PDT 2015 --  losing everything but weight
Sat Aug 22 20:26:19 PDT 2015 --  light up my cigarette and wait for disaster
Sat Aug 22 20:10:17 PDT 2015 --  pic.twitter.com/Jnv4H0Xf0k
Sat Aug 22 17:31:26 PDT 2015 --  #CalmYourselfIn4Words sweet release of death
Sat Aug 22 17:31:30 PDT 2015 --  #CalmYourselfIn4Words you'll die soon enough
Sat Aug 22 13:57:54 PDT 2015 --  THE DEVIL IS A WHITE WOMAN WITH DREADS/BOX BRAIDS/TWISTS, A BINDI BEAD, AND A HENNA TATTOO SCREAMING "ALL LIVES MATTER!!!!!"
Sat Aug 22 14:22:15 PDT 2015 --  when he retweets something from a Meninist account pic.twitter.com/WP5IlPE9Bk
Sat Aug 22 15:21:48 PDT 2015 --  Is it socially acceptable to finger yourself when ur bored in a group of people
Fri Aug 21 22:38:17 PDT 2015 --  In my natural habitat...drunk.....downtown..
Fri Aug 21 21:06:49 PDT 2015 --  I put the 'hot' in hot mess. pic.twitter.com/if9y1cHexO
Fri Aug 21 19:39:37 PDT 2015 --  I feel most beautiful in the neon lights
Thu Jul 02 08:25:48 PDT 2015 --  She sings about the truth pic.twitter.com/9BY9JGUDFd
Mon Jan 26 04:47:20 PST 2015 --  Only be slightly unattractive
Mon Mar 23 18:29:09 PDT 2015 --  Trying to get a handle on my life pic.twitter.com/3f7A1NjFhH
Fri May 01 10:46:29 PDT 2015 --  Relationship goals: a relationship
Wed Jun 17 07:23:28 PDT 2015 --  Fitness goals pic.twitter.com/ArV0b2ZkGC
Fri Aug 21 17:16:58 PDT 2015 --  @freakshowjo aka your autobiography
Fri Aug 21 17:14:43 PDT 2015 --  Currently writing an in depth psychedelic short story about the obsession of dick and death. Stay tuned.
Fri Aug 21 10:22:15 PDT 2015 --  I'll be the trendy fat friend and ya'll can be my bitches
Fri Aug 21 07:57:42 PDT 2015 --  Sometimes I wish @freakshowjo were my sister instead of my cousin.
Fri Aug 21 07:54:19 PDT 2015 --  Sometimes I wish @ElenTheMellon was my brother instead of my cousin
Fri Aug 21 02:04:32 PDT 2015 --  I thrive off of Christians telling me to go to hell. It turns me on actually. Plz send me me faster I'm actually a masochist anyway
Fri Aug 21 02:01:36 PDT 2015 --  joanna i thought we talked about this you aren't supposed to engage in abortion debates on facebook what r we gonna do w u
Thu Aug 20 23:11:16 PDT 2015 --  is it socially acceptable to add your old college professors on fb plz reply i'm actually wondering lol
Thu Aug 20 22:36:43 PDT 2015 --  Nothing on my mind but dick and death
Thu Aug 20 21:55:23 PDT 2015 --  I wanna have a party for two, all booze and sex and cigarette smoking, dancing and laughing all night
Thu Aug 20 17:59:22 PDT 2015 --  As I sit here eating my cold leftover Olive Garden while sipping a Dew, I ponder over how my life would be if I didn't grow up white trash
Thu Aug 20 20:21:33 PDT 2015 --  RIP, @freakshowjo's liver.
Thu Aug 20 20:21:45 PDT 2015 --  OH YEAH SEX TOO BOOZE AND SEX LOTS OF IT
Thu Aug 20 20:18:32 PDT 2015 --  Do I ever tweet about anything except getting drunk? like maybe I should change this account name idk lol
Thu Aug 20 20:15:28 PDT 2015 --  What I actually meant by this was literally who wants to get drunk w me like right now
Thu Aug 20 19:30:08 PDT 2015 --  where my ratchet bitches at
Thu Aug 20 15:25:18 PDT 2015 --  Some days, the memories still knock the wind out of me
Wed Aug 19 06:47:26 PDT 2015 --  GLUBGLUBGLUBGLUBGLUBGLUBGLUBGLUBGLUBGLUBGLUBGLUBGLUBGLUBGLUBGLUBGLUBGLUBGLUBGLUBGLUBGLUBGLUBGLUBGLUBGLUBGLUBGLUBGLUB
Wed Aug 19 17:23:43 PDT 2015 --  #wcw goes out to this babe @_emilyhowes goregeous, kind, and fucking hilarious. pic.twitter.com/GhAy8yORQT
Wed Aug 19 10:45:47 PDT 2015 --  @freakshowjo fuck off please thanks.
Wed Aug 19 16:39:48 PDT 2015 --  Breaking news: I actually put my laundry in the wash before I started drinking #responsible
Wed Aug 19 11:16:27 PDT 2015 --  Don't forget to breathe in at the wonder that you exist at this exact moment in the universe.
Wed Aug 19 16:30:26 PDT 2015 --  I'm not crazy
Wed Aug 19 08:08:46 PDT 2015 --  Wandering around the daycare in search of places to nap on my break
Tue Aug 18 19:44:03 PDT 2015 --  I'm the girl who uses the life out of you even when you hint at her to stop
