Tue Jul 07 13:38:10 PDT 2015 --  Don't let people who don't watch Game of Thrones tell you shit about life.
Sat May 02 19:14:18 PDT 2015 --  10,000 RTs and I'll run into the ring pic.twitter.com/E8C2vQbhKh
Fri Feb 27 07:39:19 PST 2015 --  Kit Harington, Peter Dinklage, Emilia Clarke, Richard Madden, Rose Leslie, John Bradley & Michelle Fairley pic.twitter.com/4BDdEy6Dvs
Thu Jan 08 15:06:49 PST 2015 --  BREAKING: #GoTSeason5 premieres Sunday, April 12 on @HBO. Send a raven and spread the word. pic.twitter.com/oFKemvhnlE
Thu Dec 25 17:14:25 PST 2014 --  Stop giving them attention.
Mon Dec 22 10:27:15 PST 2014 --  Day 12: @Pele Items! FOLLOW @EASPORTSFIFA and RETWEET for a chance to win. #15DaysofFIFA pic.twitter.com/sNA6TMGsIS
Fri Dec 19 09:45:08 PST 2014 --  Day 9: signed @FCBarcelona away shirts & FUT items! FOLLOW @EASPORTSFIFA & RETWEET for a chance to win. #15DaysofFIFA pic.twitter.com/yhjZYHV7SK
Thu Dec 18 10:27:23 PST 2014 --  Day 8: signed @FCBarcelona kits and #FUT items! FOLLOW & RETWEET to win @DaniAlvesD2 and @Munirhaddadi. #15DaysofFIFA pic.twitter.com/lRetqRemTq
Wed Dec 17 12:20:28 PST 2014 --  Day 7: full #TOTW squad! FOLLOW @EASPORTSFIFA and RETWEET for a chance to win. #15DaysofFIFA pic.twitter.com/F9rCQHcuSQ
Mon Dec 15 10:35:04 PST 2014 --  Day 5: we're gifting 100K packs! FOLLOW @EASPORTSFIFA and RETWEET for a chance to win! #15DaysofFIFA pic.twitter.com/a9fCbuXVaj
Sun Dec 14 09:00:10 PST 2014 --  Day 4: signed @premierleague kits! FOLLOW @EASPORTSFIFA and RETWEET for a chance to win. #15DaysofFIFA pic.twitter.com/vEgE9WJLfk
Sat Dec 13 09:00:08 PST 2014 --  Day 3: @TimHowardGK package! FOLLOW @EASPORTSFIFA and RETWEET for a chance to win. #15DaysofFIFA pic.twitter.com/m82TGn3lN5
Fri Dec 12 09:17:53 PST 2014 --  Day 2: copies of #FIFA15! Follow @EASPORTSFIFA and RETWEET for a chance to win. #15DaysofFIFA pic.twitter.com/K0dMzVjx4d
Thu Dec 11 09:22:13 PST 2014 --  Day 1: signed #Messi jersey! Follow @EASPORTSFIFA and RETWEET for a chance to win our first prize. #15DaysofFIFA. pic.twitter.com/WhNBn3dtOo
Fri Dec 05 10:00:07 PST 2014 --  RETWEET to win a signed #Messi shirt, FAVORITE for @hazardeden10's signed kit! https://www.youtube.com/watch?v=Bw1Iwzst2bc&index=1&list=PLYAzVafIQExlCt9FzIIxegYf7BP1kj4Ev … #FIFA15 pic.twitter.com/bOJD4MEBD6
Wed Sep 03 19:16:38 PDT 2014 --  I liked a @YouTube video http://youtu.be/wqjAy83TrIU?a  CaptainSparklez' Origin Story to Mianite - Animation
Wed Sep 03 19:17:33 PDT 2014 --  “ @ProSyndicate: I liked a @YouTube video http://youtu.be/wqjAy83TrIU?a  CaptainSparklez' Origin Story to Mianite - Animation” @CaptainSparklez
Tue Sep 02 13:43:56 PDT 2014 --  #tomdidit FOR ONCE
Tue Sep 02 13:43:58 PDT 2014 --  #TomDidIt
Sat Aug 30 18:34:13 PDT 2014 --  I added 20$ to the playstation store and I checked today and it's not there @AskPlayStation
Wed Aug 27 07:23:18 PDT 2014 --  If this gets 1500 RTs, I'll let it happen.
