Sat Aug 22 13:49:05 PDT 2015 --  No confundas tu bipolaridad con ser una pelotuda.
Tue Aug 18 08:58:15 PDT 2015 --  Los políticos deberían hacer sus debates en comentarios de YouTube, y el que más likes y "turn down for what" tuviese, ganaría.
Tue Aug 18 08:55:06 PDT 2015 --  #Cali1957 La calle 5, cuando la plaza de toros quedaba a las afueras de la ciudad: @AristizabalOssa pic.twitter.com/0uR9MsbVim
Sun Aug 16 21:22:04 PDT 2015 --  Que bronca cuando estas acostado re cómodo y te piden un favor, hacelo vos y cerra el orto.
Fri Aug 14 11:58:05 PDT 2015 --  Me parece totalmente sano odiar injustificadamente a alguien.
Thu Aug 13 15:22:51 PDT 2015 --  No hay decepción más tonta que la de darse cuenta de que los principios personales son tan débiles como sus dueños mismos.
Tue Aug 04 09:39:50 PDT 2015 --  Si dices la verdad, no tienes que preocuparte por recordar nada. ~ Mark Twain.
Tue Aug 04 20:29:01 PDT 2015 --  @gabris_0289 yo más
Mon Aug 03 22:37:22 PDT 2015 --  Ese momento en el que sabes que debes ir a dormir pero prefieres seguir viendo pendejadas en YouTube.
Tue Aug 04 20:26:32 PDT 2015 --  cuando el sol es inaguantable... https://twitter.com/elpaiscali/status/628672067404177409 …
Tue Aug 04 18:30:03 PDT 2015 --  Cuando en la calle me preguntan una dirección directamente respondo que no se porque capaz me equivoco y los termino mandando a otra galaxia
Tue Aug 04 19:51:02 PDT 2015 --  Que sensación de mierda cuando ponés Fox y no están Los Simpson
Mon Jul 27 16:28:32 PDT 2015 --  No importa que tan bueno seas en algo, siempre habrá un asiático que lo hará 1.000 veces mejor que tu! #LunesDeMotivacion xD
Thu Jul 30 18:00:19 PDT 2015 --  I don´t entender very mucho!
Wed Jul 29 17:19:08 PDT 2015 --  Amo dormir y me casaré con mi cama. En nuestra luna de miel dormiremos en otra cama. Probablemente engañe a mi cama con esa otra cama.
Tue Jul 14 19:25:06 PDT 2015 --  Durante la edad media y el renacimiento al suicidio se le declaro un crimen y era castigado penalmente ¿que está pasando en colombia?
Mon Jul 13 22:14:00 PDT 2015 --  Llevo menos de 30 minutos en twitter y tengo 6 seguidores, seré famosa.
Mon Jul 13 21:47:56 PDT 2015 --  #ParaEstasVacacionesYo no tengo nada que hacer y tengo todo el dia para hacerlo...
Mon Jul 13 18:30:06 PDT 2015 --  La vida es muy corta para sacarse las zapatillas desatando los cordones.
