Fri Aug 28 06:59:39 PDT 2015 --  I hate when your listening to music but can't sing cause people are around you #Disney
Thu Aug 27 06:35:37 PDT 2015 --  I'm all alone at the bus stop
Wed Aug 26 15:10:35 PDT 2015 --  That was my friend sorry I don't love you I'm gay #lol
Wed Aug 26 06:42:34 PDT 2015 --  Crazy bitch at my bus stop #lmao
Tue Aug 25 19:40:01 PDT 2015 --  Why do I let so many people down
Tue Aug 25 19:32:56 PDT 2015 --  Why not pic.twitter.com/bzwK4iLvV4
Tue Aug 25 18:38:12 PDT 2015 --  If you try to call me and I don't answer it's because I'm busy so I will call you later when I'm free
Tue Aug 25 18:35:13 PDT 2015 --  I need a job #lazyass
Tue Aug 25 11:23:20 PDT 2015 --  Finally lunch time
Mon Aug 24 20:21:59 PDT 2015 --  hes to sweet :)
Mon Aug 24 19:35:37 PDT 2015 --  Phones pissing me off now
Mon Aug 24 18:08:20 PDT 2015 --  just got out of the shower and im soo cold wish i had someone to warm me up #lmao
Mon Aug 24 17:33:24 PDT 2015 --  Most annoying thing keeps happening at school and that's when I run into my ex boyfriend because he will then text me after that
Mon Aug 24 17:32:07 PDT 2015 --  I'm tired but I can't sleep or I'll be up all night
Mon Aug 24 17:27:04 PDT 2015 --  sometimes I hate my dad no scratch that ALL the time I hate my dad
Sun Aug 23 20:01:21 PDT 2015 --  Mirror house ' pic.twitter.com/fK4fL5k07k
Sun Aug 23 19:59:05 PDT 2015 --  Windows 10 is failing me right now #feelingangery
Sun Aug 23 19:11:30 PDT 2015 --  hey guys ghttps://www.facebook.com/pages/Alamogordo-sights/1591777414416259?fref=ts&ref=br_tfo check out my facebook page
Sun Aug 23 16:44:14 PDT 2015 --  I'm losing so many followers
Sun Aug 23 11:52:51 PDT 2015 --  Gay guys are just all around better than anyone else. pic.twitter.com/3AxrPqHwnV
Sun Aug 23 11:54:30 PDT 2015 --  just watched a sad movie called "A.I." you guys should watch it aswell
Sun Aug 23 09:26:31 PDT 2015 --  VIDEO IS UP!!! GO CHECK IT OUT :)
Sun Aug 23 08:24:51 PDT 2015 --  new video is uploading so check it out will be up at noon
Sun Aug 23 08:23:38 PDT 2015 --  can we just take a minute and look at this amazing picture (taken by austin golden) how does this pic make you feel? pic.twitter.com/ITQoETStgA
Sat Aug 22 19:44:59 PDT 2015 --  Me sleeping with my phone is like an 8 year old sleeping with a stuffed bear
Sat Aug 22 19:36:03 PDT 2015 --  Finally after like so long someone likes my Facebook page
Sat Aug 22 19:33:25 PDT 2015 --  When your friend takes an ugly selfie and you make fun of it this is what happens pic.twitter.com/dQ7BICB13t
Sat Aug 22 19:32:26 PDT 2015 --  I will be posting a video tomorrow on youtube watch it
Sat Aug 22 19:31:36 PDT 2015 --  Aunt is leaving tomorrow I'm ganna be really sad #gayboydown
Sat Aug 22 14:55:39 PDT 2015 --  If your happy and you know it say amen #gogays
Sat Aug 22 14:13:49 PDT 2015 --  Almost killed my aunt by going hiking today #lol
Fri Aug 21 21:23:59 PDT 2015 --  Good night you guys #night
Fri Aug 21 17:02:21 PDT 2015 --  It's the weekend thank you god
Wed Aug 19 20:02:51 PDT 2015 --  hey guys sorry for the lack of tweets i have family down but i will be on twitter and youtube soon love you all thanks for all the followers
Wed Aug 19 15:16:00 PDT 2015 --  2nd day of hight school was better then day one
Mon Aug 17 13:25:52 PDT 2015 --  Had fun shopping today but I'm not excited for school pic.twitter.com/9ZwNz3Uu8Y
Mon Aug 17 09:55:29 PDT 2015 --  Shopping tho
Mon Aug 17 08:49:10 PDT 2015 --  Made it to las cruses nm
Mon Aug 17 07:14:58 PDT 2015 --  Time to go shopping #ttgs
Sun Aug 16 19:29:15 PDT 2015 --  thank you guys so much for the followers i love you all :)
Sun Aug 16 19:12:27 PDT 2015 --  he is to sweet #lovehim
Sun Aug 16 18:39:39 PDT 2015 --  you know who i think would make a good song together lindesy stirling and christina perri ive always thought that
Sun Aug 16 18:20:22 PDT 2015 --  theres this video and a kid gets beat and my yt name is gaygod my comment to that video is god bless that kid someon is pointing that out
Sun Aug 16 17:34:45 PDT 2015 --  no more late night tweets for me got school coming up :( #fml #school #imgay
Sun Aug 16 15:21:46 PDT 2015 --  watching rango this is such a cute movie loving it #cute
Sun Aug 16 12:16:45 PDT 2015 --  i feel bad because my little brother was playing with a bug zapper and he touched it and now hes in tears but it was funny lol
Sun Aug 16 12:15:25 PDT 2015 --  pic.twitter.com/h1ailmFzpi
Sun Aug 16 11:50:32 PDT 2015 --  finally home a lone time to go to bed thank god no more little kids to bother me every 3 seconds #thankgod
Sun Aug 16 11:35:14 PDT 2015 --  if it rains today im going to play in it for sure
Sun Aug 16 11:22:24 PDT 2015 --  i hate when people jump on my bed if your not my boyfriend stay off my bed lol
Sun Aug 16 05:17:00 PDT 2015 --  If you're having a bad day, just watch this Pikachu squad dance for you. pic.twitter.com/eV7Pc8clMc
Sun Aug 16 11:18:29 PDT 2015 --  im so tired because little kids keep me up all night :/
