Wed Aug 26 18:56:03 PDT 2015 --  pic.twitter.com/9n1BhY2bvn
Sun Aug 23 09:14:48 PDT 2015 --  Muy buena mañana para empezar a escuchar a Gustavo Cerati con su álbum Fuerza Natural... pic.twitter.com/kuH9Vnimi4
Wed Aug 19 11:07:12 PDT 2015 --  Pablo Neruda pic.twitter.com/7wJhtut2xt
Tue Aug 18 20:30:07 PDT 2015 --  La mala ortografía es a la escritura lo que el mal aliento es al hablar, la gente entiende, aunque apeste.
Tue Aug 18 12:43:14 PDT 2015 --  No puede salir de la cabeza, aquello que no sale del corazón.
Sat Aug 15 16:09:01 PDT 2015 --  Amistad sin bullying, no es amistad.
Tue Sep 23 12:28:38 PDT 2014 --  Las personas frías tienen los sentimientos más reales.
Sat Aug 15 12:43:26 PDT 2015 --  Son válidas: “murciélago/murciégalo”, “criatura/creatura”, “oscuro/ obscuro”.
Thu Aug 13 20:26:20 PDT 2015 --  Asentir: admitir como cierto lo que otra persona ha afirmado o propuesto. Disentir: no ajustarse al sentir o parecer de alguien.
Sun Nov 03 19:16:23 PST 2013 --  —Una mujer bella, no necesita maquillaje. —Una mujer sexy, sólo necesita personalidad. —Una mujer feliz, no depende de un hombre.
Sun Aug 02 18:09:01 PDT 2015 --  Un aplauso por esas relaciones que se empiezan como amigo y hoy son una hermosa pareja
Sun Jul 19 22:29:36 PDT 2015 --  Si: es condicional. Sí: adverbio de afirmación, o persona. Ej.: "No sé si vaya, no está seguro de sí mismo, pero sí quiere ir".
Sun Jul 19 22:30:05 PDT 2015 --  Haber: es un verbo. A ver: es la preposición "a" más el verbo "ver". Ej. A ver qué pasa por haber actuado mal.
Wed Jul 01 21:09:01 PDT 2015 --  -El alcohol es un veneno. Si es un veneno, ¿Por qué lo tomas? -Porque hay cosas dentro de mi que necesito matar. -Charlie Sheen
Thu Jun 18 19:04:12 PDT 2015 --  Para quemar más grasa: mantente hidratado todo el día, come más proteínas, consume fibra, bebe té verde, párate más de lo que te sientas.
Thu Jun 18 19:11:36 PDT 2015 --  La única persona con la que debes de ser mejor, es la persona que eras ayer.
Tue Jun 02 07:38:24 PDT 2015 --  Constancia... la clave del éxito... pic.twitter.com/MHBN8vO0RF
Wed Jan 29 20:03:30 PST 2014 --  Para ser grande y sabio, primero se tuvo que ser joven y tonto.
Tue May 26 10:01:19 PDT 2015 --  Bajan tasas de interés en soles para grandes empresas, destaca el BCRP http://gestion.pe/mercados/bajan-tasas-interes-soles-grandes-empresas-destaca-bcrp-2132920 …
Tue May 26 09:07:21 PDT 2015 --  Yo en el Amor. https://vine.co/v/eqYYbYaig2t 
Mon May 18 22:20:30 PDT 2015 --  La hora loca! Lo máximo #lanocheesmia
Mon May 04 23:29:15 PDT 2015 --  Buscas, te ignoran. Ignoras, te buscan.
Wed May 13 13:11:26 PDT 2015 --  El tiempo pasa. Los recuerdos se desvanecen. Los sentimientos cambian. La gente se va, pero los corazones nunca olvidan.
Wed May 13 15:39:03 PDT 2015 --  El triunfo del verdadero hombre surge de las cenizas del error.
Wed May 13 14:51:05 PDT 2015 --  El perro es el mejor amigo del hombre...y por eso nosotros debemos darle nuestra protección. pic.twitter.com/ULD9Ouz3vN
Sun May 10 01:53:21 PDT 2015 --  Muchos podrán pisar el camino, pero muy pocos dejan la huella.
Tue Mar 03 23:35:10 PST 2015 --  Quiero... pic.twitter.com/fJROUonDZo
Wed Feb 18 00:05:30 PST 2015 --  El peor sentimiento es fingir que algo no te importa cuando la verdad es en lo único que piensas.
Mon Feb 09 21:30:03 PST 2015 --  #la noche es mia @frec_latina lo máximo Galdos
Tue May 20 08:32:45 PDT 2014 --  Dale valor a las cosas, no por lo que valen, sino por lo que significan” ―Gabriel García Márquez
Sat Jan 24 16:02:24 PST 2015 --  "Arriésgate por todo aquello que te hace feliz."
Sun Dec 14 15:00:18 PST 2014 --  "Ir a la luna en bicicleta es más fácil que olvidarte" pic.twitter.com/KjIDJIqzfq
Sun Dec 14 09:28:02 PST 2014 --  RT @OcioLaRepublica: [ENTREVISTA] El adiós de Ian McKellen a #Gandalf http://ow.ly/FRMFx  #TheHobbit pic.twitter.com/46mjwTisdA
Thu Sep 11 16:44:43 PDT 2014 --  En una época de engaño universal decir la verdad es un acto revolucionario. George Orwell.
