Fri Aug 28 15:58:59 PDT 2015 --  My pals are oot hayin the time o there lives gettin pished, my lads in ibiza and me.. Im at work
Thu Aug 27 11:45:23 PDT 2015 --  a potato having a mid life crisis
Thu Aug 27 09:48:29 PDT 2015 --  At is 100% asdas cheap as fuk ham pic.twitter.com/HJF4bliZYK
Thu Aug 27 09:32:28 PDT 2015 --  Love lyin in ma bed watchin jezza kyle could dee it all day, hink am awa ti leave ma work and sign on i dole, nice wan
Thu Aug 27 09:18:11 PDT 2015 --  My bed is so comfy love lazy days
Thu Aug 27 07:05:46 PDT 2015 --  Seriously healthy eating and exercising again tomorrow! Ive been a pig #fatty
Thu Aug 27 05:35:14 PDT 2015 --  FA JUST HEARD @kirstcampbelll ON NORTHSOUND #mmmmm #legend
Mon Aug 24 11:10:52 PDT 2015 --  if you think your monday's bad just think about the fact cara ran over a child today
Mon Aug 24 11:36:56 PDT 2015 --  @caraaikenxo @kirstcampbelll it looked like u wanted impact with an innocent pedestrian pic.twitter.com/wMN5WhsCML
Sun Aug 23 06:15:46 PDT 2015 --  Family get togethers on a sunday.. Get a fuckin grip like stupid fuckin idea mam
Sun Aug 23 05:29:44 PDT 2015 --  Wow i am a total bastard, hame by 11pm. Fuck sake
Wed Mar 18 06:38:07 PDT 2015 --  #petertait #rosscounty #goalkeepersunion pic.twitter.com/HhaOQBTrXa
Fri Aug 21 20:41:00 PDT 2015 --  So i've realised why i dinna get slept fan Stuarts here cus he taks up the hale fkn bed!!!!! MY SIDE YOUR SIDE MYYYYYYY SIDE. #backtobasics
Fri Aug 21 02:24:24 PDT 2015 --  scary.. pic.twitter.com/FFzNkIGX3W
Thu Aug 20 00:03:40 PDT 2015 --  Happy birthday chosler you beautiful human pic.twitter.com/Ey7tbBzD2L
Sun Aug 16 12:59:16 PDT 2015 --  Speaking about @chelseaosler if she was in a coma... She says if i was in a coma would you put me on tinder? @kirstcampbelll @cara_aikenx
Sat Aug 15 14:51:11 PDT 2015 --  WHO WORE IT BETTER?!?!?! @caraaikenxo @KendallJenner pic.twitter.com/wk34HNcArU
Sat Aug 15 15:06:14 PDT 2015 --  Managed to bide in the last 2 wikends, roll on getting absolutely Chelsea oslerd next wikend for I beauts bday
Tue Aug 11 17:07:01 PDT 2015 --  Why pic.twitter.com/Ihno9D2Kiw
