Fri Aug 28 17:49:05 PDT 2015 --  FAV/RT for a dm
Fri Aug 28 18:23:26 PDT 2015 --  Coca-Cola only sold 25 bottles the first year but kept going. Never give up.
Fri Aug 28 19:11:35 PDT 2015 --  Research has found that everyone is able to sing well — it is a learned skill that gets better with practice and worse with disuse.
Fri Aug 28 16:46:57 PDT 2015 --  We change our voice when we talk to people we like.
Fri Aug 28 17:03:07 PDT 2015 --  Cuddling literally kills depression, relieves anxiety, and strengthens the immune system.
Fri Aug 28 17:04:05 PDT 2015 --  Drop everything now, meet me in the pouring rain. Kiss me on the sidewalk, take away the pain.
Fri Aug 28 11:01:34 PDT 2015 --  Don't be so quick to believe what you hear because lies spread quicker than the truth.
Fri Aug 28 15:36:03 PDT 2015 --  "It's my mouth I can say what I want to." - Miley Cyrus
Fri Aug 28 15:50:24 PDT 2015 --  Respect yourself enough to walk away from anything that no longer serves you, grows you, or makes you happy.
Fri Aug 28 15:40:52 PDT 2015 --  We are definitely #selfie obsessed #dumbluckthemovie @theanagolja @EdgeRatedR @jonathanpopalis @pashapatriki pic.twitter.com/Xm8uc2cOGZ
Fri Aug 28 15:54:51 PDT 2015 --  @TheAnaGolja @dumbluckmovie you look so gorgeous and I love that necklace!!!
Fri Aug 28 15:52:35 PDT 2015 --  Semi-candid on the set of @dumbluckmovie #9lightEnt https://instagram.com/p/68co4zwzxV/ 
Fri Aug 28 10:43:48 PDT 2015 --  Soaking in a hot tub brings many health benefits, such as.. http://bit.ly/1qU2Uk7 
Fri Aug 28 16:04:32 PDT 2015 --  Who doesn't love @nicsamhuff ?! She's goals.
Fri Aug 28 08:06:15 PDT 2015 --  #MyFavEmoji... What's your fave? GO! http://youtu.be/woEOxfnTCpA 
Fri Aug 28 08:43:58 PDT 2015 --  "Your hearing me, but your not listening..." ~Eli @Degrassi @The_Munro
Fri Aug 28 08:13:10 PDT 2015 --  "Where are we going?" "Space." @Degrassi @JessicaTyler @AJSaudin
Fri Aug 28 08:12:13 PDT 2015 --  "...I think I attract death." ~Eli -Julia -Cam -Adam -His son @The_Munro @Degrassi
Fri Aug 28 08:06:47 PDT 2015 --  Jonnor is sooooo cute! @Degrassi @JessicaTyler @AJSaudin
Fri Aug 28 06:44:34 PDT 2015 --  Getting my hair cut tomorrow (:(
Thu Aug 27 13:25:12 PDT 2015 --  https://www.youtube.com/watch?v=uj7V-VhnKus … k.............HEART EYES FOR DAYS
Thu Aug 27 09:03:25 PDT 2015 --  Semma pic.twitter.com/I3vCfD1Ne6
Wed Aug 26 21:58:04 PDT 2015 --  @ginamarie762 pic.twitter.com/bXXy8QHwfa
Thu Aug 27 10:42:35 PDT 2015 --  Becky Baker pic.twitter.com/VRDiFE41wf
Wed Aug 26 20:26:10 PDT 2015 --  My Twitter Account is worth $485.28 as of today. Find out what yours is worth for free at http://twitvaluesjeet.com  #RT #followme
Wed Aug 26 17:39:23 PDT 2015 --  HAPPY NATIONAL DOG DAY!!! No such thing as too many pic.twitter.com/KvoxFLg0df
Tue Aug 25 21:04:58 PDT 2015 --  Goodnight everyone!
Mon Aug 24 23:27:05 PDT 2015 --  He's the reason for the teardrops on my guitar. The only thing that keeps me wishing on a wishing star.
Tue Aug 25 12:30:04 PDT 2015 --  "I'd rather be at home and eat ice cream than go out and get wasted." - Taylor Swift
Tue Aug 25 20:29:42 PDT 2015 --  I wanna follow some new people, RT for a follow :)
Tue Aug 25 20:32:38 PDT 2015 --  People who bite their nails tend to have a stronger immune system
Tue Aug 25 11:59:09 PDT 2015 --  So many walls up, I can't break through.
Tue Aug 25 07:41:49 PDT 2015 --  Woah @Degrassi really does go there..
Tue Aug 25 07:41:06 PDT 2015 --  "Connor is cooler than you'll ever be." -Jenna @JessicaTyler @AJSaudin @Degrassi
Mon Aug 24 19:27:57 PDT 2015 --  Night.
Mon Aug 24 09:39:39 PDT 2015 --  feeling so blessed to be surrounded by the best family and friends I could ask for <3 love you all so so much
Sun Aug 23 20:57:20 PDT 2015 --  Goodnight
Sun Aug 23 19:54:38 PDT 2015 --  Sarah's voice at 15 @SarahFisher28
Sun Aug 23 11:08:42 PDT 2015 --  the nights that turn into mornings https://instagram.com/p/6vELWfvv57/ 
Sun Aug 23 19:44:53 PDT 2015 --  "Can't you see that we are all the same, the same..." ~Walk On by @SarahFisher28
Sun Aug 23 19:43:50 PDT 2015 --  "Live, don't regret, the world hasn't seen your true colors yet..." ~Walk On by @SarahFisher28 🏼
