Fri Aug 28 08:48:33 PDT 2015 --  HAPPY BIRTHDAY ROBBIE @roberto_leito pic.twitter.com/5lioPtvDIX
Wed Aug 26 17:03:13 PDT 2015 --  pic.twitter.com/2fUnB0SZu9
Wed Aug 26 16:59:37 PDT 2015 --  wasn't national dog day like last month
Sun Aug 23 18:48:36 PDT 2015 --  Stop I'm crying pic.twitter.com/kMciWZZseF
Sat Aug 22 15:30:20 PDT 2015 --  I just found the funniest vine ever made http://vine.co/v/OvBFObqzuXw 
Sun Aug 16 19:12:09 PDT 2015 --  when someone who called u ugly in middle school hits u up pic.twitter.com/cD1JnHhXeE
Sat Aug 22 10:49:04 PDT 2015 --  look who's with me in lake george!!! @mollymaryc pic.twitter.com/SqMtmTltmg
Mon Aug 17 18:51:24 PDT 2015 --  pic.twitter.com/haPzQqZwDa
Sat Aug 15 16:35:02 PDT 2015 --  REAALLLYYY dreading August 29th
Fri Aug 14 16:29:52 PDT 2015 --  We're mad @Jenna_french5 @erynn1017 pic.twitter.com/LXBGWGFbn5
Thu Aug 13 18:07:50 PDT 2015 --  no one believes me when they find out i'm left handed
Mon Aug 10 19:34:20 PDT 2015 --  "Omg giul I'm wearing a wedding dress so Shawn marries me" @mackfarrell1313
Thu Aug 06 17:02:29 PDT 2015 --  When u make 1 direction twitter very angry pic.twitter.com/rYBV0MEqm1
Wed Aug 05 18:36:39 PDT 2015 --  AND NICK JONAS!!! https://twitter.com/mackfarrell1313/status/629103086766813184 …
Thu Jul 30 15:44:16 PDT 2015 --  hbd! i wouldn't wanna ride the bus to six flags or make fun of ourselves "on stage" with anyone else @catthherrinee pic.twitter.com/VAX44FSk2v
Sun Jul 26 21:09:55 PDT 2015 --  happy birthday to my favorite puppeteer!! love you lots and lots, man-na @annagregoryyy pic.twitter.com/QShbMfKaM5
Wed Jul 22 21:03:50 PDT 2015 --  happiest of birthdays to the man, the myth, the legend, my best friend. i love ya a lot, girl @allisonbradyy pic.twitter.com/iho72ZXgBt
Tue Jul 14 19:52:31 PDT 2015 --  so ready for soccer and its tan lines
Sat Jul 04 09:33:08 PDT 2015 --  the most patriotic woman I know... happy fourth pic.twitter.com/QUiAV28Syh
Mon Jun 22 10:04:36 PDT 2015 --  These kids don't have mirrors and this is them seeing their faces for the first time pic.twitter.com/RF1vbUKqdz
Tue Jun 16 11:45:57 PDT 2015 --  why was I so stressed about bio.. that was so easy
Mon Jun 15 13:59:42 PDT 2015 --  happy happy birthday carol @carolinetimmm thanks for not hating me due to my blondness at lunch!
Fri Jun 12 03:17:32 PDT 2015 --  I can't believe how fast freshman year went
Wed Jun 10 18:30:33 PDT 2015 --  i will never understand how you could be such a huge part in someones life to strangers so fast
Mon Jun 08 17:13:16 PDT 2015 --  thanks for this @Williamdillon99 pic.twitter.com/itlxwQO57w
Mon Jun 08 13:59:10 PDT 2015 --  I LOVE YOU https://twitter.com/kaylasparling/status/608015308348129282 …
Thu Jun 04 17:41:38 PDT 2015 --  https://m.youtube.com/watch?feature=youtu.be&v=m4U32v-6M04 … just in case you haven't listened to Frigid Cold Ice's new hit..
Sun May 31 12:16:42 PDT 2015 --  great job on 1st place today, blue chips🏼️ @AmyaSantiago @MakenaMohl @FetzerPaige pic.twitter.com/tgfGjzbEsD
Wed May 27 15:10:20 PDT 2015 --  when you're about to get a goal and a huge rain drop falls in your eye #relatable
Mon May 25 02:12:54 PDT 2015 --  happy happy birthday anna. just remember big girls don't cry with FERGIE @anna_anderson6
Wed May 20 18:58:14 PDT 2015 --  you want to see this pic.twitter.com/lLqf79HZZa
Thu Apr 30 03:51:13 PDT 2015 --  happy birthday to my best friend/sister/partner in crime for as long as I can remember. I love you kel pic.twitter.com/NlGBWzq5ME
Tue Apr 28 03:40:33 PDT 2015 --  happy happy birthday to one of my best friends • love you so so so much & you deserve the best day possible pic.twitter.com/MG13RaeVSq
Sun Apr 26 17:48:24 PDT 2015 --  press the link&vote for bell because she's amazing&she rocks and she deserves to win #gobella http://kvipzone.k104online.com/Contest/BKWODS/UGC/ViewEntry?submissionId=721208 … pic.twitter.com/SX2yEXV9C0
