Sat Aug 29 02:01:42 PDT 2015 --  Napatawa mo ako ha! Pati officemates ko. #ALDUBMaiDenHeaven https://twitter.com/_CrisPy27/status/637546387345793025 …
Sat Aug 29 01:33:04 PDT 2015 --  " @mainedcm: pic.twitter.com/hVfK8rcf6K" hay ang ganda mo talaga ate di nakakasawang tingnan ang mukha mo #IngatPo
Sat Aug 29 01:26:44 PDT 2015 --  ako talaga hands down sa pagkaversatile ni Mr. Wally Bayola bilang artista..grabe at kila Jose at Paolo din po patunay sila ng real comedy.
Sat Aug 29 00:28:10 PDT 2015 --  HANGA AKO SA MGA KABATAANG SINGLE, KAYA NYONG MAGHINTAY SA RIGHT PERSON IN THE RIGHT TIME, ARAL MUNA BAGO LANDI #ALDUBMaiDenHeaven
Sat Aug 29 00:06:23 PDT 2015 --  Lots of it " @shengcredibble7: Kalyeserye lesson: Sacrifices and struggles first before happy endings. True Love Waits. #ALDUBMaiDenHeaven"
Thu Aug 27 21:01:44 PDT 2015 --  @aubreycarampel farmer ako noon tita Aub and YES sexy ako. Haha char!
Fri Aug 28 23:55:03 PDT 2015 --  I don't care whether the kalyeserye is all acting, that was one admirable effort from Bae Alden just to prove him worthy #ALDUBMaiDenHeaven
Fri Aug 28 23:27:34 PDT 2015 --  Bagay talaga ung Kilometro ni Sarah G. Sa AlDub #ALDUBMaiDenHeaven
Fri Aug 28 23:46:49 PDT 2015 --  stick-o sinasawsaw ko sa peanuth butter? what a craving...
Fri Aug 28 23:41:49 PDT 2015 --  I bet Lola NiDora just wanted a dip in the pool that's why she challenged Bae to a swim off haha #ALDUBMaiDenHeaven
Fri Aug 28 23:31:54 PDT 2015 --  Ang serye na live telecast,walang cut,walang retake,hindi edited,come what may pero ang ganda ng outcome! ALDENMAINE #ALDUBMaiDenHeaven
Fri Aug 28 23:40:38 PDT 2015 --  For "US" (MaiDen/AlDub) " @MaineAlden16: Bago na guys, "For US I will," #ALDUBMaiDenHeaven pic.twitter.com/aVYS4wFeqA"
