Fri Aug 14 11:53:14 PDT 2015 --  Koristim Viber za besplatne pozive i poruke http://www.viber.com/dl  via @viber
Wed Aug 12 12:26:26 PDT 2015 --  https://onedrive.live.com/redir?resid=A5C28DC03141E3E5!3371&authkey=!ALxg1eFcGHrS5ik&v=3&ithint=photo%2cjpeg …
Wed Aug 12 12:24:52 PDT 2015 --  https://onedrive.live.com/redir?resid=A5C28DC03141E3E5!3378&authkey=!AH3qfaBrw0U-Lrk&v=3&ithint=photo%2cjpeg …
Mon Jul 20 11:14:26 PDT 2015 --  Use my invite link to join about.me! https://about.me/invite/code/26f41eedcebb583b2265d444e3069d66 … via @aboutdotme
Mon Jul 20 11:12:02 PDT 2015 --  Check out my @aboutdotme page - https://about.me/RatkoGrubor . Get yours now before all the names are gone. http://about.me 
Sun Jun 28 07:15:28 PDT 2015 --  Forum: Odustanite od takse za RTS | Društvo | Novosti.rs http://www.novosti.rs/vesti/naslovna/drustvo/aktuelno.290.html:555062-Forum-Odustanite-od-takse-za-RTS …
Sun Jun 07 09:46:48 PDT 2015 --  Mogao bi da prome i pidzamu...Sten
Sun Jun 07 09:45:37 PDT 2015 --  Fuck to wawrinka !!!
Sun Jun 07 09:45:01 PDT 2015 --  NOLE TI SI CAR NOVAK SILNI I TO CES I OSTATI...A OVAJ VEC U SLEDECEM TURNIRU ODE U ZABORAV..NOLE LEGENDO !!! IDEMO U NOVE POBEDE
Sun Jun 07 09:42:18 PDT 2015 --  Wawrinka je govnar koji se stidi svog pravog imena...pa je neki sten...sranje od coveka to je wawrinka !,,,!!,
Sun Jun 07 09:31:48 PDT 2015 --  On nece nikada. Biti sto si ti....SAMPION SI TI za njega....sacekaces. ga sledeci put...ideml NoOLE
Sun Jun 07 09:26:37 PDT 2015 --  Djubre svajcarsko....pobedi Noleta....govno sten !!!
Sun Jun 07 04:34:57 PDT 2015 --  I support @DjokerNole for @RolandGarros Final ! Who's your favorite ? #RG15Final http://bit.ly/1MwSe7J...NOLE 
Sat Jun 06 05:13:38 PDT 2015 --  Crknite dusmani _ Francuzi i Englezi. dabe ste minirali Noleta, jer on CAR NOVAK SILNI
Sat Jun 06 01:46:42 PDT 2015 --  Nole sprzi tog naduvenog mareja....on je obican pe..rko !!!
Fri Jun 05 08:09:27 PDT 2015 --  Bravo Ana....bice bolje ...malo te sreca izneveril...ajde !!!! Idem u nove pobede !!!
Wed Jun 03 09:24:23 PDT 2015 --  Orange...!!!! pic.twitter.com/bXPUbAvij8
Wed Jun 03 09:18:59 PDT 2015 --  NOoLE....king of the tennis.
Fri May 22 10:03:06 PDT 2015 --  I'm using Viber to make free phone calls and send free messages on my Android phone http://www.viber.com/dl 
