Thu Aug 27 05:17:09 PDT 2015 --  I so need sleep! #ughhhhhhhhhhhhhhh
Mon Aug 24 00:37:11 PDT 2015 --  I'm so tired! #justdisgusted
Sun Aug 23 11:51:52 PDT 2015 --  #Donkeyattherear pic.twitter.com/MN6IHBVmZ5
Thu Aug 20 17:50:44 PDT 2015 --  Like my new hair? pic.twitter.com/S2FS2lR4is
Sat Aug 15 01:43:43 PDT 2015 --  #NowPlaying F**kin' Perfect by P!nk Lolla this is for you baby girl! You are perfect to me! ♫ http://spoti.fi/KB9iYQ 
Sat Aug 15 01:41:05 PDT 2015 --  #NowPlaying Gotta Be Somebody by Nickelback Bo Boscolovich is gotta be my somebody! lol love you honey! ♫ http://spoti.fi/KPtsBI 
Sat Aug 15 01:28:10 PDT 2015 --  #NowPlaying With Arms Wide Open by Creed me and my daddy's song! he used to sing this to me in the truck except a g… http://spoti.fi/1qTLxl1 
Sat Aug 15 01:06:50 PDT 2015 --  She did that so no one would ever hurt her again. So she could scare others off. To be able to control her safety. https://twitter.com/Ted_Funs/status/632460977221451776 …
Thu Aug 13 01:52:02 PDT 2015 --  Vote for my goal and help me score tuition from the Dr Pepper Tuition Giveaway. http://www.drpeppertuition.com/profile/10200861596977573 …
Mon Aug 10 15:18:35 PDT 2015 --  So upset about my book! Can't publish due to immense price on copyright! #depression
Sun Aug 09 19:12:12 PDT 2015 --  #MobWives #Season6 premieres December 2015! Can't wait to see these girls back on my tv🏼
Fri Aug 07 13:47:20 PDT 2015 --  #boredomhashitmehard ugh soon I'm going to go back to sleep!
Fri Aug 07 05:03:06 PDT 2015 --  #tired
Thu Aug 06 17:11:11 PDT 2015 --  #feelingdepressed
Wed Aug 05 09:15:23 PDT 2015 --  My amazing family and I on our buggy ride yesterday! pic.twitter.com/S6cWZUrkpA
Tue Aug 04 16:24:33 PDT 2015 --  My horse and buggy ride! pic.twitter.com/LWyjNRQGLl
Tue Aug 04 07:32:35 PDT 2015 --  Friends, tweeple, countrymen: Get the best ride in town. Sign up for @Lyft to get affordable rides in minutes. https://lyft.com/i/BREA353451 
Fri Jul 31 15:25:07 PDT 2015 --  Wow I'm amazed I have now 33followers! #awesomeness
Thu Jul 30 01:50:25 PDT 2015 --  Anyone love my new hair?! #Lovinit pic.twitter.com/nsnqYHDrsz
Thu Jul 30 00:50:33 PDT 2015 --  #CecilTheLion He was an amazing creature of God. It's so sad he had to die like that. #Guns are not powered only by themselves! #donttakealife
Wed Jul 29 09:13:28 PDT 2015 --  Ugh feeling like I have no energy today! @tiredandneedanap!
