Sat Aug 29 07:49:39 PDT 2015 --  #TeachLatinHistoryInSchools pic.twitter.com/YTu12dK2TQ
Fri Aug 28 02:47:40 PDT 2015 --  Lol nobody said this when we saw 12 year old Tamir Rice get shot or Eric Garner choked to death on camera https://twitter.com/independent/status/637194868289368069 …
Wed Aug 26 09:59:50 PDT 2015 --  this makes me so angry pic.twitter.com/QpXZiA6Oey
Wed Aug 26 19:52:55 PDT 2015 --  on the left: what they want you to see on the right: REAL UNEDITED PHOTO pic.twitter.com/yGCmhP4AT5
Wed Aug 26 09:38:52 PDT 2015 --  i've seen dead bodies of Black Americans. Of Latinxs. Of Palestinians. ON EVERY FUCKING NEWS CHANNEL. Never seen dead white bodies tho.
Mon Aug 24 12:20:22 PDT 2015 --  Read "Debunking Typical Arguments Against “Illegal” Immigration" just posted! http://feministculture.com/?p=172  pic.twitter.com/kLdJSdlNhR
Mon Aug 24 08:55:07 PDT 2015 --  Children should not go hungry in this country while corporations and the wealthy avoid their tax responsibilities. pic.twitter.com/LsEINCEqs2
Sun Aug 23 07:24:12 PDT 2015 --  morning announcements: "now please stand for the pledge of allegiance" me: pic.twitter.com/TMrqCjWGoe
Fri Jul 31 08:38:47 PDT 2015 --  Arguments against 'illegal' immigration. pic.twitter.com/TNotxIuIEj
Wed Aug 19 10:35:43 PDT 2015 --  Part of white supremacy is idea that white people get to define who is black. It's a form of power.
Wed Aug 19 09:41:06 PDT 2015 --  The U.S. has more wealth inequality than any time since 1928. Read my plan on reversing income and wealth inequality: http://bernie.to/Income-and-Wealth-Inequality …
Tue Aug 04 10:36:49 PDT 2015 --  Turns out that @KellyOsbourne was right about Latinos cleaning toilets, exhibit A pic.twitter.com/ma0YuSk4j6
Thu Aug 06 19:27:56 PDT 2015 --  Y'all pro life till the baby is born. Till the baby is black. Till it's a girl. Till the baby is gay or transgender #GOPDebabte
Sat Aug 08 22:24:45 PDT 2015 --  American police abusing their authority ONCE AGAIN. http://twitter.com/BreMFnGardner_/status/630233273453559809/video/1 …
Tue Nov 06 20:26:52 PST 2012 --  @realDonaldTrump shut up
Fri Aug 07 17:55:47 PDT 2015 --  #JonathanFerrell and #ChristianTaylor are two college athletes who have been executed by the cops after car crashes. pic.twitter.com/d06couS2Sw
Thu Aug 06 13:04:36 PDT 2015 --  Sylvia Rivera was a #Bisexual Trans Latina; Marsha P Johnson was a #Bisexual Trans black woman #BoycottStonewall https://goo.gl/URiL5O 
Wed Aug 05 17:42:54 PDT 2015 --  #OPENYOUREYES Antonio Zambrano Montes killed unarmed by police officers Feb 10, 2015 | HOW CAN THIS GO UNNOTICED pic.twitter.com/VqhnTaGYUq
