Thu Aug 27 05:32:24 PDT 2015 --  Yung tipong sobrang stressed kana sa dami ng ginagawa nyo sa school.
Thu Aug 27 05:40:16 PDT 2015 --  Saludo ako sa mga lalaking trying hard kumanta, mapasaya lang girlfriend nila.
Fri Aug 28 05:43:30 PDT 2015 --  BEST MOMENT? Yung moment na biglang nagtext sayo yung taong namimiss mo.
Tue May 19 01:27:53 PDT 2015 --  Don't rush anything. When the time is right, it will happen.
Fri Aug 14 09:30:18 PDT 2015 --  Blackbeard's ship from The Pirates of the Caribbean. pic.twitter.com/3IAJgVcHWF
Wed Aug 26 18:30:12 PDT 2015 --  iPhones are designed to last just a few years, then they break down and work slower.
Mon Aug 24 09:58:37 PDT 2015 --  All the things you say to Siri on the iPhone is analyzed & stored. All information is sent to Apple, and Apple has the right to share it.
Mon Aug 24 08:58:54 PDT 2015 --  "LOL" used to mean "lots of love" before the Internet
Mon Aug 24 05:09:16 PDT 2015 --  It is estimated that millions of trees in the world are accidentally planted by squirrels who bury nuts and then forget where they hid them!
Sun Aug 16 01:20:02 PDT 2015 --  pic.twitter.com/K8YVtlWX4O"
Thu Aug 27 03:25:47 PDT 2015 --  Uhh.. its Fucking Hot... pic.twitter.com/iSmZUZscxF
Thu Aug 27 06:02:04 PDT 2015 --  i don't know how to get over you
Sat Aug 08 11:16:20 PDT 2015 --  Punta Cana, Dominican Republic pic.twitter.com/YJ4rhoLK0u
Mon Aug 24 21:11:42 PDT 2015 --  The City of Brotherly Love Philadelphia, Pennsylvania pic.twitter.com/NxsQPbGYnf"
Wed Mar 18 03:30:17 PDT 2015 --  95% of people used to believe that the moon was following their car when they were kids.
Wed Mar 18 08:30:18 PDT 2015 --  If Earth stopped for 1 second and you weren't belt-buckled to the Earth, you would fall over and roll 800 mph due east... killing everyone.
Mon Aug 03 11:15:37 PDT 2015 --  Take me to Boracay Island pic.twitter.com/zB9tjFmgKP
Mon Aug 03 08:54:04 PDT 2015 --  Seattle, Washington pic.twitter.com/PMN08FE4dH
Tue Aug 18 22:02:30 PDT 2015 --  It would be so cool to explore South Africa pic.twitter.com/bEQXgakDAo
Sat Aug 15 04:23:05 PDT 2015 --  the weekends is so short
Sat Jul 11 18:04:54 PDT 2015 --  I'm using WhatsApp+ by @unlimapps for iOS to add new features to WhatsApp! http://bit.ly/1vo6rze 
Thu Jun 04 09:49:02 PDT 2015 --  I have just won 68 Crystals in Crystal Mine Control in Oh My Heroes! Join me now! https://itunes.apple.com/us/app/oh-my-heroes!/id605150550?mt=8 …
Thu Jun 04 06:02:46 PDT 2015 --  I have just won 115 Crystals in Crystal Mine Control in Oh My Heroes! Join me now! https://itunes.apple.com/us/app/oh-my-heroes!/id605150550?mt=8 …
Wed Jun 03 17:39:41 PDT 2015 --  I have just won 128 Crystals in Crystal Mine Control in Oh My Heroes! Join me now! https://itunes.apple.com/us/app/oh-my-heroes!/id605150550?mt=8 …
Sun May 31 23:20:46 PDT 2015 --  I have just won 80 Crystals in Team Death Match in Oh My Heroes! Join me now! https://itunes.apple.com/us/app/oh-my-heroes!/id605150550?mt=8 …
Sun May 31 21:04:36 PDT 2015 --  I have just won 208 Crystals in Team Death Match in Oh My Heroes! Join me now! https://itunes.apple.com/us/app/oh-my-heroes!/id605150550?mt=8 …
Sun May 31 20:56:32 PDT 2015 --  I have just won 110 Crystals in Crystal Mine Control in Oh My Heroes! Join me now! https://itunes.apple.com/us/app/oh-my-heroes!/id605150550?mt=8 …
Sun May 31 20:46:38 PDT 2015 --  I have just won 192 Crystals in Team Death Match in Oh My Heroes! Join me now! https://itunes.apple.com/us/app/oh-my-heroes!/id605150550?mt=8 …
Sun May 31 18:29:34 PDT 2015 --  I have just won 176 Crystals in Team Death Match in Oh My Heroes! Join me now! https://itunes.apple.com/us/app/oh-my-heroes!/id605150550?mt=8 …
Sun May 31 18:25:21 PDT 2015 --  I have just won 160 Crystals in Team Death Match in Oh My Heroes! Join me now! https://itunes.apple.com/us/app/oh-my-heroes!/id605150550?mt=8 …
Sun May 31 18:14:08 PDT 2015 --  I have just won 144 Crystals in Team Death Match in Oh My Heroes! Join me now! https://itunes.apple.com/us/app/oh-my-heroes!/id605150550?mt=8 …
Sun May 31 08:51:44 PDT 2015 --  I have just won 80 Crystals in Team Death Match in Oh My Heroes! Join me now! https://itunes.apple.com/us/app/oh-my-heroes!/id605150550?mt=8 …
Sun May 31 08:41:59 PDT 2015 --  I have just won 63 Crystals in Crystal Mine Control in Oh My Heroes! Join me now! https://itunes.apple.com/us/app/oh-my-heroes!/id605150550?mt=8 …
Sun May 31 08:35:33 PDT 2015 --  I have just won 67 Crystals in Crystal Mine Control in Oh My Heroes! Join me now! https://itunes.apple.com/us/app/oh-my-heroes!/id605150550?mt=8 …
Sun May 31 08:30:59 PDT 2015 --  I have just won 124 Crystals in Crystal Mine Control in Oh My Heroes! Join me now! https://itunes.apple.com/us/app/oh-my-heroes!/id605150550?mt=8 …
Sun May 31 08:24:43 PDT 2015 --  I have just won 82 Crystals in Crystal Mine Control in Oh My Heroes! Join me now! https://itunes.apple.com/us/app/oh-my-heroes!/id605150550?mt=8 …
Sun May 31 08:11:38 PDT 2015 --  I have just won 127 Crystals in Crystal Mine Control in Oh My Heroes! Join me now! https://itunes.apple.com/us/app/oh-my-heroes!/id605150550?mt=8 …
Sun May 31 07:27:50 PDT 2015 --  I have just won 98 Crystals in Crystal Mine Control in Oh My Heroes! Join me now! https://itunes.apple.com/us/app/oh-my-heroes!/id605150550?mt=8 …
Sun May 31 07:23:44 PDT 2015 --  I have just won 109 Crystals in Crystal Mine Control in Oh My Heroes! Join me now! https://itunes.apple.com/us/app/oh-my-heroes!/id605150550?mt=8 …
Sun May 31 04:36:22 PDT 2015 --  I have just won 90 Crystals in Crystal Mine Control in Oh My Heroes! Join me now! https://itunes.apple.com/us/app/oh-my-heroes!/id605150550?mt=8 …
Sat May 30 19:23:58 PDT 2015 --  I have just won 80 Crystals in Crystal Mine Control in Oh My Heroes! Join me now! https://itunes.apple.com/us/app/oh-my-heroes!/id605150550?mt=8 …
Sat May 30 19:21:42 PDT 2015 --  I have just won 67 Crystals in Crystal Mine Control in Oh My Heroes! Join me now! https://itunes.apple.com/us/app/oh-my-heroes!/id605150550?mt=8 …
Sat May 30 19:12:20 PDT 2015 --  I have just won 106 Crystals in Crystal Mine Control in Oh My Heroes! Join me now! https://itunes.apple.com/us/app/oh-my-heroes!/id605150550?mt=8 …
Sat May 30 19:08:50 PDT 2015 --  I have just won 96 Crystals in Team Death Match in Oh My Heroes! Join me now! https://itunes.apple.com/us/app/oh-my-heroes!/id605150550?mt=8 …
Sat May 30 18:53:52 PDT 2015 --  I have just won 69 Crystals in Crystal Mine Control in Oh My Heroes! Join me now! https://itunes.apple.com/us/app/oh-my-heroes!/id605150550?mt=8 …
Sat May 30 08:12:02 PDT 2015 --  I have just won 121 Crystals in Crystal Mine Control in Oh My Heroes! Join me now! https://itunes.apple.com/us/app/oh-my-heroes!/id605150550?mt=8 …
Sat May 30 08:07:50 PDT 2015 --  I have just won 110 Crystals in Crystal Mine Control in Oh My Heroes! Join me now! https://itunes.apple.com/us/app/oh-my-heroes!/id605150550?mt=8 …
Sat May 30 08:03:35 PDT 2015 --  I have just won 32 Crystals in Death Match Oh My Heroes! Join me now! https://itunes.apple.com/us/app/oh-my-heroes!/id605150550?mt=8 …
Sat May 30 08:01:48 PDT 2015 --  I have just won 112 Crystals in Team Death Match in Oh My Heroes! Join me now! https://itunes.apple.com/us/app/oh-my-heroes!/id605150550?mt=8 …
Sat May 30 07:58:00 PDT 2015 --  I have just won 128 Crystals in Team Death Match in Oh My Heroes! Join me now! https://itunes.apple.com/us/app/oh-my-heroes!/id605150550?mt=8 …
Sat May 30 07:54:06 PDT 2015 --  I have just won 26 Crystals in Capture The Flag in Oh My Heroes! Join me now! https://itunes.apple.com/us/app/oh-my-heroes!/id605150550?mt=8 …
Sat May 30 07:49:09 PDT 2015 --  I have just won 64 Crystals in Team Death Match in Oh My Heroes! Join me now! https://itunes.apple.com/us/app/oh-my-heroes!/id605150550?mt=8 …
Sun May 17 02:58:02 PDT 2015 --  “I can’t see where I’m going.”
Sun May 17 02:36:49 PDT 2015 --  "I just need a break from everything for a little while."
Sun May 17 01:58:01 PDT 2015 --  "Big or small, lies are lies."
Sun May 17 00:57:03 PDT 2015 --  "The best way to find out if you can trust somebody is to trust them."
Sat Apr 25 08:20:45 PDT 2015 --  You're my forever pic.twitter.com/o4Feybihqt
Wed Apr 22 17:27:13 PDT 2015 --  We belong together, but our timing is off
Thu Apr 23 15:28:10 PDT 2015 --  IT'S FRIDAY FRIDAY GOTTA GET DOWN ON FRIDAYYYY!! Any plans yet? #987TheBrightSide pic.twitter.com/PuO03IfoYO
Mon Apr 20 13:38:01 PDT 2015 --  Manhattan sunset through a glass of whiskey pic.twitter.com/vnzIbBABxg
Sat Apr 25 07:38:14 PDT 2015 --  hai
