Fri Aug 28 04:15:22 PDT 2015 --  ブダペスト東駅の地下通路で、移民の女性が健康な赤ちゃんを出産　 Kisfiúnak adott életet a Keleti pályaudvar aluljárójában egy migráns kismama | Híradó http://www.hirado.hu/2015/08/28/egeszseges-kisbabanak-adott-eletet-a-keleti-palyaudvar-aluljarojaban-egy-migrans-kismama/ …
Fri Aug 28 04:02:35 PDT 2015 --  新記事: 続報：トラック内で窒息死した移民は71人 速報 http://www.hungary-joho.com/post-196?utm_campaign=twitter&utm_medium=twitter&utm_source=twitter …
Fri Aug 28 02:47:33 PDT 2015 --  新記事: 2015年9月のイベント イベント情報 http://www.hungary-joho.com/post-213?utm_campaign=twitter&utm_medium=twitter&utm_source=twitter …
Thu Aug 27 09:08:08 PDT 2015 --  ワイヤーのフェンスは、とても高さ3.5メートルには見えませんけど、ちゃんとソースを確認してるんですかね。。。「ハンガリーで難民入国防止のフェンスを建設中」　News i - TBSの動画ニュースサイト http://news.tbs.co.jp/newseye/tbs_newseye2571982.html …
Thu Aug 27 06:55:25 PDT 2015 --  新記事: ハンガリーのトラック荷台に移民50人の死体 ニュース http://www.hungary-joho.com/post-207?utm_campaign=twitter&utm_medium=twitter&utm_source=twitter …
Thu Aug 27 03:33:31 PDT 2015 --  新記事: 「国境フェンスは無駄なのか」を考えてみる まとめ http://www.hungary-joho.com/post-204?utm_campaign=twitter&utm_medium=twitter&utm_source=twitter …
Wed Aug 26 03:06:34 PDT 2015 --  新記事: 国境フェンスは無駄なのか？ ニュース http://www.hungary-joho.com/post-188?utm_campaign=twitter&utm_medium=twitter&utm_source=twitter …
Tue Aug 25 09:09:22 PDT 2015 --  新記事: 不法入国から難民キャンプまでを潜入レポート３ まとめ http://www.hungary-joho.com/post-172?utm_campaign=twitter&utm_medium=twitter&utm_source=twitter …
Tue Aug 25 00:22:01 PDT 2015 --  新記事: 不法入国から難民キャンプまでを潜入レポート２ まとめ http://www.hungary-joho.com/post-170?utm_campaign=twitter&utm_medium=twitter&utm_source=twitter …
Mon Aug 24 11:10:27 PDT 2015 --  新記事: 不法入国から難民キャンプまでを潜入レポート１ まとめ http://www.hungary-joho.com/post-165?utm_campaign=twitter&utm_medium=twitter&utm_source=twitter …
Sun Aug 23 06:52:03 PDT 2015 --  新記事: 今年の難民申請数12万件、難民認定は82件 まとめ http://www.hungary-joho.com/post-157?utm_campaign=twitter&utm_medium=twitter&utm_source=twitter …
Fri Aug 21 23:00:38 PDT 2015 --  新記事: 新任士官が仕掛けたサプライズに彼女号泣 ちょっといい話 http://www.hungary-joho.com/post-136?utm_campaign=twitter&utm_medium=twitter&utm_source=twitter …
