Fri Aug 28 16:15:03 PDT 2015 --  Lagot! Late na naman ako kay DRAGONESS!!!
Fri Aug 28 16:14:40 PDT 2015 --  *the past tense thinggy *_*
Fri Aug 28 16:05:07 PDT 2015 --  Church and the state can never and will never be seperate from each other, nobody can change it, for God design it with a purpose.
Fri Aug 28 15:46:16 PDT 2015 --  To be old & wise, you must first have to be young & stupid.
Fri Aug 28 08:31:05 PDT 2015 --  do you ever get a weird crush on someone that is not even attractive but you are just attracted to them and you do not know why
Fri Aug 28 05:42:19 PDT 2015 --  Everyone thinks i’m overdramatic when i’m upset, but when an octopus gets stressed out, it eats itself. now THATS overdramatic
Fri Aug 28 10:03:59 PDT 2015 --  Pray, forgive yourself, appreciate others, listen to your gut, do things you enjoy, & remind yourself that we are all loved & connected.
Fri Aug 28 11:30:35 PDT 2015 --  I like you because I can never stay mad at you, I can't stand not talking to you and I can't stand the thought of losing you.
Fri Aug 28 16:03:23 PDT 2015 --  Nobody can drag me down.
Fri Aug 28 04:54:18 PDT 2015 --  Boom Religion vs Religion hahahaha
Fri Aug 28 04:53:50 PDT 2015 --  Why to EDSA SHRINE ??? This people are all insensitive huge traffic awaits in Edsa. Then here they will go just to make a protest -_-
Fri Aug 28 04:49:13 PDT 2015 --  EDSA Shrine is unpassable because protesters, there's rain, it's Friday, it's payday, there are car crashes. I guess I'm not going home woo~
Fri Aug 28 04:38:30 PDT 2015 --  It is only a true relationship with Jesus Christ is the only key for a change and transformed life. A peaceful and blessed life
Fri Aug 28 04:36:15 PDT 2015 --  I think it's time for the government not to ask favor vote/ black voting from any religious group. No bias, No blame.
Fri Aug 28 04:30:37 PDT 2015 --  Sleeping is so hard when you can't stop thinking.
Fri Aug 28 03:18:26 PDT 2015 --  Drained
Fri Aug 28 03:31:36 PDT 2015 --  Live simply. Love generously. Speak truthfully. Pray daily. Leave everything else to God.
Fri Aug 28 03:43:55 PDT 2015 --  i prefer to distance myself whenever i’m in a bad mood because i’ll become the most heartless person you’ll ever meet.
Fri Jan 02 12:02:45 PST 2015 --  STOCKHOLM SYNDROME // one direction pic.twitter.com/3YiZ6pNfjj
Fri Jan 02 11:48:35 PST 2015 --  READY TO RUN // one direction pic.twitter.com/MUaxyZF6n6
