Wed Aug 26 09:50:57 PDT 2015 --  Zzzzzz. pic.twitter.com/d2tBrA1O3L
Mon Aug 24 00:59:37 PDT 2015 --  Happy 5th baby. thaaaank you! pic.twitter.com/XIpC9IVeP9
Sun Aug 23 10:57:59 PDT 2015 --  Happy 5th. @ Abreeza Ayala Mall Davao, Bajada, Davao City https://instagram.com/p/6vC84EmuVH4WgwH-IO9ABBYAfs2Uk6ObEegXI0/ …
Fri Aug 21 19:51:58 PDT 2015 --  Mama @ Petpars Bldg https://instagram.com/p/6q2eF3GuW6MnShAzYb87U3ObMk95matiZ5Abs0/ …
Thu Aug 20 16:45:03 PDT 2015 --  You know why I feel so disappointed with you!? Its because you don't know how to make me feel wanted. but I still love you.
Thu Aug 20 16:30:11 PDT 2015 --  Just smile because it hides evrything. pic.twitter.com/tRa9odzCRm
Sat Aug 15 23:47:23 PDT 2015 --  Baboyko. Hahahha. pic.twitter.com/01GwDZZver
Sat Aug 15 23:43:37 PDT 2015 --  Talking with my bae! @ Pet Par's Bldg. https://instagram.com/p/6b0Nh_muXNknlrrAsSWePQeS0zQLGEx_B_eQk0/ …
Sat Aug 15 09:18:15 PDT 2015 --  Waiting for my babylove. naglaba pa man gud ba. Hahahaha bait2.
Sat Aug 15 08:54:32 PDT 2015 --  Vaaaaaaansss.
Sat Aug 15 08:42:40 PDT 2015 --  Lamia lage ilaag oyy. Tssssk. Makahurot ug kwarta. Hahaha kalagot.
Sat Aug 15 08:42:11 PDT 2015 --  Waaaah! I wanna buy new kicks. hihi
Sat Aug 15 08:38:46 PDT 2015 --  Ismi. @ Pet Par's Bldg. https://instagram.com/p/6aMqOrGuayd6iZ01pRsxpBdzfzBJJ4mj3f0_k0/ …
Sat Aug 15 08:02:27 PDT 2015 --  Every girl is beautiful, it only takes a right guy to see it in you. pic.twitter.com/dJhaxDaXZ6
Sat Aug 15 08:00:02 PDT 2015 --  Just got home. #OOTD pic.twitter.com/5gPne6a2Fy
Fri Aug 14 04:51:43 PDT 2015 --  Pabebe girls. @ University of the Immaculate Conception DL lab https://instagram.com/p/6XN4drGuV9hl5ZIYL01MOue2u61hvs0SJTJyA0/ …
Fri Aug 14 02:05:44 PDT 2015 --  My twofy buddy! https://instagram.com/p/6W64ldGuebirqMtC0dADswHolcyisHBCSGx_I0/ …
Fri Aug 14 02:05:37 PDT 2015 --  Bruhaaa. https://instagram.com/p/6W631XmueZtxEBmMPOVJ1_W7dsal4Nk_9DyFc0/ …
Tue Aug 11 22:25:22 PDT 2015 --  Our love will be more stronger than other people could ever imagine. so bless us God. pic.twitter.com/WFhVS7H69X
Tue Aug 11 06:35:29 PDT 2015 --  Myyy loooveee. pic.twitter.com/MblRe7qSoE
Mon Jul 20 04:32:23 PDT 2015 --  Selfish. Duuh. Himantayon.
Sun Jul 05 02:24:59 PDT 2015 --  Love of my lifee. #MyBae pic.twitter.com/mze4FPpgbU
Sat Jul 04 05:17:14 PDT 2015 --  Short hair be like. pic.twitter.com/2HwmvnQ6tw
