Tue Aug 25 17:57:37 PDT 2015 --  The GoPro Hero4 Session Giveaway | StackSocial https://stacksocial.com/giveaways/hero4-session-giveaway?gid=1104276 … via @StackSocial
Mon Aug 24 20:08:13 PDT 2015 --  OnePlus 2 International Giveaway @androidauth #oneplus2 https://wn.nr/m7xc4 
Wed Aug 19 07:20:14 PDT 2015 --  Follow and RT to enter to win these Jaybird X2s! Winner chosen at 8PM EST. GL! pic.twitter.com/aZlsH6GHRK
Sun Aug 16 12:17:11 PDT 2015 --  Galaxy Note 5 International Giveaway @androidauth https://wn.nr/GwZPb 
Sun Aug 16 12:04:53 PDT 2015 --  Stellar Phoenix Linux Data Recovery http://itsfoss.com/giveaways/stellar-phoenix/?lucky=34 … via @its_foss
Sat Aug 15 13:12:40 PDT 2015 --  The Best of Android for Free? Enter the #DoubleNexus Giveaway to Win a Nexus 6 & 9! https://stacksocial.com/giveaways/giveaway-double-nexus?gid=1104276 … via @StackSocial
Fri Aug 14 14:55:23 PDT 2015 --  50 OnePlus 2 Invites Giveaway https://wn.nr/GCQX2 
Fri Aug 14 14:54:41 PDT 2015 --  OnePlus 2 50 Invites giveaway! @androidauth #oneplus2 https://wn.nr/GCQX2 
Thu Aug 13 20:36:38 PDT 2015 --  Found this great Contest. Enter for your chance to win a Fluance Home Theater Speaker System #fluancearmy http://gvwy.io/zv6uw24 
Wed Aug 12 15:39:27 PDT 2015 --  Ganong Summer Chocolate Gift Basket http://bit.ly/1h48kvR  via @RewardsFuel
Wed Aug 12 09:38:07 PDT 2015 --  Enter to Win a $100 Gift basket of goodies from @TheMarcSmith & @GanongBros http://30dayadventures.ca/enter-to-win-a-sweet-summer-chocolate-gift-basket-from-ganong-bros/ … RT pic.twitter.com/ZSenyJFHvH
Mon Aug 10 20:15:02 PDT 2015 --  OnePlus 2 International Giveaway @androidauth https://wn.nr/RsBXW 
Sun Aug 09 11:52:43 PDT 2015 --  iPad Air 2 Giveaway | StackSocial https://stacksocial.com/giveaways/giveaway-ipad-air-2?gid=1104276 … via @StackSocial
Sun Aug 09 11:14:26 PDT 2015 --  OnePlus 2 International Giveaway @androidauth https://wn.nr/5CZbA 
Fri Aug 07 18:17:31 PDT 2015 --  To #DiscoverBCHydro: relaxing at one of the most beautiful lakes near Vancouver. ;) pic.twitter.com/2a15qribL2
Mon Aug 03 20:47:55 PDT 2015 --  Oppo R7 International giveaway @androidauth #OPPOR7 #OPPO https://wn.nr/SKVBX 
Mon Aug 03 12:22:48 PDT 2015 --  37 celebrities you probably didn't know were from B.C. http://www.vancitybuzz.com/2015/08/celebrities-from-bc/ …
Fri Jul 31 23:30:00 PDT 2015 --  Want to win Editors' Choice JetPens Prize Package? I just entered to win and you can too. http://gvwy.io/yq6b6pt 
Thu Jul 30 12:03:19 PDT 2015 --  Tweet #HONOR & #FORTHEBRAVE on Twitter! https://wn.nr/qz4rf 
Tue Jul 28 13:45:49 PDT 2015 --  RT to enter to win a $50 #CelebrateBC @White_Spot gift card from @Miss604 http://ow.ly/Q8CLe 
Tue Jul 28 12:23:51 PDT 2015 --  Just entered to win a Samsung 50" TV + choice of Roku or Apple TV. If interested: https://stacksocial.com/giveaways/saumsung-50-inch-4k-tv-media-device-giveaway?gid=1104276 … via @StackSocial
Mon Jul 27 13:59:16 PDT 2015 --  Samsung Galaxy S6 International giveaway @androidauth https://wn.nr/rjB9n 
Tue Jul 21 21:53:53 PDT 2015 --  Want to win TCL Roku TV Color Series, 32-inch, 720p, LED, 32S3850 A/B/P (t? I just entered to win and you can too. http://gvwy.io/775zy90 
Mon Jul 20 20:33:50 PDT 2015 --  Axon Phone International Giveaway! @androidauth @axonphone #AxonPhone https://gleam.io/zqWbl-FjRfN1?l=http%3A%2F%2Fwww.androidauthority.com%2Fzte-axon-phone-international-giveaway-625539%2F …
Mon Jul 20 20:32:04 PDT 2015 --  Nexus 9 International Giveaway @androidauth https://gleam.io/Zj0gl-FjRfN1?l=http%3A%2F%2Fwww.androidauthority.com%2Fnexus-9-international-giveaway-9-626667%2F%3Futm_campaign%3D553f33b619f775152900659f%26utm_source%3Dboomtrain%26utm_medium%3Demail%26bt_alias%3DeyJ1c2VySWQiOiIxODZjZjVjNi1lZDRmLTRjNjQtYWU3MS0zNDNlNzc5OGFhMjMifQ%253D%253D …
Tue Jul 14 16:58:19 PDT 2015 --  LG G4 International Giveaway @androidauth https://gleam.io/JQtA0-FjRfN1?l=http%3A%2F%2Fwww.androidauthority.com%2Flg-g4-international-giveaway-3-624671%2F%3Futm_campaign%3D553f33b619f775152900659f%26utm_source%3Dboomtrain%26utm_medium%3Demail%26bt_alias%3DeyJ1c2VySWQiOiIxODZjZjVjNi1lZDRmLTRjNjQtYWU3MS0zNDNlNzc5OGFhMjMifQ%253D%253D …
Sun Jul 12 17:57:51 PDT 2015 --  The 5k Retina #iMac is the Ferrari of Computers, and I want to win it. Enter here... https://stacksocial.com/giveaways/the-imac-with-5k-retina-display-giveaway?gid=1104276 … via @StackSocial
Sun Jul 12 17:56:58 PDT 2015 --  Signed up to get a bit fit with the Triple #Fitbit Surge Giveaway. Enter! https://stacksocial.com/giveaways/the-triple-fitbit-giveaway?gid=1104276 … via @StackSocial
Sun Jul 12 17:55:49 PDT 2015 --  Just entered to win a pocket TV (aka an #Android Phablet). Want to join the party? Enter here - https://stacksocial.com/giveaways/the-choose-your-own-android-phablet-giveaway?gid=1104276 … via @StackSocial
Sun Jul 12 17:55:03 PDT 2015 --  I'm putting my #fitness in the hands of fate. Join me in entering the triple TRX Giveaway! https://stacksocial.com/giveaways/the-triple-trx-giveaway?gid=1104276 … via @StackSocial
Tue Jul 07 00:23:06 PDT 2015 --  Samsung Galaxy S6 Giveaway @androidauth http://www.androidauthority.com/galaxy-s6-international-giveaway-2-622613/?utm_campaign=553f33b619f775152900659f&utm_source=boomtrain&utm_medium=email&bt_alias=eyJ1c2VySWQiOiIxODZjZjVjNi1lZDRmLTRjNjQtYWU3MS0zNDNlNzc5OGFhMjMifQ%3D%3D …
Sun Jun 21 22:45:38 PDT 2015 --  Join the @AndroidAuth and #OperaMax contest for a chance to win! #DataEaters https://gleam.io/quvvQ-UuaehK?l=http%3A%2F%2Fwww.androidauthority.com%2Fgalaxy-s6-edge-galaxy-s6-and-lg-g4-international-giveaway-618571%2F%3Futm_campaign%3D553f33b619f775152900659f%26utm_source%3Dboomtrain%26utm_medium%3Demail%26bt_alias%3DeyJ1c2VySWQiOiIxODZjZjVjNi1lZDRmLTRjNjQtYWU3MS0zNDNlNzc5OGFhMjMifQ%253D%253D …
Tue Jun 09 21:15:25 PDT 2015 --  RT to enter to win a @seatoskygondola summer solstice prize pack from @Miss604 http://ow.ly/O62iW 
Sun Jun 07 19:42:08 PDT 2015 --  LG G4 International Giveaway @androidauth https://gleam.io/0PHLp-VVme2s?l=http%3A%2F%2Fwww.androidauthority.com%2Flg-g4-international-giveaway-2-614412%2F%3Futm_campaign%3D553f33b619f775152900659f%26utm_source%3Dboomtrain%26utm_medium%3Demail%26bt_alias%3DeyJ1c2VySWQiOiIxODZjZjVjNi1lZDRmLTRjNjQtYWU3MS0zNDNlNzc5OGFhMjMifQ%253D%253D …
Sat Jun 06 17:03:46 PDT 2015 --  If I win this Master Chief Edition #Xbox One, I MIGHT let you play. Enter here! https://stacksocial.com/giveaways/the-master-chief-special-edition-xbox-one-giveaway?gid=1104276 … via @StackSocial
Tue Jun 02 18:22:09 PDT 2015 --  Nexus 9 Giveaway @androidauth https://gleam.io/dPw0g-VVme2s?l=http%3A%2F%2Fwww.androidauthority.com%2Fnexus-9-international-giveaway-8-612811%2F%3Fbt_alias%3DeyJ1c2VySWQiOiIxODZjZjVjNi1lZDRmLTRjNjQtYWU3MS0zNDNlNzc5OGFhMjMifQ%253D%253D …
Fri May 29 17:39:08 PDT 2015 --  Go-Go Goolge Gadget #Giveaway! Enter to win a Nexus 9, Chromecast, and $100 Giftcard - https://stacksocial.com/giveaways/the-google-gadget-giveaway?gid=1104276 … via @StackSocial
Mon May 25 16:36:34 PDT 2015 --  Samsung Galaxy S6 Giveaway! https://gleam.io/nKt0z-VVme2s?l=http%3A%2F%2Fwww.androidauthority.com%2Fgalaxy-s6-international-giveaway-608449%2F%3Futm_campaign%3D553f33b619f775152900659f%26utm_source%3Dboomtrain%26utm_medium%3Demail%26bt_alias%3DeyJ1c2VySWQiOiIxODZjZjVjNi1lZDRmLTRjNjQtYWU3MS0zNDNlNzc5OGFhMjMifQ%253D%253D …
Mon May 25 16:36:05 PDT 2015 --  Samsung Galaxy S6 Giveaway @androidauth https://gleam.io/nKt0z-VVme2s?l=http%3A%2F%2Fwww.androidauthority.com%2Fgalaxy-s6-international-giveaway-608449%2F%3Futm_campaign%3D553f33b619f775152900659f%26utm_source%3Dboomtrain%26utm_medium%3Demail%26bt_alias%3DeyJ1c2VySWQiOiIxODZjZjVjNi1lZDRmLTRjNjQtYWU3MS0zNDNlNzc5OGFhMjMifQ%253D%253D …
Thu May 21 18:06:16 PDT 2015 --  Please let me win the Beats Pill XL #Giveaway! If you want a chance, learn more here - https://deals.idownloadblog.com/giveaways/the-beats-pill-xl-giveaway?gid=1104276 … via @iDownloadBlog
Thu May 21 18:05:23 PDT 2015 --  Just entered to win my choice of 3 premium #Android phones. So stoked. You can enter here - https://deals.idownloadblog.com/giveaways/the-choose-your-own-premium-android-giveaway?gid=1104276 … via @iDownloadBlog
Thu May 21 18:04:19 PDT 2015 --  Love #Apple? Enter here to win any Apple Toy up to $700 - https://deals.idownloadblog.com/giveaways/the-pick-your-own-apple-toy-giveaway?gid=1104276 … via @iDownloadBlog
Fri May 15 17:00:20 PDT 2015 --  Want to win Messenger Bag and Tech Essentials? I just entered to win and you can too. http://gvwy.io/b63ulzy 
Mon May 04 14:47:40 PDT 2015 --  I entered @NCIXdotCOM 19th Anniversary Sweepstakes! Over $10K in prizes! http://www.ncix.com/contest  http://woobox.com/5fk6vy 
Mon May 04 14:38:40 PDT 2015 --  Galaxy S6 Edge International Giveaway! https://gleam.io/LP8D8-VVme2s?l=http%3A%2F%2Fwww.androidauthority.com%2Fsamsung-galaxy-s6-edge-international-giveaway-3-605849%2F …
Mon May 04 14:38:04 PDT 2015 --  Galaxy S6 Edge International giveaway @androidauth https://gleam.io/LP8D8-VVme2s?l=http%3A%2F%2Fwww.androidauthority.com%2Fsamsung-galaxy-s6-edge-international-giveaway-3-605849%2F …
Mon Apr 27 19:24:35 PDT 2015 --  ZTE SPro 2 Giveaway! https://gleam.io/viHxE-VVme2s?l=http%3A%2F%2Fwww.androidauthority.com%2Fzte-spro-2-giveaway-604100%2F …
Mon Apr 27 19:22:55 PDT 2015 --  Join the @AndroidAuth and #OperaMini contest for a chance to win a Galaxy S6Edge! #MiniEdge https://gleam.io/sR2gD-VVme2s?l=http%3A%2F%2Fwww.androidauthority.com%2Fgalaxy-s6-edge-giveaway-opera-602899%2F …
Mon Apr 20 16:44:41 PDT 2015 --  If I win this, I get to choose whichever Apple #Watch I want. Pretty sweet. Check it: https://stacksocial.com/giveaways/the-choose-your-own-apple-watch-giveaway?gid=1104276 … via @StackSocial
Sun Apr 19 18:37:46 PDT 2015 --  Oppo N3 Giveaway! https://gleam.io/3ytlQ-VVme2s?l=http%3A%2F%2Fwww.androidauthority.com%2Foppo-n3-international-giveaway-602127%2F …
Sun Apr 19 18:37:06 PDT 2015 --  Oppo N3 Giveaway @androidauth https://gleam.io/3ytlQ-VVme2s?l=http%3A%2F%2Fwww.androidauthority.com%2Foppo-n3-international-giveaway-602127%2F …
Sun Apr 12 15:33:14 PDT 2015 --  Samsung Galaxy S6 Giveaway @androidauth https://gleam.io/owjQk-VVme2s?l=http%3A%2F%2Fwww.androidauthority.com%2Fsamsung-galaxy-s6-international-giveaway-3-600203%2F …
Sun Apr 12 15:30:13 PDT 2015 --  Chromebook Pixel = awesome. I just entered the #Chromebook Pixel Giveaway to win one. Enter! https://stacksocial.com/giveaways/the-chromebook-pixel-giveaway?gid=1104276 … via @StackSocial
Fri Apr 10 19:45:05 PDT 2015 --  RT to enter to win #LionKingVancouver tix from @BACTouring @Miss604 #HakunaMatata http://ow.ly/Lm67v 
Wed Apr 08 19:40:28 PDT 2015 --  Charge Multiple Devices at Top Speed: @Sabrent 10-Port USB Charger #giveaway @maketecheasier http://mte.gs/sabrent-charger-giveaway …
Tue Apr 07 21:05:06 PDT 2015 --  Charge Multiple Devices at Top Speed: @Sabrent 10-Port USB Charger #giveaway @maketecheasier http://mte.gs/sabrent-charger-giveaway …
Sun Apr 05 11:39:38 PDT 2015 --  Nexus 9 International Giveaway! https://gleam.io/7DDY7-VVme2s?l=http%3A%2F%2Fwww.androidauthority.com%2Fsamsung-galaxy-s6-edge-international-giveaway-2-598734%2F …
Sun Apr 05 11:37:59 PDT 2015 --  Samsung Galaxy S6 Edge Giveaway @androidauth https://gleam.io/7DDY7-VVme2s?l=http%3A%2F%2Fwww.androidauthority.com%2Fsamsung-galaxy-s6-edge-international-giveaway-2-598734%2F …
Wed Apr 01 18:58:51 PDT 2015 --  Just put my hat in the ring for the #Canon Rebel Giveaway. Enter here before it ends! https://deals.idownloadblog.com/giveaways/the-cannon-rebel-t5-accessory-kit-giveaway?gid=1104276 … via @iDownloadBlog
